Gene	sample	counts
KIF7	CM317	29.391451749519398
KIF7	CMCD140	92.85423876815689
KIF7	CMCD147	45.70445982405073
KIF7	CMCD152	209
KIF7	CMCD154	378.6385973937124
KIF7	CMCD159	1.0826308846263835
KIF7	CMCD161	98.30024695774505
KIF7	CMCD174	1.0883603953024104
KIF7	CMCD196	93.82523347856807
KIF7	CMCD198	27.754071272547677
KIF7	CMCD203	737.3366374352903
KIF7	CMCD211	319.82109611789537
KIF7	CMCD227	194.99225775669106
KIF7	CMCD240	147.18167284899246
KIF7	CMCD259	149
KIF7	CMCD270	108.55845282676442
KIF7	CMCD275	124.03675902506534
KIF7	CMCD282	58.7370808789462
KIF7	CMCD286	122.61939975552254
KIF7	CMCD287	175
KIF7	CMCD294	1.061130699852429
KIF7	CMCD327	90.45737094662304
KIF7	CMCD335	132.61442009098508
KIF7	CMCD337	218.43996184581587
KIF7	CMCD357	48.97764584537999
KIF7	CMCD398	111.64442123091568
KIF7	CMCD403	162.1482450386849
KIF7	CMCD422	220.45910207019978
KIF7	CMCD426	22.199920552098277
KIF7	CMCD71	41.25935185045752
KIF7	CMCD72	9.15232453720723
KIF7	CMCD76	37.08388507100545
KIF7	CMCD88	132.02375484433767
KIF7	CMSA256	267
KIF7	CMSA316	519.1275032827715
KIF7	CMUC110	324
KIF7	CMUC192	81.05230766495487
KIF7	CMUC199	26.691768847958137
KIF7	CMUC200	170.39583800045511
KIF7	CMUC208	76.18570103474083
KIF7	CMUC231	691
KIF7	CMUC234	236
KIF7	CMUC285	38.41445241303963
KIF7	CMUC291	59.38707494440223
KIF7	CMUC295	238.21423061333397
KIF7	CMUC299	149.43417562849905
KIF7	CMUC301	159.08585681833148
KIF7	CMUC307	107.29457736751368
KIF7	CMUC313	59.31533883455898
KIF7	CMUC314	37.91427586118634
KIF7	CMUC323	39.90652074119866
KIF7	CMUC324	225.20252894117706
KIF7	CMUC331	69.6195978382722
KIF7	CMUC333	69.54261427207642
KIF7	CMUC334	30.442913343578788
KIF7	CMUC346	96.0178338246901
KIF7	CMUC352	125.7441116574367
KIF7	CMUC360	37.046635055390325
KIF7	CMUC363	30.766101909301
KIF7	CMUC365	75.4907795963203
KIF7	CMUC366	270.8842320569185
KIF7	CMUC368	161
KIF7	CMUC377	195.79145240518667
KIF7	CMUC379	39.45870744768952
KIF7	CMUC380	29.512935907429206
KIF7	CMUC383	48.6616345243648
KIF7	CMUC394	39.28334819505548
KIF7	CMUC419	19.46019998780073
KIF7	CMUC427	379
KIF7	CMUC428	126.78659128076451
KIF7	CMUC431	188.34435962599713
KIF7	CMUC435	135.6598071882338
KIF7	CMUC439	215.35203933196428
KIF7	CMUC89	335
KIF7	CS219	142.34754968943128
KIF7	CS256	87.19724327506687
KIF7	CS257	7.62985990114721
KIF7	CS259	93.14221862022971
KIF7	CS261	47.04619408331984
KIF7	CS266	94.13410245550335
KIF7	CS270	35.44027765785411
KIF7	CS277	120.77057211139784
KIF7	CS288	79.70452020929119
KIF7	CS290	59.46818617081029
KIF7	CS292	67.9113101402505
KIF7	CS293	37.59157035020826
KIF7	CS301	43.07106218738914
KIF7	CS306	30.07264608031306
KIF7	CS308	31.787444015265002
KIF7	CS315	16.42533768868855
KIF7	CS317	1.0691022518554174
KIF7	CS322	55.7242284591006
KIF7	CS327	91.42637299867988
KIF7	CS328	6.319336678770976
KIF7	CS330	1.0732794536999326
KIF7	CS331	40.73376648613645
KIF7	CS335	18.667703385559374
KIF7	CS338	39.11911378066008
KIF7	CS339	3.492631274692255
KIF7	CS343	67.53139874481973
KIF7	CS344	105.42325530445514
KIF7	CS350	13.283526271013141
KIF7	CS351	82.67378766777126
KIF7	CS361	36.83355687056535
KIF7	CS388	17.563357999945303
KIF7	CS396	66.69888862265911
KIF7	CS405	65.53162829484813
KIF7	CS415	6.435509936167153
KIF7	CS424	20.70503515694431
KIF7	IM293	76.40102694255924
KIF7	IM296	54.28762775594174
KIF7	IM297	2.188977152938363
KIF7	IM300	249
KIF7	IM305	32.316269135041175
KIF7	IM309	1.0649644397817766
KIF7	IM310	67.89628168148182
KIF7	IM311	100.2205383013663
KIF7	IM316	62.31212835691631
KIF7	IM320	21.953848449248063
KIF7	IM330	114.14340949627858
KIF7	IM332	1.0290904121726339
KIF7	IM340	37.9291646332904
KIF7	IM348	36.21986193424648
KIF7	IM354	216.53337070383387
KIF7	IM356	33.26289365364739
KIF7	IM364	68.1264849061846
KIF7	IM372	27.41203494485577
KIF7	IM374	6.2847596166767445
KIF7	IM376	35.492783710491416
KIF7	IM381	91.1080270951126
KIF7	IM382	6.184608636872069
KIF7	IM385	509
KIF7	IM390	36.98506837483363
KIF7	IM397	46.51179620462037
KIF7	IM404	287.8226745751136
KIF7	IM409	326.83799625338395
KIF7	IM412	102
KIF7	IM421	48.74677078781216
KIF7	IM425	27.352087877648888
KIF7	IM432	24.943850639700162
KIF7	IM438	219
KIF7	IM442	49.96264460873873
KIF7	IM445	81.91428475683907
KIF7	IM448	30.654291394645707
KIF7	IM449	125.03202627998266
KIF7	IM451	230.17079281471106
KIF7	IMSA256	57.23116305800739
KIF7	IMSA276	398
KIF7	IMSA286	225
KIF7	IMSA343	85.04157704240716
KIF7	IS_238	93
KIF7	IS238	391.8790864238469
KIF7	IS243	115
KIF7	IS253	135
KIF7	IS283	158
KIF7	IS322	127.29946153642612
KIF7	IS399	157.08265150383116
KIF7	IS418	20.725707663586945
KIF7	IS430	8.654975429479093
KIF7	IS437	43.16633095593441
KIF7	IS444	37.32053185175961
KIF7	R276CMSA	18.049224655680543
KIF7	R286CMSA	162
KIF7	R292CMSA	89.36911020186382
KIF7	R292IMSA	27.91508603490547
KIF7	R308CMSA	35.216652462892235
KIF7	R316IMSA	114.15644194744551
KIF7	R347CMSA	6.380986154129694
KIF7	R347IMSA	16.995170348846035
KIF7	R371CMSA	125.49756354334224
KIF7	SRR10104064	5.547257636256648
KIF7	SRR10104065	7.041000769518942
KIF7	SRR10104066	2.0374790110252907
KIF7	SRR10104067	5.1152857323673855
KIF7	SRR10104068	6.027935156493729
KIF7	SRR10104069	4.045829079531597
KIF7	SRR10104070	2.058780999708387
KIF7	SRR10104071	1.1606052908522344
KIF7	SRR10104072	1.0698874845957154
KIF7	SRR10104073	3.1339621173745895
KIF7	SRR10104074	5.479111714183979
KIF7	SRR10104075	1.1510100695372476
KIF7	SRR10104076	3.0829642749699144
KIF7	SRR10104077	1.100777777658168
KIF7	SRR10104078	2.0828544723219533
KIF7	SRR10104079	1.0895071357309336
KIF7	SRR10104080	1.121518162035866
KIF7	SRR10104081	1.0158440725472526
KIF7	SRR10104082	1.0822514404163561
KIF7	SRR10104083	2.126397678067313
KIF7	SRR10104084	1.067846735357961
KIF7	SRR10104085	3.0666519813561703
KIF7	SRR10104086	3.074353526402244
KIF7	SRR10104087	5.016000039690327
KIF7	SRR10104088	1.0091134916012459
KIF7	SRR10104089	2.2694912257192352
KIF7	SRR10104090	2.0526070554697817
KIF7	SRR10104091	2.084172666250997
KIF7	SRR10104092	5.063669427759062
KIF7	SRR10104093	7.240083512343199
KIF7	SRR10104094	1.0340224493748036
KIF7	SRR10104095	2.1081232107012204
KIF7	SRR10104096	1.145718575159829
KIF7	SRR10104097	4.252483710956379
KIF7	SRR10104098	4.119047111926773
KIF7	SRR10104099	3.1424313187838298
KIF7	SRR10104100	3.087192308340663
KIF7	SRR10104101	5.027880792716667
KIF7	SRR10104102	2.0306338613846457
KIF7	SRR10104103	1.05208117298879
KIF7	SRR10104104	4.061990430833845
KIF7	SRR10104105	2.1616703776541413
KIF7	SRR10104106	1.1304558697538387
KIF7	SRR10104107	6.05745364197774
KIF7	SRR10104108	7.048000511671054
KIF7	SRR10104109	2.2367929995383564
KIF7	SRR10104110	1.1898566945611233
KIF7	SRR10104111	4.130840881887969
KIF7	SRR10104112	2.373242286782482
KIF7	SRR10104113	1.0358394085966935
KIF7	SRR10104114	1.1728061185225533
KIF7	SRR10104115	1.14422200397898
KIF7	SRR10104116	1.0467296948207412
KIF7	SRR10104117	1.038848634824914
KIF7	SRR10104118	1.143352850751477
KIF7	SRR10104119	1.1898188257203337
KIF7	SRR10104120	13.351917128891296
KIF7	SRR10104121	3.245324149518038
KIF7	SRR10104122	1.0894989096112995
KIF7	SRR10104123	2.164096158739744
KIF7	SRR10104124	1.1164136874736872
KIF7	SRR10104125	1.0998082352268765
KIF7	SRR10104126	4.157818870757531
KIF7	SRR10104127	1.1858382433832468
KIF7	SRR10104128	3.0863300950295396
KIF7	SRR10104129	3.0788872968112533
KIF7	SRR10104130	3.1234407550382315
KIF7	SRR10104131	6.067974278724841
KIF7	SRR10104132	3.0216403114105836
KIF7	SRR10104133	2.3275368548442303
KIF7	SRR10104134	6.1806415129830095
KIF7	SRR10104135	3.302418240960951
KIF7	SRR10104136	4.060064987304556
KIF7	SRR10104137	3.3232211394181173
KIF7	SRR10104138	1.195501466366171
KIF7	SRR10104139	3.0340701265953567
KIF7	SRR10104140	1.1423063013482577
KIF7	SRR10104141	2.11903300632775
KIF7	SRR10104142	1.0513197704930992
KIF7	SRR10104143	6.049070401839399
KIF7	SRR10104144	2.118930342882775
KIF7	SRR10104145	2.124685739773927
KIF7	SRR10104146	5.04810815251402
KIF7	SRR10104147	8.013675748957256
KIF7	SRR10104148	1.0516475471177122
KIF7	SRR10104149	1.0467449900052073
KIF7	SRR10104150	2.0232541506929755
KIF7	SRR10104151	2.0153119610834875
KIF7	SRR10104152	7.039351725338266
KIF7	SRR10104153	1.1019297495172091
KIF7	SRR10104154	4.122102194094417
KIF7	SRR10104155	3.263623775875621
KIF7	SRR10104156	17.068998414811144
KIF7	SRR10104157	1.048915508528946
KIF7	SRR10104158	3.061546632747828
KIF7	SRR10104159	6.0756028018228605
KIF7	SRR10104160	1.1246452493735022
KIF7	SRR10104161	7.012083763651486
KIF7	SRR10104162	2.0406759887666817
KIF7	SRR10104163	9.270889304504927
KIF7	SRR10104164	6.117807755518629
KIF7	SRR10104165	6.229637355584684
KIF7	SRR10104166	2.0814925251523304
KIF7	SRR10104167	5.112909733016803
KIF7	SRR10104168	5.1430957755289795
KIF7	SRR10104169	7.172813235755246
KIF7	SRR10104170	7.210435073777324
KIF7	SRR10104171	8.191819563069437
KIF7	SRR10104172	1.0338434316089917
KIF7	SRR10104173	1.0603886751096372
KIF7	SRR10104174	3.1014924406353424
KIF7	SRR10104175	9.202299360077944
KIF7	SRR10104176	20.449823442529603
KIF7	SRR10104177	5.126650696321408
KIF7	SRR10104178	3.1152442099582998
KIF7	SRR10104179	5.173225136948821
KIF7	SRR10104180	4.08780073444851
KIF7	SRR10104181	5.133832654265329
KIF7	SRR10104182	5.175671929434245
KIF7	SRR10104183	6.285888786371717
KIF7	SRR10104184	5.106367539860536
KIF7	SRR10104185	3.190820982250761
KIF7	SRR10104186	7.230616823074714
KIF7	SRR10104187	1.0769831789043174
KIF7	SRR10104188	1.0538655428853925
KIF7	SRR10104189	1.0595562598302013
KIF7	SRR10104190	1.1456942406975419
KIF7	SRR10104191	1.1375415852920412
KIF7	SRR10104192	4.104211864428904
KIF7	SRR10104193	3.119527197243705
KIF7	SRR10104194	4.171519619543534
KIF7	SRR10104195	2.083748339510306
KIF7	SRR10104196	2.0812968987259195
KIF7	SRR10104197	5.084138890993624
KIF7	SRR10104198	5.129229620376226
KIF7	SRR10104199	2.1645624947352817
KIF7	SRR10104200	1.0353416618928366
KIF7	SRR10104201	2.052406801788055
KIF7	SRR10104202	2.132313039936485
KIF7	SRR10104203	10.226367394548255
KIF7	SRR10104204	7.219421682257157
KIF7	SRR10104205	10.268650017331543
KIF7	SRR10104206	10.287660812770657
KIF7	SRR10104207	6.196332058904357
KIF7	SRR10104208	11.193986286133429
KIF7	SRR10104209	10.231628517195777
KIF7	SRR10104210	2.052609867445913
KIF7	SRR10104211	12.225156583111955
KIF7	SRR10104212	3.0562629378948816
KIF7	SRR10104213	6.353529020225964
KIF7	SRR10104214	12.359693268625303
KIF7	SRR10104215	18.192852724678126
KIF7	SRR10104216	4.242560682382624
KIF7	SRR10104217	2.04982781655284
KIF7	SRR10104218	1.0636360366675373
KIF7	SRR10104219	1.0633498186525099
KIF7	SRR10104220	1.03511691930575
KIF7	SRR10104221	3.261709080910768
KIF7	SRR10104222	1.0381384685659298
KIF7	SRR10104223	1.1766327257469633
KIF7	SRR10104224	6.152310640400657
KIF7	SRR10104225	6.18849903217423
KIF7	SRR10104226	1.0388893560726131
KIF7	SRR10104227	1.074938615735897
KIF7	SRR10104228	2.237824112498017
KIF7	SRR10104229	12.446013302375594
KIF7	SRR10104230	8.809321717291688
KIF7	SRR10104231	1.0760855121352966
KIF7	SRR10104232	1.0597726421651714
KIF7	SRR10104233	12.861760450232438
KIF7	SRR10104234	6.140153133665207
KIF7	SRR10104235	1.043603481105794
KIF7	SRR10104236	38.353699311566764
KIF7	SRR10104237	4.073963985696431
