Gene	sample	counts
LILRB4	CM317	157.4542058009968
LILRB4	CMCD140	607.5896928090266
LILRB4	CMCD147	19.736016742203724
LILRB4	CMCD152	940
LILRB4	CMCD154	79.76653118427541
LILRB4	CMCD159	181.88198861723242
LILRB4	CMCD161	369.1274579637773
LILRB4	CMCD174	1.0883603953024104
LILRB4	CMCD196	350.07909695766796
LILRB4	CMCD198	262.12178424072806
LILRB4	CMCD203	502.5927283742591
LILRB4	CMCD211	1130.1948509429385
LILRB4	CMCD227	2869.171792705597
LILRB4	CMCD240	280.4782822216649
LILRB4	CMCD259	1184
LILRB4	CMCD270	340.75292137289944
LILRB4	CMCD275	237.98922869849935
LILRB4	CMCD282	608.6376829008046
LILRB4	CMCD286	634.625595681254
LILRB4	CMCD287	775
LILRB4	CMCD294	102.92967788568562
LILRB4	CMCD327	5574.184214110793
LILRB4	CMCD335	1600.414933370752
LILRB4	CMCD337	278.8381079782995
LILRB4	CMCD357	693.8499828095499
LILRB4	CMCD398	340.96809727279657
LILRB4	CMCD403	1059.502818513643
LILRB4	CMCD422	507.05593476145947
LILRB4	CMCD426	33.299880828147415
LILRB4	CMCD71	521.2766892326097
LILRB4	CMCD72	192.1988152813518
LILRB4	CMCD76	1196.7069939129867
LILRB4	CMCD88	1606.289017272775
LILRB4	CMSA256	547
LILRB4	CMSA316	131.04189403254426
LILRB4	CMUC110	1033
LILRB4	CMUC192	511.6426921350276
LILRB4	CMUC199	183.76256245325027
LILRB4	CMUC200	1273.9594711681084
LILRB4	CMUC208	429.04579003775103
LILRB4	CMUC231	953
LILRB4	CMUC234	1679
LILRB4	CMUC285	1002.819389308824
LILRB4	CMUC291	2709.6611144123863
LILRB4	CMUC295	225.20252894117706
LILRB4	CMUC299	1353.933806030025
LILRB4	CMUC301	1514.8175297041123
LILRB4	CMUC307	273.7515852460863
LILRB4	CMUC313	74.92463852786398
LILRB4	CMUC314	281.19754597046534
LILRB4	CMUC323	403.15818389826336
LILRB4	CMUC324	281.2529361443145
LILRB4	CMUC331	210.87675287244767
LILRB4	CMUC333	81.81484032008991
LILRB4	CMUC334	297.3257869889528
LILRB4	CMUC346	257.73208026627344
LILRB4	CMUC352	352.08351264082273
LILRB4	CMUC360	272.342830677464
