Gene	sample	counts
LILRP2	CM317	1.0496947053399786
LILRP2	CMCD140	21.194989284035813
LILRP2	CMCD147	8.309901786191043
LILRP2	CMCD152	5
LILRP2	CMCD154	1.0097029263832331
LILRP2	CMCD159	1.0826308846263835
LILRP2	CMCD161	1.0030637444667863
LILRP2	CMCD174	1.0883603953024104
LILRP2	CMCD196	40.35493913056691
LILRP2	CMCD198	10.27928565649914
LILRP2	CMCD203	1.0031790985514153
LILRP2	CMCD211	1.6031132637488488
LILRP2	CMCD227	3.2771808026334632
LILRP2	CMCD240	6.479696288949354
LILRP2	CMCD259	2
LILRP2	CMCD270	6.0310251570424684
LILRP2	CMCD275	16.134862962610125
LILRP2	CMCD282	3.0381248730489414
LILRP2	CMCD286	1.8720519046644661
LILRP2	CMCD287	13
LILRP2	CMCD294	1.061130699852429
LILRP2	CMCD327	1.0050818994069226
LILRP2	CMCD335	6.027928185953868
LILRP2	CMCD337	1.0066357688747274
LILRP2	CMCD357	2.0407352435574997
LILRP2	CMCD398	3.017416790024748
LILRP2	CMCD403	1.007131956762018
LILRP2	CMCD422	1.002086827591817
LILRP2	CMCD426	1.109996027604914
LILRP2	CMCD71	14.08855916844891
LILRP2	CMCD72	1.1440405671509037
LILRP2	CMCD76	12.02720596897474
LILRP2	CMCD88	7.0012597265936645
LILRP2	CMSA256	24
LILRP2	CMSA316	1.0080145694811098
LILRP2	CMUC110	3
LILRP2	CMUC192	1.0131538458119358
LILRP2	CMUC199	2.0532129883044723
LILRP2	CMUC200	1.0023284588262065
LILRP2	CMUC208	16.03909495468228
LILRP2	CMUC231	1
LILRP2	CMUC234	2
LILRP2	CMUC285	1.0109066424484112
LILRP2	CMUC291	1.0065605922780039
LILRP2	CMUC295	34.030604373333425
LILRP2	CMUC299	2.0058278607852222
LILRP2	CMUC301	3.0016199399685184
LILRP2	CMUC307	3.0082591785284207
LILRP2	CMUC313	1.0406199795536664
LILRP2	CMUC314	1.0531743294773983
LILRP2	CMUC323	1.0232441215691963
LILRP2	CMUC324	1.0009001286274537
LILRP2	CMUC331	3.0269390364466173
LILRP2	CMUC333	1.0226855040011238
LILRP2	CMUC334	1.0147637781192929
LILRP2	CMUC346	13.139282523378647
LILRP2	CMUC352	1.0059528932594937
LILRP2	CMUC360	1.0012604069024411
LILRP2	CMUC363	4.102146921240133
LILRP2	CMUC365	6.039262367705624
LILRP2	CMUC366	1.0032749335441427
LILRP2	CMUC368	1
LILRP2	CMUC377	1.0040587302830086
LILRP2	CMUC379	6.398709315841543
LILRP2	CMUC380	1.0176874450837656
LILRP2	CMUC383	5.068920262954666
LILRP2	CMUC394	1.007265338334756
LILRP2	CMUC419	1.024221051989512
LILRP2	CMUC427	2
LILRP2	CMUC428	1.0062427879425755
LILRP2	CMUC431	1.0018317001382826
LILRP2	CMUC435	1.0048874606535836
LILRP2	CMUC439	1.0063179408035714
LILRP2	CMUC89	2
LILRP2	CS219	8.019580264193312
LILRP2	CS256	35.07935074284299
LILRP2	CS257	4.359919943512692
LILRP2	CS259	5.007646162377942
LILRP2	CS261	1.0227433496373879
LILRP2	CS266	1.0344406863242126
LILRP2	CS270	7.088055531570822
LILRP2	CS277	49.06304492025537
LILRP2	CS288	11.098097750660799
LILRP2	CS290	5.039676794136466
LILRP2	CS292	41.55766739925777
LILRP2	CS293	20.31976775686933
LILRP2	CS301	23.586534054998815
LILRP2	CS306	1.0369877958728642
LILRP2	CS308	1.0254014198472583
LILRP2	CS315	1.0265836055430344
LILRP2	CS317	1.0691022518554174
LILRP2	CS322	1.0131677901654654
LILRP2	CS327	8.037483340543286
LILRP2	CS328	1.0532227797951625
LILRP2	CS330	1.0732794536999326
LILRP2	CS331	8.14675329722729
LILRP2	CS335	10.59518300261478
LILRP2	CS338	7.2061525385426455
LILRP2	CS339	1.1642104248974183
LILRP2	CS343	4.031725298198193
LILRP2	CS344	1.0136851471582224
LILRP2	CS350	1.021809713154857
LILRP2	CS351	1.0082169227776983
LILRP2	CS361	1.0231543575157043
LILRP2	CS388	1.0331387058791355
LILRP2	CS396	1.010589221555441
LILRP2	CS405	2.047863384214004
LILRP2	CS415	1.0725849893611923
LILRP2	CS424	1.0352517578472156
LILRP2	IM293	9.047490032671488
LILRP2	IM296	1.064463289332191
LILRP2	IM297	1.0944885764691814
LILRP2	IM300	30
LILRP2	IM305	21.20755161987077
