Gene	sample	counts
LTK	CM317	28.34175704417942
LTK	CMCD140	826.6045820773967
LTK	CMCD147	137.1133794721522
LTK	CMCD152	916
LTK	CMCD154	129.24197457705384
LTK	CMCD159	94.18888696249536
LTK	CMCD161	242.74142616096225
LTK	CMCD174	236.17420578062305
LTK	CMCD196	526.6319556538982
LTK	CMCD198	87.37392808024268
LTK	CMCD203	165.52455126098354
LTK	CMCD211	363.10515423911426
LTK	CMCD227	336.73032747058835
LTK	CMCD240	226.7893701132274
LTK	CMCD259	131
LTK	CMCD270	306.5771121496588
LTK	CMCD275	1365.4127782108817
LTK	CMCD282	480.0237299417327
LTK	CMCD286	422.1477045018371
LTK	CMCD287	384
LTK	CMCD294	218.5929241696004
LTK	CMCD327	170.86392289917686
LTK	CMCD335	293.35917171642154
LTK	CMCD337	113.74984188284421
LTK	CMCD357	65.30352779383999
LTK	CMCD398	105.60958765086619
LTK	CMCD403	272.9327602825069
LTK	CMCD422	166.34641338024164
LTK	CMCD426	29.969892745332675
LTK	CMCD71	483.0363143468198
LTK	CMCD72	13.728486805810844
LTK	CMCD76	239.54185221541357
LTK	CMCD88	652.1173345341527
LTK	CMSA256	1601
LTK	CMSA316	120.96174833773317
LTK	CMUC110	269
LTK	CMUC192	256.3279229904198
LTK	CMUC199	234.06628066670982
LTK	CMUC200	239.55650165946335
LTK	CMUC208	560.3658799792122
LTK	CMUC231	82
LTK	CMUC234	196
LTK	CMUC285	106.14519745708319
LTK	CMUC291	251.64014806950095
LTK	CMUC295	498.44826405647194
LTK	CMUC299	183.53324926184783
LTK	CMUC301	250.13499499737654
LTK	CMUC307	201.5533649614042
LTK	CMUC313	12.487439754643995
LTK	CMUC314	11.58491762425138
LTK	CMUC323	33.76705601178348
LTK	CMUC324	113.10171453490226
LTK	CMUC331	134.1942972824667
LTK	CMUC333	18.40833907202023
LTK	CMUC334	56.8267715746804
LTK	CMUC346	96.0178338246901
LTK	CMUC352	44.261927303417714
LTK	CMUC360	30.037812207073237
LTK	CMUC363	52.3023732458117
LTK	CMUC365	84.54967314787874
LTK	CMUC366	90.29474401897284
LTK	CMUC368	100
LTK	CMUC377	110.44646033113094
LTK	CMUC379	79.9838664480193
LTK	CMUC380	189.28986478558042
LTK	CMUC383	60.827043155455996
LTK	CMUC394	74.53763503677195
LTK	CMUC419	184.35978935811218
LTK	CMUC427	168
LTK	CMUC428	45.2809254574159
LTK	CMUC431	191.349854726412
LTK	CMUC435	25.122186516339593
LTK	CMUC439	77.486481441875
LTK	CMUC89	338
LTK	CS219	460.1234176580912
LTK	CS256	1760.9834072907183
LTK	CS257	54.49899929390864
LTK	CS259	207.31655112244678
LTK	CS261	198.41220982965322
LTK	CS266	307.22888383829115
LTK	CS270	424.27075253259636
LTK	CS277	150.9632151392473
LTK	CS288	353.12129206647995
LTK	CS290	207.63468391842238
LTK	CS292	513.8960334493582
LTK	CS293	664.4564056496271
LTK	CS301	189.71777392064266
LTK	CS306	329.7621190875708
LTK	CS308	340.4332713892897
LTK	CS315	557.4348978098676
LTK	CS317	1.0691022518554174
LTK	CS322	117.527463659194
LTK	CS327	37.1733604500127
LTK	CS328	89.52393628258882
LTK	CS330	124.50041662919217
LTK	CS331	1478.6357234467532
LTK	CS335	72.14815092256731
LTK	CS338	54.560869220394316
LTK	CS339	12.806314673871602
LTK	CS343	94.74554450765753
LTK	CS344	63.862164270968016
LTK	CS350	165.53317353108682
LTK	CS351	391.18816603774695
LTK	CS361	50.13456351826951
LTK	CS388	73.35284811741862
LTK	CS396	35.37062275444044
LTK	CS405	63.48376491063412
LTK	CS415	33.25013467019696
LTK	CS424	26.916545704027605
LTK	IM293	495.6013984563382
LTK	IM296	147.96039721717455
LTK	IM297	27.362214411729536
LTK	IM300	1892
LTK	IM305	396.8841803147244
LTK	IM309	42.59857759127107
LTK	IM310	72.96316837412972
LTK	IM311	103.25752431049861
LTK	IM316	291.45995521783436
LTK	IM320	49.134803672126615
LTK	IM330	118.1838841687132
LTK	IM332	19.552717831280045
LTK	IM340	21.071758129605776
LTK	IM348	362.1986193424648
LTK	IM354	161.1411130819229
LTK	IM356	24.191195384470827
LTK	IM364	176.92549811456897
LTK	IM372	205.59026208641828
LTK	IM374	55.515376613977914
LTK	IM376	92.28123764727769
LTK	IM381	91.1080270951126
LTK	IM382	142.24599864805757
LTK	IM385	247
LTK	IM390	64.72386965595886
LTK	IM397	207.2808309118951
LTK	IM404	232.66501916873295
LTK	IM409	131.74085387444092
LTK	IM412	120
LTK	IM421	163.50479368411996
LTK	IM425	34.7161115370159
LTK	IM432	98.73607544881314
LTK	IM438	120
LTK	IM442	42.67642560329766
LTK	IM445	71.80141009550091
LTK	IM448	74.59210906030455
LTK	IM449	104.86557042837256
LTK	IM451	92.47036217883588
