Gene	sample	counts
LTV1	CM317	95.52221818593804
LTV1	CMCD140	126.16065050021317
LTV1	CMCD147	32.20086942149029
LTV1	CMCD152	454
LTV1	CMCD154	142.36811262003587
LTV1	CMCD159	1.0826308846263835
LTV1	CMCD161	295.90380461770195
LTV1	CMCD174	1.0883603953024104
LTV1	CMCD196	26.23071043486849
LTV1	CMCD198	58.59192824204509
LTV1	CMCD203	147.46732748705807
LTV1	CMCD211	269.3230283098066
LTV1	CMCD227	267.0902354146273
LTV1	CMCD240	443.3963603438201
LTV1	CMCD259	359
LTV1	CMCD270	166.85836267817496
LTV1	CMCD275	130.08733263604412
LTV1	CMCD282	21.266874111342588
LTV1	CMCD286	288.29599331832776
LTV1	CMCD287	288
LTV1	CMCD294	7.427914898967003
LTV1	CMCD327	198.00113418316377
LTV1	CMCD335	191.8890472528648
LTV1	CMCD337	137.90910033583768
LTV1	CMCD357	108.15896790854748
LTV1	CMCD398	151.87664509791233
LTV1	CMCD403	264.87570462841074
LTV1	CMCD422	238.49666496685248
LTV1	CMCD426	18.869932469283537
LTV1	CMCD71	221.39164407562572
LTV1	CMCD72	11.440405671509037
LTV1	CMCD76	226.51237908235763
LTV1	CMCD88	346.0622664859154
LTV1	CMSA256	293
LTV1	CMSA316	174.38652052023198
LTV1	CMUC110	413
LTV1	CMUC192	97.26276919794584
LTV1	CMUC199	33.87801430702379
LTV1	CMUC200	264.6147131301185
LTV1	CMUC208	211.5155647148726
LTV1	CMUC231	320
LTV1	CMUC234	314
LTV1	CMUC285	171.85412921622992
LTV1	CMUC291	212.3842849706588
LTV1	CMUC295	359.32314617725586
LTV1	CMUC299	235.6847736422636
LTV1	CMUC301	274.1479545171247
LTV1	CMUC307	275.7570913651052
LTV1	CMUC313	44.74665912080765
LTV1	CMUC314	85.30712068766925
LTV1	CMUC323	127.90551519614955
LTV1	CMUC324	234.21063009882417
LTV1	CMUC331	167.49062668337947
LTV1	CMUC333	109.42734892812025
LTV1	CMUC334	155.2588580522518
LTV1	CMUC346	183.94995532730104
LTV1	CMUC352	229.35725966316454
LTV1	CMUC360	152.19158184917106
LTV1	CMUC363	66.65988747015217
LTV1	CMUC365	141.92266564108215
LTV1	CMUC366	161.52726430060696
LTV1	CMUC368	390
LTV1	CMUC377	308.2460301968836
LTV1	CMUC379	10.664515526402573
LTV1	CMUC380	84.46805794195255
LTV1	CMUC383	78.06137204950187
LTV1	CMUC394	112.81371789349267
LTV1	CMUC419	110.61587361486731
