Gene	sample	counts
MIR106B	CM317	1.0496947053399786
MIR106B	CMCD140	1.0092852040017053
MIR106B	CMCD147	1.0387377232738804
MIR106B	CMCD152	1
MIR106B	CMCD154	1.0097029263832331
MIR106B	CMCD159	1.0826308846263835
MIR106B	CMCD161	1.0030637444667863
MIR106B	CMCD174	1.0883603953024104
MIR106B	CMCD196	9.079861304377555
MIR106B	CMCD198	1.027928565649914
MIR106B	CMCD203	1.0031790985514153
MIR106B	CMCD211	3.2062265274976975
MIR106B	CMCD227	1.6385904013167316
MIR106B	CMCD240	0.9256708984213363
MIR106B	CMCD259	1
MIR106B	CMCD270	2.010341719014156
MIR106B	CMCD275	1.0084289351631328
MIR106B	CMCD282	1.0127082910163139
MIR106B	CMCD286	1.8720519046644661
MIR106B	CMCD287	4
MIR106B	CMCD294	1.061130699852429
MIR106B	CMCD327	1.0050818994069226
MIR106B	CMCD335	1.0046546976589779
MIR106B	CMCD337	3.0199073066241824
MIR106B	CMCD357	1.0203676217787498
MIR106B	CMCD398	1.0058055966749162
MIR106B	CMCD403	1.007131956762018
MIR106B	CMCD422	1.002086827591817
MIR106B	CMCD426	1.109996027604914
MIR106B	CMCD71	1.0063256548892079
MIR106B	CMCD72	1.1440405671509037
MIR106B	CMCD76	2.004534328162457
MIR106B	CMCD88	3.0005398828258563
MIR106B	CMSA256	2
MIR106B	CMSA316	1.0080145694811098
MIR106B	CMUC110	5
MIR106B	CMUC192	2.0263076916238716
MIR106B	CMUC199	1.0266064941522361
MIR106B	CMUC200	1.0023284588262065
MIR106B	CMUC208	3.007330304002928
MIR106B	CMUC231	1
MIR106B	CMUC234	2
MIR106B	CMUC285	2.0218132848968224
MIR106B	CMUC291	1.0065605922780039
MIR106B	CMUC295	1.0009001286274537
MIR106B	CMUC299	1.0029139303926111
MIR106B	CMUC301	1.0005399799895063
MIR106B	CMUC307	1.0027530595094736
MIR106B	CMUC313	1.0406199795536664
MIR106B	CMUC314	1.0531743294773983
MIR106B	CMUC323	1.0232441215691963
MIR106B	CMUC324	1.0009001286274537
MIR106B	CMUC331	1.008979678815539
MIR106B	CMUC333	1.0226855040011238
MIR106B	CMUC334	1.0147637781192929
MIR106B	CMUC346	1.0107140402598958
MIR106B	CMUC352	2.0119057865189873
MIR106B	CMUC360	1.0012604069024411
MIR106B	CMUC363	1.0255367303100333
MIR106B	CMUC365	1.0065437279509373
MIR106B	CMUC366	1.0032749335441427
MIR106B	CMUC368	3
MIR106B	CMUC377	1.0040587302830086
MIR106B	CMUC379	1.0664515526402574
MIR106B	CMUC380	1.0176874450837656
MIR106B	CMUC383	1.0137840525909332
MIR106B	CMUC394	1.007265338334756
MIR106B	CMUC419	8.193768415916097
MIR106B	CMUC427	2
MIR106B	CMUC428	1.0062427879425755
MIR106B	CMUC431	1.0018317001382826
MIR106B	CMUC435	2.009774921307167
MIR106B	CMUC439	1.0063179408035714
MIR106B	CMUC89	3
MIR106B	CS219	2.004895066048328
MIR106B	CS256	3.006801492243685
MIR106B	CS257	1.089979985878173
MIR106B	CS259	4.006116929902354
MIR106B	CS261	1.0227433496373879
MIR106B	CS266	1.0344406863242126
MIR106B	CS270	1.0125793616529746
MIR106B	CS277	0.9435200946202956
MIR106B	CS288	1.0089179773327999
MIR106B	CS290	5.039676794136466
MIR106B	CS292	4.054406575537343
MIR106B	CS293	1.0159883878434666
MIR106B	CS301	1.0255014806521223
MIR106B	CS306	1.0369877958728642
MIR106B	CS308	1.0254014198472583
MIR106B	CS315	1.0265836055430344
MIR106B	CS317	1.0691022518554174
MIR106B	CS322	1.0131677901654654
MIR106B	CS327	1.0046854175679107
MIR106B	CS328	1.0532227797951625
MIR106B	CS330	1.0732794536999326
MIR106B	CS331	1.0183441621534113
MIR106B	CS335	0.5045325239340371
MIR106B	CS338	1.0294503626489493
MIR106B	CS339	1.1642104248974183
MIR106B	CS343	1.0079313245495483
MIR106B	CS344	1.0136851471582224
MIR106B	CS350	1.021809713154857
MIR106B	CS351	1.0082169227776983
MIR106B	CS361	1.0231543575157043
MIR106B	CS388	1.0331387058791355
MIR106B	CS396	3.0317676646663236
MIR106B	CS405	1.023931692107002
MIR106B	CS415	1.0725849893611923
MIR106B	CS424	1.0352517578472156
MIR106B	IM293	1.005276670296832
MIR106B	IM296	1.064463289332191
MIR106B	IM297	1.0944885764691814
MIR106B	IM300	1
MIR106B	IM305	4.039533641880147
MIR106B	IM309	1.0649644397817766
MIR106B	IM310	1.0133773385295795
MIR106B	IM311	1.0123286697107707
MIR106B	IM316	1.00503432833736
MIR106B	IM320	1.0454213547260982
MIR106B	IM330	1.01011866810866
MIR106B	IM332	1.0290904121726339
MIR106B	IM340	1.0535879064802887
MIR106B	IM348	1.034853198121328
MIR106B	IM354	1.007131956762018
MIR106B	IM356	1.007966474352951
MIR106B	IM364	1.016813207554994
MIR106B	IM372	0.9790012480305632
MIR106B	IM374	1.0474599361127908
MIR106B	IM376	1.014079534585469
MIR106B	IM381	1.0123114121679178
MIR106B	IM382	1.0307681061453446
MIR106B	IM385	4
MIR106B	IM390	1.0273630104120455
MIR106B	IM397	1.0111260044482688
MIR106B	IM404	1.0028664619341938
MIR106B	IM409	1.0056553730873352
MIR106B	IM412	1
MIR106B	IM421	1.0155577247460867
MIR106B	IM425	1.0520033799095727
MIR106B	IM432	1.0393271099875068
MIR106B	IM438	5
MIR106B	IM442	1.0408884293487235
MIR106B	IM445	3.033862398401447
MIR106B	IM448	1.021809713154857
MIR106B	IM449	1.0083227925805054
MIR106B	IM451	2.010225264757302
MIR106B	IMSA256	2.0081109844914873
MIR106B	IMSA276	3
MIR106B	IMSA286	1
MIR106B	IMSA343	1.0123997266953233
MIR106B	IS_238	3
MIR106B	IS238	4.604323469731883
MIR106B	IS243	5
MIR106B	IS253	2
MIR106B	IS283	2
MIR106B	IS322	8.082505494376262
MIR106B	IS399	1.0069400737425076
MIR106B	IS418	1.0908267191361551
MIR106B	IS430	1.0818719286848866
MIR106B	IS437	2.1583165477967206
MIR106B	IS444	1.0366814403266558
MIR106B	R276CMSA	1.061719097392973
MIR106B	R286CMSA	1
MIR106B	R292CMSA	1.0041473056389194
MIR106B	R292IMSA	1.073657155188672
