Gene	sample	counts
MS4A6A	CM317	621.4192655612673
MS4A6A	CMCD140	1251.5136529621147
MS4A6A	CMCD147	421.72751564919537
MS4A6A	CMCD152	2185
MS4A6A	CMCD154	734.0540274806104
MS4A6A	CMCD159	378.9208096192342
MS4A6A	CMCD161	1025.1311468450556
MS4A6A	CMCD174	416.84203140082315
MS4A6A	CMCD196	687.0428386979016
MS4A6A	CMCD198	432.75792613861375
MS4A6A	CMCD203	969.0710092006673
MS4A6A	CMCD211	770.2959232313218
MS4A6A	CMCD227	1223.2077345829402
MS4A6A	CMCD240	880.3130243986908
MS4A6A	CMCD259	1753
MS4A6A	CMCD270	655.3714003986149
MS4A6A	CMCD275	811.7852928063219
MS4A6A	CMCD282	620.7901823930004
MS4A6A	CMCD286	989.3794316151703
MS4A6A	CMCD287	1718
MS4A6A	CMCD294	400.04627384436577
MS4A6A	CMCD327	1064.381731471931
MS4A6A	CMCD335	932.3195594275315
MS4A6A	CMCD337	683.5056870659399
MS4A6A	CMCD357	594.8743234970111
MS4A6A	CMCD398	656.7910546287202
MS4A6A	CMCD403	1097.7738328705996
MS4A6A	CMCD422	1023.1306509712454
MS4A6A	CMCD426	476.18829584250807
MS4A6A	CMCD71	1309.2296770108594
MS4A6A	CMCD72	535.4109854266229
MS4A6A	CMCD76	1862.2123908629223
MS4A6A	CMCD88	1190.214153520923
MS4A6A	CMSA256	2440
MS4A6A	CMSA316	577.5923483126759
MS4A6A	CMUC110	2628
MS4A6A	CMUC192	854.0886920194619
MS4A6A	CMUC199	479.42523276909424
MS4A6A	CMUC200	1623.7721032984546
MS4A6A	CMUC208	1118.7268730890892
MS4A6A	CMUC231	3594
MS4A6A	CMUC234	1579
MS4A6A	CMUC285	605.5330788265984
MS4A6A	CMUC291	2592.900085708138
MS4A6A	CMUC295	871.7840120345121
MS4A6A	CMUC299	1247.6249294084082
MS4A6A	CMUC301	1780.961164381321
MS4A6A	CMUC307	624.7151560744021
MS4A6A	CMUC313	779.424364685696
MS4A6A	CMUC314	1028.9513198994182
MS4A6A	CMUC323	597.5745669964107
MS4A6A	CMUC324	674.6066866949037
MS4A6A	CMUC331	568.0555591731485
MS4A6A	CMUC333	834.5113712649171
MS4A6A	CMUC334	641.3307077713931
MS4A6A	CMUC346	865.1712184624708
MS4A6A	CMUC352	744.4051410120253
MS4A6A	CMUC360	590.7436400724404
MS4A6A	CMUC363	478.9256530547856
MS4A6A	CMUC365	622.0440238736793
MS4A6A	CMUC366	1101.5958770314685
MS4A6A	CMUC368	735
MS4A6A	CMUC377	919.7177969392358
MS4A6A	CMUC379	425.51416950346265
MS4A6A	CMUC380	538.356658449312
MS4A6A	CMUC383	600.1601591338325
MS4A6A	CMUC394	597.3083456325103
MS4A6A	CMUC419	508.013641786798
MS4A6A	CMUC427	1172
MS4A6A	CMUC428	808.0129587178882
MS4A6A	CMUC431	813.4873405122855
MS4A6A	CMUC435	783.8122193097952
MS4A6A	CMUC439	526.3042830402678
MS4A6A	CMUC89	935
MS4A6A	CS219	655.6006865978032
MS4A6A	CS256	1741.9403311731749
MS4A6A	CS257	382.58297504323866
MS4A6A	CS259	1014.549112497771
MS4A6A	CS261	868.3091038421422
MS4A6A	CS266	487.2215632587041
MS4A6A	CS270	555.9060695474831
MS4A6A	CS277	322.6838723601411
MS4A6A	CS288	669.9215369489791
MS4A6A	CS290	660.197660031877
MS4A6A	CS292	559.5081074241534
MS4A6A	CS293	457.19477452955994
MS4A6A	CS301	485.06220034845387
MS4A6A	CS306	450.052703408823
MS4A6A	CS308	539.3611468396579
MS4A6A	CS315	425.0056126948162
MS4A6A	CS317	343.18182284558895
MS4A6A	CS322	603.8480029386175
MS4A6A	CS327	689.2141964515868
MS4A6A	CS328	383.3730918454392
MS4A6A	CS330	379.9409266097761
