Gene	sample	counts
MYOZ2	CM317	1.0496947053399786
MYOZ2	CMCD140	1.0092852040017053
MYOZ2	CMCD147	1.0387377232738804
MYOZ2	CMCD152	14
MYOZ2	CMCD154	31.300790717880226
MYOZ2	CMCD159	1.0826308846263835
MYOZ2	CMCD161	2.0061274889335725
MYOZ2	CMCD174	1.0883603953024104
MYOZ2	CMCD196	2.0177469565283457
MYOZ2	CMCD198	1.027928565649914
MYOZ2	CMCD203	8.025432788411322
MYOZ2	CMCD211	11.221792846241941
MYOZ2	CMCD227	5.735066404608561
MYOZ2	CMCD240	7.4053671873706906
MYOZ2	CMCD259	10
MYOZ2	CMCD270	2.010341719014156
MYOZ2	CMCD275	1.0084289351631328
MYOZ2	CMCD282	1.0127082910163139
MYOZ2	CMCD286	3.7441038093289323
MYOZ2	CMCD287	7
MYOZ2	CMCD294	1.061130699852429
MYOZ2	CMCD327	3.015245698220768
MYOZ2	CMCD335	4.018618790635911
MYOZ2	CMCD337	6.039814613248365
MYOZ2	CMCD357	1.0203676217787498
MYOZ2	CMCD398	12.069667160098993
MYOZ2	CMCD403	1.007131956762018
MYOZ2	CMCD422	10.020868275918172
MYOZ2	CMCD426	1.109996027604914
MYOZ2	CMCD71	2.0126513097784158
MYOZ2	CMCD72	1.1440405671509037
MYOZ2	CMCD76	4.009068656324914
MYOZ2	CMCD88	8.001439687535616
MYOZ2	CMSA256	10
MYOZ2	CMSA316	25.200364237027745
MYOZ2	CMUC110	11
MYOZ2	CMUC192	1.0131538458119358
MYOZ2	CMUC199	1.0266064941522361
MYOZ2	CMUC200	6.013970752957239
MYOZ2	CMUC208	1.0024434346676425
MYOZ2	CMUC231	17
MYOZ2	CMUC234	3
MYOZ2	CMUC285	1.0109066424484112
MYOZ2	CMUC291	1.0065605922780039
MYOZ2	CMUC295	3.002700385882361
MYOZ2	CMUC299	1.0029139303926111
MYOZ2	CMUC301	2.0010799599790126
MYOZ2	CMUC307	3.0082591785284207
MYOZ2	CMUC313	1.0406199795536664
MYOZ2	CMUC314	1.0531743294773983
MYOZ2	CMUC323	1.0232441215691963
MYOZ2	CMUC324	3.002700385882361
MYOZ2	CMUC331	2.017959357631078
MYOZ2	CMUC333	1.0226855040011238
MYOZ2	CMUC334	1.0147637781192929
MYOZ2	CMUC346	12.12856848311875
MYOZ2	CMUC352	4.023811573037975
MYOZ2	CMUC360	2.0025208138048822
MYOZ2	CMUC363	1.0255367303100333
MYOZ2	CMUC365	2.0130874559018745
MYOZ2	CMUC366	8.026199468353141
MYOZ2	CMUC368	9
MYOZ2	CMUC377	2.0081174605660173
MYOZ2	CMUC379	1.0664515526402574
MYOZ2	CMUC380	1.0176874450837656
MYOZ2	CMUC383	1.0137840525909332
MYOZ2	CMUC394	4.029061353339024
MYOZ2	CMUC419	1.024221051989512
MYOZ2	CMUC427	9
MYOZ2	CMUC428	1.0062427879425755
MYOZ2	CMUC431	8.01465360110626
MYOZ2	CMUC435	1.0048874606535836
MYOZ2	CMUC439	11.069497348839285
MYOZ2	CMUC89	7
MYOZ2	CS219	2.004895066048328
MYOZ2	CS256	4.009068656324914
MYOZ2	CS257	1.089979985878173
MYOZ2	CS259	1.0015292324755884
MYOZ2	CS261	1.0227433496373879
MYOZ2	CS266	1.0344406863242126
MYOZ2	CS270	1.0125793616529746
MYOZ2	CS277	3.7740803784811825
MYOZ2	CS288	7.0624258413296
MYOZ2	CS290	1.007935358827293
MYOZ2	CS292	1.0136016438843358
MYOZ2	CS293	1.0159883878434666
MYOZ2	CS301	1.0255014806521223
