Gene	sample	counts
NBEAL1	CM317	281.31818103111425
NBEAL1	CMCD140	364.35195864461565
NBEAL1	CMCD147	273.1880212210305
NBEAL1	CMCD152	623
NBEAL1	CMCD154	248.38691989027535
NBEAL1	CMCD159	218.69143869452947
NBEAL1	CMCD161	377.1519679195116
NBEAL1	CMCD174	219.84879985108688
NBEAL1	CMCD196	326.875006957592
NBEAL1	CMCD198	280.6244984224265
NBEAL1	CMCD203	1072.398456351463
NBEAL1	CMCD211	493.75888523464545
NBEAL1	CMCD227	558.7593268490056
NBEAL1	CMCD240	919.1912021323869
NBEAL1	CMCD259	452
NBEAL1	CMCD270	377.9442431746613
NBEAL1	CMCD275	428.58229744433146
NBEAL1	CMCD282	266.34228053729055
NBEAL1	CMCD286	1092.342286371716
NBEAL1	CMCD287	1206
NBEAL1	CMCD294	248.3045837654684
NBEAL1	CMCD327	274.38735853808987
NBEAL1	CMCD335	288.33589822812667
NBEAL1	CMCD337	264.7452072140533
NBEAL1	CMCD357	238.76602349622746
NBEAL1	CMCD398	266.53848311885275
NBEAL1	CMCD403	319.2608302935597
NBEAL1	CMCD422	444.92655145076685
NBEAL1	CMCD426	286.3789751220678
NBEAL1	CMCD71	365.29621272478244
NBEAL1	CMCD72	247.1127625045952
NBEAL1	CMCD76	914.0676536420802
NBEAL1	CMCD88	765.1376701205933
NBEAL1	CMSA256	677
NBEAL1	CMSA316	576.5843337431949
NBEAL1	CMUC110	579
NBEAL1	CMUC192	263.41999991110333
NBEAL1	CMUC199	237.14610014916653
NBEAL1	CMUC200	307.7148368596454
NBEAL1	CMUC208	388.9480526510453
NBEAL1	CMUC231	1530
NBEAL1	CMUC234	574
NBEAL1	CMUC285	233.519434405583
NBEAL1	CMUC291	264.725435769115
NBEAL1	CMUC295	505.4545649568641
NBEAL1	CMUC299	445.29378509431933
NBEAL1	CMUC301	616.3326276735359
NBEAL1	CMUC307	351.96632388782524
NBEAL1	CMUC313	278.88615452038255
NBEAL1	CMUC314	243.283270109279
NBEAL1	CMUC323	236.36939208248435
NBEAL1	CMUC324	371.3339477207853
NBEAL1	CMUC331	248.2090009886226
NBEAL1	CMUC333	341.57695833637536
NBEAL1	CMUC334	282.10433031716343
NBEAL1	CMUC346	305.23564015848854
NBEAL1	CMUC352	239.41678859575947
NBEAL1	CMUC360	290.3655180017079
NBEAL1	CMUC363	252.28203565626822
NBEAL1	CMUC365	274.7864377306059
NBEAL1	CMUC366	428.3983966233489
NBEAL1	CMUC368	373
NBEAL1	CMUC377	281.1364444792424
NBEAL1	CMUC379	259.1477272915825
NBEAL1	CMUC380	264.59873572177906
NBEAL1	CMUC383	244.32195667441493
NBEAL1	CMUC394	326.35396962046093
NBEAL1	CMUC419	284.73345245308434
NBEAL1	CMUC427	341
NBEAL1	CMUC428	249.54821140975872
NBEAL1	CMUC431	287.5256979396871
NBEAL1	CMUC435	252.22675262404948
NBEAL1	CMUC439	383.4071354461607
NBEAL1	CMUC89	991
NBEAL1	CS219	445.0867046627288
NBEAL1	CS256	538.2174671116196
NBEAL1	CS257	281.2148363565686
NBEAL1	CS259	339.51840980922447
NBEAL1	CS261	256.70858075898434
NBEAL1	CS266	513.0825804168095
NBEAL1	CS270	427.30849061755526
NBEAL1	CS277	498.1786099595161
NBEAL1	CS288	460.0665976637568
NBEAL1	CS290	437.44394573104523
NBEAL1	CS292	348.6789654962115
NBEAL1	CS293	341.37209831540474
NBEAL1	CS301	297.3954293891155
NBEAL1	CS306	269.61682692694467
NBEAL1	CS308	254.29955212212002
NBEAL1	CS315	355.19792751788987
NBEAL1	CS317	333.5599025788902
NBEAL1	CS322	254.30511533153185
NBEAL1	CS327	335.5649294676822
NBEAL1	CS328	253.8266899306342
NBEAL1	CS330	224.31540582328591
NBEAL1	CS331	739.3178617233766
NBEAL1	CS335	298.17872164501597
NBEAL1	CS338	255.30368993693943
NBEAL1	CS339	274.75366027579076
