Gene	sample	counts
NUF2	CM317	15.745420580099678
NUF2	CMCD140	7.064996428011938
NUF2	CMCD147	1.0387377232738804
NUF2	CMCD152	116
NUF2	CMCD154	3.0291087791496993
NUF2	CMCD159	1.0826308846263835
NUF2	CMCD161	81.24816330180968
NUF2	CMCD174	42.446055416794
NUF2	CMCD196	9.079861304377555
NUF2	CMCD198	15.418928484748708
NUF2	CMCD203	12.038149182616985
NUF2	CMCD211	273.33081146917874
NUF2	CMCD227	176.14846814154865
NUF2	CMCD240	289.73499120587826
NUF2	CMCD259	610
NUF2	CMCD270	90.46537735563702
NUF2	CMCD275	20.168578703262657
NUF2	CMCD282	21.266874111342588
NUF2	CMCD286	222.77417665507147
NUF2	CMCD287	297
NUF2	CMCD294	14.855829797934007
NUF2	CMCD327	68.34556915967075
NUF2	CMCD335	47.21877078997196
NUF2	CMCD337	44.29197383048801
NUF2	CMCD357	135.70889369657374
NUF2	CMCD398	50.29027983374581
NUF2	CMCD403	90.64187610858163
NUF2	CMCD422	125.26085344897714
NUF2	CMCD426	3.3299880828147415
NUF2	CMCD71	41.25935185045752
NUF2	CMCD72	13.728486805810844
NUF2	CMCD76	111.25165521301635
NUF2	CMCD88	218.03923148534554
NUF2	CMSA256	95
NUF2	CMSA316	17.136247681178865
NUF2	CMUC110	279
NUF2	CMUC192	19.24992307042678
NUF2	CMUC199	6.159638964913416
NUF2	CMUC200	94.21887512966342
NUF2	CMUC208	18.043981824017568
NUF2	CMUC231	17
NUF2	CMUC234	499
NUF2	CMUC285	125.352423663603
NUF2	CMUC291	66.43299909034825
NUF2	CMUC295	131.11791685019642
NUF2	CMUC299	126.36715522946899
NUF2	CMUC301	225.1214954976389
NUF2	CMUC307	108.29733042702316
NUF2	CMUC313	48.909139039022314
NUF2	CMUC314	2.1063486589547966
NUF2	CMUC323	47.069229592183035
NUF2	CMUC324	128.11521646431407
NUF2	CMUC331	58.52082137130127
NUF2	CMUC333	27.612508608030343
NUF2	CMUC334	59.87106290903828
NUF2	CMUC346	11.117854442858855
NUF2	CMUC352	143.85126373610757
NUF2	CMUC360	94.11847824882948
NUF2	CMUC363	25.638418257750835
NUF2	CMUC365	88.57584805968249
NUF2	CMUC366	46.15064694303056
NUF2	CMUC368	588
NUF2	CMUC377	123.49922382481004
NUF2	CMUC379	1.0664515526402574
NUF2	CMUC380	49.86668480910452
NUF2	CMUC383	44.606498314001065
NUF2	CMUC394	69.50130834509817
NUF2	CMUC419	37.89617892361195
NUF2	CMUC427	707
NUF2	CMUC428	227.41087007502207
NUF2	CMUC431	224.41030083097533
NUF2	CMUC435	188.91884260287372
NUF2	CMUC439	137.8655578900893
NUF2	CMUC89	58
NUF2	CS219	133.3255218922138
NUF2	CS256	43.09748805549282
NUF2	CS257	1.089979985878173
NUF2	CS259	213.32572651730032
NUF2	CS261	6.136460097824327
NUF2	CS266	17.585491667511615
NUF2	CS270	13.163531701488669
NUF2	CS277	0.9435200946202956
NUF2	CS288	51.4548168439728
NUF2	CS290	76.60308727087428
NUF2	CS292	32.435252604298746
NUF2	CS293	11.175872266278132
NUF2	CS301	8.204011845216979
NUF2	CS306	8.295902366982913
NUF2	CS308	60.49868377098824
NUF2	CS315	16.42533768868855
NUF2	CS317	1.0691022518554174
NUF2	CS322	327.25319622344534
NUF2	CS327	783.6546257029704
NUF2	CS328	1.0532227797951625
NUF2	CS330	1.0732794536999326
NUF2	CS331	1.0183441621534113
NUF2	CS335	28.758353864240117
NUF2	CS338	23.677358340925835
NUF2	CS339	2.3284208497948367
NUF2	CS343	111.88037702499985
NUF2	CS344	18.246332648848004
NUF2	CS350	1.021809713154857
NUF2	CS351	101.82990920054752
NUF2	CS361	113.57013368424317
NUF2	CS388	6.198832235274812
NUF2	CS396	227.38257484997425
NUF2	CS405	3.071795076321006
NUF2	CS415	1.0725849893611923
NUF2	CS424	30.02230097756925
NUF2	IM293	35.184683460389124
NUF2	IM296	1.064463289332191
NUF2	IM297	1.0944885764691814
NUF2	IM300	166
NUF2	IM305	22.21743503034081
NUF2	IM309	1.0649644397817766
NUF2	IM310	70.93641369707056
NUF2	IM311	10.123286697107707
NUF2	IM316	110.55377611710959
NUF2	IM320	30.317219287056847
NUF2	IM330	165.65946156982022
NUF2	IM332	21.610898655625313
NUF2	IM340	14.750230690724043
NUF2	IM348	13.453091575577263
NUF2	IM354	23.164035005526415
NUF2	IM356	23.183228910117876
NUF2	IM364	7.117692452884958
NUF2	IM372	15.664019968489011
NUF2	IM374	1.0474599361127908
NUF2	IM376	6.084477207512815
NUF2	IM381	38.467833662380876
NUF2	IM382	12.369217273744137
NUF2	IM385	35
NUF2	IM390	29.793527301949315
NUF2	IM397	36.400536160137676
NUF2	IM404	47.1347237109071
NUF2	IM409	41.231870296580745
NUF2	IM412	43
NUF2	IM421	53.824559411542594
NUF2	IM425	62.06819941466479
NUF2	IM432	16.62923375980011
NUF2	IM438	243
NUF2	IM442	5.2044421467436175
NUF2	IM445	21.23703678881013
NUF2	IM448	1.021809713154857
NUF2	IM449	20.166455851610106
NUF2	IM451	12.061351588543811
NUF2	IMSA256	59.23927404249888
NUF2	IMSA276	80
NUF2	IMSA286	198
NUF2	IMSA343	74.91757977545393
NUF2	IS_238	159
NUF2	IS238	372.43860955164564
NUF2	IS243	242
NUF2	IS253	112
NUF2	IS283	153
NUF2	IS322	21.216576922737687
NUF2	IS399	7.0485805161975525
NUF2	IS418	3.272480157408465
NUF2	IS430	6.491231572109319
NUF2	IS437	5.395791369491802
NUF2	IS444	15.550221604899837
NUF2	R276CMSA	1.061719097392973
NUF2	R286CMSA	222
NUF2	R292CMSA	57.2363964214184
NUF2	R292IMSA	1.073657155188672
NUF2	R308CMSA	26.67928216885775
NUF2	R316IMSA	40.77015783837339
NUF2	R347CMSA	7.444483846484643
NUF2	R347IMSA	12.746377761634527
NUF2	R371CMSA	91.36222625955315
NUF2	SRR10104064	18.860675963272605
NUF2	SRR10104065	90.52715275095782
NUF2	SRR10104066	82.51789994652427
NUF2	SRR10104067	58.31425734898819
NUF2	SRR10104068	107.4981769574715
NUF2	SRR10104069	84.96241067016352
NUF2	SRR10104070	132.79137448119096
NUF2	SRR10104071	2.321210581704469
NUF2	SRR10104072	21.39774969191431
NUF2	SRR10104073	29.250313095496168
NUF2	SRR10104074	21.916446856735917
NUF2	SRR10104075	19.567171182133208
NUF2	SRR10104076	65.7699045326915
NUF2	SRR10104077	23.11633333082153
NUF2	SRR10104078	48.94708009956591
NUF2	SRR10104079	26.14817125754241
NUF2	SRR10104080	12.336699782394527
NUF2	SRR10104081	40.6337629018901
NUF2	SRR10104082	21.645028808327123
NUF2	SRR10104083	22.327175619706782
NUF2	SRR10104084	10.67846735357961
NUF2	SRR10104085	21.466563869493193
NUF2	SRR10104086	46.115302896033654
NUF2	SRR10104087	180.57600142885175
NUF2	SRR10104088	64.58326346247974
NUF2	SRR10104089	27.23389470863082
NUF2	SRR10104090	47.209962275804976
NUF2	SRR10104091	27.09424466126296
NUF2	SRR10104092	58.73856536200512
NUF2	SRR10104093	89.98389508197977
NUF2	SRR10104094	20.68044898749607
NUF2	SRR10104095	15.810924080259152
NUF2	SRR10104096	41.24586870575384
NUF2	SRR10104097	23.388660410260083
NUF2	SRR10104098	35.01190045137757
NUF2	SRR10104099	27.23440476279319
NUF2	SRR10104100	34.988179494527515
NUF2	SRR10104101	134.74720524480668
NUF2	SRR10104102	81.22535445538583
NUF2	SRR10104103	24.197866978742173
NUF2	SRR10104104	90.37928708605304
NUF2	SRR10104105	22.69753896536848
NUF2	SRR10104106	15.826382176553741
NUF2	SRR10104107	158.50337029841754
NUF2	SRR10104108	75.51429119647558
NUF2	SRR10104109	20.131136995845207
NUF2	SRR10104110	7.139140167366739
NUF2	SRR10104111	40.27569859840769
NUF2	SRR10104112	3.559863430173723
NUF2	SRR10104113	45.576933978254516
NUF2	SRR10104114	4.691224474090213
NUF2	SRR10104115	11.442220039789802
NUF2	SRR10104116	43.96264718247112
NUF2	SRR10104117	28.048913140272678
NUF2	SRR10104118	12.576881358266247
NUF2	SRR10104119	5.9490941286016685
NUF2	SRR10104120	31.83918699966386
NUF2	SRR10104121	21.635494330120252
NUF2	SRR10104122	15.252984734558192
NUF2	SRR10104123	18.39481734928782
NUF2	SRR10104124	16.746205312105307
NUF2	SRR10104125	40.69290470339443
NUF2	SRR10104126	32.223096248370865
NUF2	SRR10104127	9.486705947065975
NUF2	SRR10104128	33.949631045324935
NUF2	SRR10104129	44.130717920961295
NUF2	SRR10104130	38.52243597880486
