Gene	sample	counts
NUS1	CM317	138.55970110487718
NUS1	CMCD140	199.83847039233765
NUS1	CMCD147	92.44765737137534
NUS1	CMCD152	1796
NUS1	CMCD154	296.8526603566705
NUS1	CMCD159	1.0826308846263835
NUS1	CMCD161	580.7739080462692
NUS1	CMCD174	2.1767207906048207
NUS1	CMCD196	92.8163600003039
NUS1	CMCD198	46.25678545424613
NUS1	CMCD203	1118.5446948848282
NUS1	CMCD211	1466.0470796983222
NUS1	CMCD227	1878.643895109633
NUS1	CMCD240	1966.1249882469183
NUS1	CMCD259	1492
NUS1	CMCD270	445.2906907616356
NUS1	CMCD275	235.97237082817307
NUS1	CMCD282	101.27082910163138
NUS1	CMCD286	2467.3644103477664
NUS1	CMCD287	2132
NUS1	CMCD294	36.07844379498259
NUS1	CMCD327	584.957665454829
NUS1	CMCD335	335.55466901809865
NUS1	CMCD337	509.3576990506121
NUS1	CMCD357	165.29955472815746
NUS1	CMCD398	284.6429838590013
NUS1	CMCD403	472.34488772138644
NUS1	CMCD422	756.5755548318219
NUS1	CMCD426	71.03974576671449
NUS1	CMCD71	405.5492389203508
NUS1	CMCD72	99.53152934212862
NUS1	CMCD76	1408.1853655341258
NUS1	CMCD88	2165.389615439326
NUS1	CMSA256	1168
NUS1	CMSA316	566.5041880483838
NUS1	CMUC110	1744
NUS1	CMUC192	345.4854614218701
NUS1	CMUC199	147.83133515792198
NUS1	CMUC200	747.73703028435
NUS1	CMUC208	465.13375368578613
NUS1	CMUC231	1828
NUS1	CMUC234	1843
NUS1	CMUC285	410.428096834055
NUS1	CMUC291	693.5202480795447
NUS1	CMUC295	792.7129018729433
NUS1	CMUC299	1535.4612274310875
NUS1	CMUC301	1611.8699077630945
NUS1	CMUC307	1141.132981721781
NUS1	CMUC313	162.33671681037194
NUS1	CMUC314	120.06187356042341
NUS1	CMUC323	225.1137067452232
NUS1	CMUC324	676.6084869521587
NUS1	CMUC331	344.0620704760988
NUS1	CMUC333	376.3482654724136
NUS1	CMUC334	527.6771646220323
NUS1	CMUC346	310.289210359788
NUS1	CMUC352	563.3336202253164
NUS1	CMUC360	230.2898935875615
NUS1	CMUC363	280.9970641049491
NUS1	CMUC365	402.61749118037494
NUS1	CMUC366	821.6821705726528
NUS1	CMUC368	886
NUS1	CMUC377	663.6828207170687
NUS1	CMUC379	51.18967452673235
NUS1	CMUC380	474.24234940903483
NUS1	CMUC383	199.71545836041386
NUS1	CMUC394	175.26416887024754
NUS1	CMUC419	199.72310513795486
NUS1	CMUC427	1206
NUS1	CMUC428	689.2763097406643
NUS1	CMUC431	829.516647714498
NUS1	CMUC435	611.9764635380325
NUS1	CMUC439	507.184242165
NUS1	CMUC89	1975
NUS1	CS219	450.0989423278496
NUS1	CS256	593.3421611360872
NUS1	CS257	30.51943960458884
NUS1	CS259	501.76614547026975
NUS1	CS261	71.59203447461715
NUS1	CS266	197.5781710879246
NUS1	CS270	246.05678488167283
NUS1	CS277	68.87696690728158
NUS1	CS288	340.0053583611536
NUS1	CS290	467.682006495864
NUS1	CS292	155.08105151430337
NUS1	CS293	73.15116392472959
NUS1	CS301	83.06561993282192
NUS1	CS306	37.33156065142311
NUS1	CS308	192.77546693128454
NUS1	CS315	85.20643926007185
NUS1	CS317	1.0691022518554174
NUS1	CS322	267.4762966036829
NUS1	CS327	592.7643963650673
NUS1	CS328	9.479005018156464
NUS1	CS330	1.0732794536999326
NUS1	CS331	218.94399486298343
