Gene	sample	counts
NUS1P3	CM317	1.0496947053399786
NUS1P3	CMCD140	1.0092852040017053
NUS1P3	CMCD147	1.0387377232738804
NUS1P3	CMCD152	2
NUS1P3	CMCD154	1.0097029263832331
NUS1P3	CMCD159	1.0826308846263835
NUS1P3	CMCD161	1.0030637444667863
NUS1P3	CMCD174	1.0883603953024104
NUS1P3	CMCD196	1.0088734782641728
NUS1P3	CMCD198	1.027928565649914
NUS1P3	CMCD203	1.0031790985514153
NUS1P3	CMCD211	0.8015566318744244
NUS1P3	CMCD227	3.2771808026334632
NUS1P3	CMCD240	0.9256708984213363
NUS1P3	CMCD259	1
NUS1P3	CMCD270	3.0155125785212342
NUS1P3	CMCD275	1.0084289351631328
NUS1P3	CMCD282	1.0127082910163139
NUS1P3	CMCD286	1.8720519046644661
NUS1P3	CMCD287	1
NUS1P3	CMCD294	1.061130699852429
NUS1P3	CMCD327	1.0050818994069226
NUS1P3	CMCD335	1.0046546976589779
NUS1P3	CMCD337	1.0066357688747274
NUS1P3	CMCD357	1.0203676217787498
NUS1P3	CMCD398	1.0058055966749162
NUS1P3	CMCD403	1.007131956762018
NUS1P3	CMCD422	1.002086827591817
NUS1P3	CMCD426	2.219992055209828
NUS1P3	CMCD71	1.0063256548892079
NUS1P3	CMCD72	1.1440405671509037
NUS1P3	CMCD76	3.006801492243685
NUS1P3	CMCD88	3.0005398828258563
NUS1P3	CMSA256	2
NUS1P3	CMSA316	1.0080145694811098
NUS1P3	CMUC110	1
NUS1P3	CMUC192	1.0131538458119358
NUS1P3	CMUC199	4.106425976608945
NUS1P3	CMUC200	1.0023284588262065
NUS1P3	CMUC208	2.004886869335285
NUS1P3	CMUC231	1
NUS1P3	CMUC234	1
NUS1P3	CMUC285	1.0109066424484112
NUS1P3	CMUC291	1.0065605922780039
NUS1P3	CMUC295	1.0009001286274537
NUS1P3	CMUC299	2.0058278607852222
NUS1P3	CMUC301	1.0005399799895063
NUS1P3	CMUC307	1.0027530595094736
NUS1P3	CMUC313	1.0406199795536664
NUS1P3	CMUC314	1.0531743294773983
NUS1P3	CMUC323	1.0232441215691963
NUS1P3	CMUC324	1.0009001286274537
NUS1P3	CMUC331	1.008979678815539
NUS1P3	CMUC333	2.0453710080022476
NUS1P3	CMUC334	1.0147637781192929
NUS1P3	CMUC346	1.0107140402598958
NUS1P3	CMUC352	1.0059528932594937
NUS1P3	CMUC360	21.026468544951264
NUS1P3	CMUC363	1.0255367303100333
NUS1P3	CMUC365	2.0130874559018745
NUS1P3	CMUC366	1.0032749335441427
NUS1P3	CMUC368	1
NUS1P3	CMUC377	1.0040587302830086
NUS1P3	CMUC379	1.0664515526402574
NUS1P3	CMUC380	1.0176874450837656
NUS1P3	CMUC383	2.0275681051818664
NUS1P3	CMUC394	1.007265338334756
NUS1P3	CMUC419	1.024221051989512
NUS1P3	CMUC427	1
NUS1P3	CMUC428	1.0062427879425755
NUS1P3	CMUC431	1.0018317001382826
NUS1P3	CMUC435	1.0048874606535836
NUS1P3	CMUC439	1.0063179408035714
NUS1P3	CMUC89	1
NUS1P3	CS219	1.002447533024164
NUS1P3	CS256	1.0022671640812284
NUS1P3	CS257	1.089979985878173
NUS1P3	CS259	1.0015292324755884
NUS1P3	CS261	1.0227433496373879
NUS1P3	CS266	21.723254412808465
NUS1P3	CS270	7.088055531570822
NUS1P3	CS277	34.91024350095094
NUS1P3	CS288	1.0089179773327999
NUS1P3	CS290	1.007935358827293
NUS1P3	CS292	1.0136016438843358
NUS1P3	CS293	1.0159883878434666
NUS1P3	CS301	1.0255014806521223
NUS1P3	CS306	4.147951183491457
NUS1P3	CS308	1.0254014198472583
NUS1P3	CS315	9.239252449887308
NUS1P3	CS317	26.727556296385433
NUS1P3	CS322	1.0131677901654654
NUS1P3	CS327	1.0046854175679107
NUS1P3	CS328	17.904787256517764
NUS1P3	CS330	1.0732794536999326
NUS1P3	CS331	1.0183441621534113
NUS1P3	CS335	4.036260191472297
NUS1P3	CS338	1.0294503626489493
NUS1P3	CS339	1.1642104248974183
NUS1P3	CS343	1.0079313245495483
NUS1P3	CS344	3.0410554414746676
NUS1P3	CS350	1.021809713154857
NUS1P3	CS351	1.0082169227776983
NUS1P3	CS361	2.0463087150314085
NUS1P3	CS388	1.0331387058791355
NUS1P3	CS396	1.010589221555441
NUS1P3	CS405	1.023931692107002
NUS1P3	CS415	1.0725849893611923
NUS1P3	CS424	19.669783399097096
NUS1P3	IM293	1.005276670296832
NUS1P3	IM296	1.064463289332191
NUS1P3	IM297	1.0944885764691814
NUS1P3	IM300	1
NUS1P3	IM305	1.0098834104700367
NUS1P3	IM309	12.779573277381319
NUS1P3	IM310	9.120396046766215
NUS1P3	IM311	1.0123286697107707
NUS1P3	IM316	2.01006865667472
NUS1P3	IM320	13.590477611439276
NUS1P3	IM330	3.03035600432598
NUS1P3	IM332	46.309068547768526
NUS1P3	IM340	18.9645823166452
NUS1P3	IM348	3.104559594363984
NUS1P3	IM354	1.007131956762018
NUS1P3	IM356	1.007966474352951
NUS1P3	IM364	7.117692452884958
NUS1P3	IM372	15.664019968489011
NUS1P3	IM374	1.0474599361127908
NUS1P3	IM376	11.15487488044016
NUS1P3	IM381	1.0123114121679178
NUS1P3	IM382	7.215376743017413
NUS1P3	IM385	1
NUS1P3	IM390	20.547260208240907
NUS1P3	IM397	6.066756026689613
NUS1P3	IM404	1.0028664619341938
NUS1P3	IM409	1.0056553730873352
NUS1P3	IM412	1
NUS1P3	IM421	1.0155577247460867
NUS1P3	IM425	190.41261176363267
NUS1P3	IM432	6.235962659925041
NUS1P3	IM438	1
NUS1P3	IM442	1.0408884293487235
NUS1P3	IM445	1.0112874661338156
NUS1P3	IM448	1.021809713154857
NUS1P3	IM449	1.0083227925805054
NUS1P3	IM451	1.005112632378651
NUS1P3	IMSA256	1.0040554922457436
NUS1P3	IMSA276	1
NUS1P3	IMSA286	1
NUS1P3	IMSA343	2.0247994533906466
NUS1P3	IS_238	2
NUS1P3	IS238	0.5115914966368759
NUS1P3	IS243	1
NUS1P3	IS253	1
NUS1P3	IS283	1
NUS1P3	IS322	1.0103131867970327
NUS1P3	IS399	12.08328088491009
NUS1P3	IS418	1.0908267191361551
NUS1P3	IS430	3.2456157860546595
NUS1P3	IS437	1.0791582738983603
NUS1P3	IS444	1.0366814403266558
NUS1P3	R276CMSA	1.061719097392973
NUS1P3	R286CMSA	1
NUS1P3	R292CMSA	1.0041473056389194
NUS1P3	R292IMSA	1.073657155188672
NUS1P3	R308CMSA	1.06717128675431
NUS1P3	R316IMSA	1.0192539459593348
NUS1P3	R347CMSA	35.09542384771332
NUS1P3	R347IMSA	1.0621981468028772
NUS1P3	R371CMSA	12.047766100160855
NUS1P3	SRR10104064	1.1094515272513297
NUS1P3	SRR10104065	1.0058572527884204
NUS1P3	SRR10104066	1.0187395055126454
NUS1P3	SRR10104067	1.023057146473477
NUS1P3	SRR10104068	1.0046558594156214
NUS1P3	SRR10104069	1.0114572698828992
NUS1P3	SRR10104070	1.0293904998541934
NUS1P3	SRR10104071	1.1606052908522344
NUS1P3	SRR10104072	1.0698874845957154
NUS1P3	SRR10104073	1.044654039124863
NUS1P3	SRR10104074	1.095822342836796
NUS1P3	SRR10104075	1.1510100695372476
NUS1P3	SRR10104076	1.0276547583233047
NUS1P3	SRR10104077	1.100777777658168
NUS1P3	SRR10104078	1.0414272361609767
NUS1P3	SRR10104079	1.0895071357309336
NUS1P3	SRR10104080	1.121518162035866
NUS1P3	SRR10104081	1.0158440725472526
NUS1P3	SRR10104082	1.0822514404163561
NUS1P3	SRR10104083	1.0631988390336564
NUS1P3	SRR10104084	1.067846735357961
NUS1P3	SRR10104085	1.0222173271187234
NUS1P3	SRR10104086	1.024784508800748
NUS1P3	SRR10104087	1.0032000079380652
NUS1P3	SRR10104088	1.0091134916012459
NUS1P3	SRR10104089	1.1347456128596176
NUS1P3	SRR10104090	1.0263035277348909
NUS1P3	SRR10104091	1.0420863331254986
NUS1P3	SRR10104092	1.0127338855518124
NUS1P3	SRR10104093	1.034297644620457
NUS1P3	SRR10104094	1.0340224493748036
NUS1P3	SRR10104095	1.0540616053506102
NUS1P3	SRR10104096	1.145718575159829
NUS1P3	SRR10104097	1.0631209277390947
NUS1P3	SRR10104098	1.0297617779816932
NUS1P3	SRR10104099	1.0474771062612767
NUS1P3	SRR10104100	1.0290641027802212
NUS1P3	SRR10104101	1.0055761585433334
NUS1P3	SRR10104102	1.0153169306923229
NUS1P3	SRR10104103	1.05208117298879
NUS1P3	SRR10104104	1.0154976077084612
NUS1P3	SRR10104105	1.0808351888270706
NUS1P3	SRR10104106	1.1304558697538387
NUS1P3	SRR10104107	1.00957560699629
NUS1P3	SRR10104108	1.0068572159530078
NUS1P3	SRR10104109	1.1183964997691782
NUS1P3	SRR10104110	1.1898566945611233
NUS1P3	SRR10104111	1.0327102204719922
NUS1P3	SRR10104112	1.186621143391241
NUS1P3	SRR10104113	1.0358394085966935
NUS1P3	SRR10104114	1.1728061185225533
NUS1P3	SRR10104115	1.14422200397898
NUS1P3	SRR10104116	1.0467296948207412
NUS1P3	SRR10104117	1.038848634824914
NUS1P3	SRR10104118	1.143352850751477
NUS1P3	SRR10104119	1.1898188257203337
NUS1P3	SRR10104120	1.0270705483762537
NUS1P3	SRR10104121	1.0817747165060128
NUS1P3	SRR10104122	1.0894989096112995
NUS1P3	SRR10104123	1.082048079369872
NUS1P3	SRR10104124	1.1164136874736872
NUS1P3	SRR10104125	1.0998082352268765
NUS1P3	SRR10104126	1.0394547176893827
NUS1P3	SRR10104127	1.1858382433832468
NUS1P3	SRR10104128	1.0287766983431799
NUS1P3	SRR10104129	1.026295765603751
NUS1P3	SRR10104130	1.041146918346077
NUS1P3	SRR10104131	1.0113290464541402
NUS1P3	SRR10104132	1.007213437136861
NUS1P3	SRR10104133	1.1637684274221152
NUS1P3	SRR10104134	1.0301069188305016
NUS1P3	SRR10104135	1.100806080320317
NUS1P3	SRR10104136	1.015016246826139
NUS1P3	SRR10104137	1.107740379806039
NUS1P3	SRR10104138	1.195501466366171
NUS1P3	SRR10104139	1.011356708865119
NUS1P3	SRR10104140	1.1423063013482577
NUS1P3	SRR10104141	1.059516503163875
NUS1P3	SRR10104142	1.0513197704930992
NUS1P3	SRR10104143	1.0081784003065664
NUS1P3	SRR10104144	1.0594651714413874
NUS1P3	SRR10104145	1.0623428698869635
NUS1P3	SRR10104146	1.009621630502804
NUS1P3	SRR10104147	1.001709468619657
NUS1P3	SRR10104148	1.0516475471177122
NUS1P3	SRR10104149	1.0467449900052073
NUS1P3	SRR10104150	1.0116270753464878
NUS1P3	SRR10104151	1.0076559805417438
NUS1P3	SRR10104152	1.0056216750483238
NUS1P3	SRR10104153	1.1019297495172091
NUS1P3	SRR10104154	1.0305255485236042
NUS1P3	SRR10104155	1.0878745919585404
NUS1P3	SRR10104156	1.0040587302830086
NUS1P3	SRR10104157	1.048915508528946
NUS1P3	SRR10104158	1.020515544249276
NUS1P3	SRR10104159	1.0126004669704767
NUS1P3	SRR10104160	1.1246452493735022
NUS1P3	SRR10104161	1.0017262519502124
NUS1P3	SRR10104162	1.0203379943833408
NUS1P3	SRR10104163	1.0300988116116585
NUS1P3	SRR10104164	1.0196346259197715
NUS1P3	SRR10104165	1.0382728925974472
NUS1P3	SRR10104166	1.0407462625761652
NUS1P3	SRR10104167	1.0225819466033605
NUS1P3	SRR10104168	1.028619155105796
NUS1P3	SRR10104169	1.0246876051078921
NUS1P3	SRR10104170	1.0300621533967607
NUS1P3	SRR10104171	1.0239774453836796
NUS1P3	SRR10104172	1.0338434316089917
NUS1P3	SRR10104173	1.0603886751096372
NUS1P3	SRR10104174	1.0338308135451142
NUS1P3	SRR10104175	1.0224777066753272
NUS1P3	SRR10104176	1.02249117212648
NUS1P3	SRR10104177	1.0253301392642815
NUS1P3	SRR10104178	1.0384147366527665
NUS1P3	SRR10104179	1.0346450273897643
NUS1P3	SRR10104180	1.0219501836121274
NUS1P3	SRR10104181	1.0267665308530658
NUS1P3	SRR10104182	1.035134385886849
NUS1P3	SRR10104183	1.0476481310619528
NUS1P3	SRR10104184	1.0212735079721074
NUS1P3	SRR10104185	1.063606994083587
NUS1P3	SRR10104186	1.0329452604392448
NUS1P3	SRR10104187	1.0769831789043174
NUS1P3	SRR10104188	1.0538655428853925
NUS1P3	SRR10104189	1.0595562598302013
NUS1P3	SRR10104190	1.1456942406975419
NUS1P3	SRR10104191	1.1375415852920412
NUS1P3	SRR10104192	1.026052966107226
NUS1P3	SRR10104193	1.039842399081235
NUS1P3	SRR10104194	1.0428799048858834
NUS1P3	SRR10104195	1.041874169755153
NUS1P3	SRR10104196	1.0406484493629597
NUS1P3	SRR10104197	1.016827778198725
NUS1P3	SRR10104198	1.025845924075245
NUS1P3	SRR10104199	1.0822812473676409
NUS1P3	SRR10104200	1.0353416618928366
NUS1P3	SRR10104201	1.0262034008940275
NUS1P3	SRR10104202	1.0661565199682426
NUS1P3	SRR10104203	1.0226367394548255
NUS1P3	SRR10104204	1.0313459546081654
NUS1P3	SRR10104205	1.0268650017331544
NUS1P3	SRR10104206	1.0287660812770658
NUS1P3	SRR10104207	1.0327220098173928
NUS1P3	SRR10104208	1.0176351169212208
NUS1P3	SRR10104209	1.0231628517195777
NUS1P3	SRR10104210	1.0263049337229564
NUS1P3	SRR10104211	1.0187630485926629
NUS1P3	SRR10104212	1.0187543126316272
NUS1P3	SRR10104213	1.058921503370994
NUS1P3	SRR10104214	1.0299744390521086
NUS1P3	SRR10104215	1.0107140402598958
NUS1P3	SRR10104216	1.060640170595656
NUS1P3	SRR10104217	2.04982781655284
NUS1P3	SRR10104218	1.0636360366675373
NUS1P3	SRR10104219	1.0633498186525099
NUS1P3	SRR10104220	1.03511691930575
NUS1P3	SRR10104221	1.0872363603035893
NUS1P3	SRR10104222	1.0381384685659298
NUS1P3	SRR10104223	1.1766327257469633
NUS1P3	SRR10104224	1.0253851067334427
NUS1P3	SRR10104225	1.0314165053623716
NUS1P3	SRR10104226	1.0388893560726131
NUS1P3	SRR10104227	1.074938615735897
NUS1P3	SRR10104228	1.1189120562490085
NUS1P3	SRR10104229	1.0371677751979662
NUS1P3	SRR10104230	1.101165214661461
NUS1P3	SRR10104231	1.0760855121352966
NUS1P3	SRR10104232	1.0597726421651714
NUS1P3	SRR10104233	1.0718133708527031
NUS1P3	SRR10104234	1.0233588556108677
NUS1P3	SRR10104235	1.043603481105794
NUS1P3	SRR10104236	1.0093078766201782
NUS1P3	SRR10104237	1.0184909964241078
NUS1P3	SRR10104238	1.0703034082552154
NUS1P3	SRR10104239	1.0611784078973197
NUS1P3	SRR10104240	1.0723812048685664
NUS1P3	SRR10104241	1.0400598513679928
NUS1P3	SRR10104242	1.063845639897752
NUS1P3	SRR10104243	1.06730685614599
NUS1P3	SRR10104244	1.039511551636178
NUS1P3	SRR10104245	1.040779809770632
NUS1P3	SRR10104246	1.1058002069903252
NUS1P3	SRR10104247	1.0564288046419525
NUS1P3	SRR10104248	1.0740857704182307
NUS1P3	SRR10104249	1.0271816644146015
NUS1P3	SRR10104250	1.153013547676236
NUS1P3	SRR10104251	1.0466047478518792
NUS1P3	SRR10104252	1.1796947867396619
NUS1P3	SRR10104253	1.0961853754741664
NUS1P3	SRR10104254	1.0372141130641137
NUS1P3	SRR10104255	1.0309957549391915
NUS1P3	SRR10104256	1.0293845436631004
NUS1P3	SRR10104257	1.037517112746005
NUS1P3	SRR10104258	1.0307926732391595
NUS1P3	SRR10224277	1.0244173062905177
NUS1P3	SRR10224278	1.0926635070500108
NUS1P3	SRR10224279	1.089250843220296
NUS1P3	SRR10224280	1.0227917534671278
NUS1P3	SRR10224281	1.0161102598101706
NUS1P3	SRR10224282	1.0501757282099426
NUS1P3	SRR10224283	1.042245924204279
NUS1P3	SRR10224284	1.1092008744415571
NUS1P3	SRR10224285	1.1279661106950958
NUS1P3	SRR10224286	1.0254224279077875
NUS1P3	SRR10224287	1.033803410459708
NUS1P3	SRR10224288	1.0962707234129587
NUS1P3	SRR10224289	1.0935047184878017
NUS1P3	SRR10224290	1.095529172881304
NUS1P3	SRR10224291	1.0312113499898703
NUS1P3	SRR10224292	1.0118581905327977
NUS1P3	SRR10224293	4.122477041423245
NUS1P3	SRR10224294	1.0580047935764523
NUS1P3	SRR10224295	1.0860783600082067
NUS1P3	SRR10224296	1.0547229540206002
NUS1P3	SRR10224297	1.1274808217665389
NUS1P3	SRR10224298	1.0332224020270313
NUS1P3	SRR10318388	1.007335826080517
NUS1P3	SRR10318389	3.014110237713593
NUS1P3	SRR10318390	1.0123022113887696
NUS1P3	SRR10318391	2.023703328326166
NUS1P3	SRR10318392	2.0277106532845823
NUS1P3	SRR10318393	1.0028083682939712
NUS1P3	SRR10318394	2.026355867443473
NUS1P3	SRR10318395	1.0044169063073385
NUS1P3	SRR10318396	2.0158985823481257
NUS1P3	SRR10318397	2.0116389991654193
NUS1P3	SRR10318398	1.0034248015445335
NUS1P3	SRR10318399	5.250537229010087
NUS1P3	SRR10318400	1.0147756454841836
NUS1P3	SRR10318401	10.036053788169975
NUS1P3	SRR10318402	1.0042087153660115
NUS1P3	SRR10318403	7.033664219081235
NUS1P3	SRR10318404	4.0069050078008495
NUS1P3	SRR10318405	8.019226554713894
NUS1P3	SRR10318406	2.0090665666537353
NUS1P3	SRR10318407	1.0098124708404557
NUS1P3	SRR10318408	4.012010794420717
NUS1P3	SRR10318409	1.003152525939443
NUS1P3	SRR10318410	3.012166476737231
NUS1P3	SRR10318411	12.043638900354608
NUS1P3	SRR10318412	1.0048260094196193
NUS1P3	SRR10318413	14.053433547051213
NUS1P3	SRR10318414	4.023578483318934
NUS1P3	SRR10318415	10.06478060580776
NUS1P3	SRR10318416	11.108917091534416
NUS1P3	SRR10318417	1.0071565815090566
NUS1P3	SRR10318418	12.044965065473422
NUS1P3	SRR10318419	11.043821207564012
NUS1P3	SRR10318420	3.00540320245936
NUS1P3	SRR10318421	5.023718099736893
NUS1P3	SRR10318422	11.02295510350999
NUS1P3	SRR10318423	2.0029424325956993
NUS1P3	SRR10318424	23.047997034611797
NUS1P3	SRR10318425	1.0064830045107445
NUS1P3	SRR10318426	1.0953414278907072
NUS1P3	SRR10318427	1.108018223770156
NUS1P3	SRR10318428	2.002636821735583
NUS1P3	SRR10318429	1.0039837461421828
NUS1P3	SRR10318430	4.034398896723305
NUS1P3	SRR10318431	1.0051501237216312
NUS1P3	SRR10318432	1.0016788397052576
NUS1P3	SRR10318433	1.2750020383966563
NUS1P3	SRR10318434	3.0091408161820064
NUS1P3	SRR10318435	1.00593898850787
NUS1P3	SRR10318436	4.010933910125871
NUS1P3	SRR10318437	2.001440076213531
NUS1P3	SRR10318438	2.0025208138048822
NUS1P3	SRR10318439	3.0123008622849836
NUS1P3	SRR10318440	1.0157338737818744
NUS1P3	SRR10318441	10.027609048318652
NUS1P3	SRR10318442	1.0286330408058433
NUS1P3	SRR10318443	1.0022777857742395
NUS1P3	SRR10318444	1.0084894405469222
NUS1P3	SRR10318445	1.012049840442984
NUS1P3	SRR10318446	1.0039498099915638
NUS1P3	SRR10318447	1.0104267982146213
NUS1P3	SRR10318448	2.0138248157103735
NUS1P3	SRR10318449	1.002086827591817
NUS1P3	SRR10318450	1.0051877008321608
NUS1P3	SRR10318451	1
NUS1P3	SRR10318452	1.006256696893515
NUS1P3	SRR10318453	1.0198040239242185
NUS1P3	SRR10318454	1.0047509679775968
NUS1P3	SRR10318455	1.0060173630328704
NUS1P3	SRR10318456	6.039363553668023
NUS1P3	SRR10318457	3.0046380383590288
NUS1P3	SRR10318458	3.038079185213758
NUS1P3	SRR10318459	2.012891647491122
NUS1P3	SRR10318460	7.027766416008392
NUS1P3	SRR10318461	4.014054459897841
NUS1P3	SRR10318462	11.073332042960255
NUS1P3	SRR10318463	4.012377662912885
NUS1P3	SRR10318464	4.024781826842906
NUS1P3	SRR10318465	1.0009001286274537
NUS1P3	SRR10318466	14.131185732455043
NUS1P3	SRR10318467	13.065792360355701
NUS1P3	SRR10318468	2.019468624265647
NUS1P3	SRR10318469	9.031622534770143
NUS1P3	SRR10318470	9
NUS1P3	SRR10318471	16
NUS1P3	SRR10318472	6.026400467378771
NUS1P3	SRR10318473	4.015499335940071
NUS1P3	SRR10318474	3.012534030099097
NUS1P3	SRR10318475	1.0039973297278573
NUS1P3	SRR10318476	3.0107249578425197
NUS1P3	SRR10318495	1.0010802515574013
NUS1P3	SRR10318496	1.0088054482891373
NUS1P3	SRR10318497	1.0054703162308267
NUS1P3	SRR10318498	1.0009001286274537
NUS1P3	SRR10318499	3.0030164695573105
NUS1P3	SRR10318500	3.017192330170101
NUS1P3	SRR10318501	3.014478028258858
NUS1P3	SRR10318502	5.0026998999475305
NUS1P3	SRR10318503	1.0018010674864533
NUS1P3	SRR10318504	1.006604989330596
NUS1P3	SRR10318505	1.0005399799895063
NUS1P3	SRR10318506	5.059598876835833
NUS1P3	SRR10318507	5.059871297589078
NUS1P3	SRR10318508	2.0619368910168445
NUS1P3	SRR10318509	3.0205307810234756
NUS1P3	SRR10318510	8.063423900069736
NUS1P3	SRR10318511	1.0012604069024411
NUS1P3	SRR10318512	1.00761712043278
NUS1P3	SRR10318513	12.039667335158743
NUS1P3	SRR10318514	1.0045976621199102
NUS1P3	SRR10318515	9.107375479127692
NUS1P3	SRR10318516	5.02962689326258
NUS1P3	SRR10318517	4.0105117377058574
NUS1P3	SRR10318518	2.0143462618493038
NUS1P3	SRR10318519	4.018876900797501
NUS1P3	SRR10318520	1.0019813525502068
NUS1P3	SRR10318521	4.01447700524772
NUS1P3	SRR10318522	1.0013658060526471
NUS1P3	SRR10318523	5.011335820406142
NUS1P3	SRR10318524	7.053722358316587
NUS1P3	SRR10318525	1.0061984068651417
NUS1P3	SRR10318526	3.019548591550729
NUS1P3	SRR10318527	5.001799771349224
NUS1P3	SRR10318528	1.0025362599557612
NUS1P3	SRR10318529	5.011335820406142
NUS1P3	SRR10318530	4.0269613242978135
NUS1P3	SRR10318531	1.0089179773327999
NUS1P3	SRR10318532	3.024761093195654
NUS1P3	SRR10318533	9.20871644620253
NUS1P3	SRR10318534	1.0175665606361486
NUS1P3	SRR10318535	7.108483253959228
NUS1P3	SRR10318536	4.016221968982975
NUS1P3	SRR10318537	1.0108415032166953
NUS1P3	SRR10318538	1.0018317001382826
NUS1P3	SRR10318539	11.07938353894204
NUS1P3	SRR10318540	1.0054502276354615
NUS1P3	SRR10318541	5.035452446185619
NUS1P3	SRR10318542	5.040170442658037
NUS1P3	SRR10318543	5.05003931274552
NUS1P3	SRR10318544	4.009912741773379
NUS1P3	SRR10318545	1.0086306245764651
NUS1P3	SRR10318546	8.011524757347253
NUS1P3	SRR10318547	6.023718286128046
NUS1P3	SRR10318548	2.0096797975738245
NUS1P3	SRR10318549	10.068752498555543
NUS1P3	SRR10318568	3.009457577818329
NUS1P3	SRR10318569	5.004126901871276
NUS1P3	SRR10318570	3.031906787762416
NUS1P3	SRR10318571	2.00165076074851
NUS1P3	SRR10318572	6.0285058078655815
NUS1P3	SRR10318573	11.016183379276347
NUS1P3	SRR10318574	1.0024307376089714
NUS1P3	SRR10318575	3.0140912128695265
NUS1P3	SRR10318576	7.030149560256148
NUS1P3	SRR10318577	1.0028971271632066
