Gene	sample	counts
OFD1P17	CM317	1.0496947053399786
OFD1P17	CMCD140	1.0092852040017053
OFD1P17	CMCD147	1.0387377232738804
OFD1P17	CMCD152	2
OFD1P17	CMCD154	2.0194058527664662
OFD1P17	CMCD159	1.0826308846263835
OFD1P17	CMCD161	1.0030637444667863
OFD1P17	CMCD174	1.0883603953024104
OFD1P17	CMCD196	2.0177469565283457
OFD1P17	CMCD198	1.027928565649914
OFD1P17	CMCD203	6.019074591308493
OFD1P17	CMCD211	1.6031132637488488
OFD1P17	CMCD227	0.8192952006583658
OFD1P17	CMCD240	1.8513417968426726
OFD1P17	CMCD259	5
OFD1P17	CMCD270	1.005170859507078
OFD1P17	CMCD275	1.0084289351631328
OFD1P17	CMCD282	1.0127082910163139
OFD1P17	CMCD286	1.8720519046644661
OFD1P17	CMCD287	5
OFD1P17	CMCD294	1.061130699852429
OFD1P17	CMCD327	1.0050818994069226
OFD1P17	CMCD335	8.037237581271823
OFD1P17	CMCD337	3.0199073066241824
OFD1P17	CMCD357	1.0203676217787498
OFD1P17	CMCD398	1.0058055966749162
OFD1P17	CMCD403	1.007131956762018
OFD1P17	CMCD422	4.008347310367268
OFD1P17	CMCD426	1.109996027604914
OFD1P17	CMCD71	1.0063256548892079
OFD1P17	CMCD72	1.1440405671509037
OFD1P17	CMCD76	1.0022671640812284
OFD1P17	CMCD88	1.000179960941952
OFD1P17	CMSA256	1
OFD1P17	CMSA316	2.0160291389622196
OFD1P17	CMUC110	3
OFD1P17	CMUC192	1.0131538458119358
OFD1P17	CMUC199	1.0266064941522361
OFD1P17	CMUC200	2.004656917652413
OFD1P17	CMUC208	2.004886869335285
OFD1P17	CMUC231	4
OFD1P17	CMUC234	4
OFD1P17	CMUC285	1.0109066424484112
OFD1P17	CMUC291	1.0065605922780039
OFD1P17	CMUC295	1.0009001286274537
OFD1P17	CMUC299	1.0029139303926111
OFD1P17	CMUC301	2.0010799599790126
OFD1P17	CMUC307	1.0027530595094736
OFD1P17	CMUC313	1.0406199795536664
OFD1P17	CMUC314	1.0531743294773983
OFD1P17	CMUC323	1.0232441215691963
OFD1P17	CMUC324	1.0009001286274537
OFD1P17	CMUC331	1.008979678815539
OFD1P17	CMUC333	1.0226855040011238
OFD1P17	CMUC334	1.0147637781192929
OFD1P17	CMUC346	1.0107140402598958
OFD1P17	CMUC352	1.0059528932594937
OFD1P17	CMUC360	1.0012604069024411
OFD1P17	CMUC363	1.0255367303100333
OFD1P17	CMUC365	1.0065437279509373
OFD1P17	CMUC366	4.013099734176571
OFD1P17	CMUC368	2
OFD1P17	CMUC377	1.0040587302830086
OFD1P17	CMUC379	1.0664515526402574
OFD1P17	CMUC380	1.0176874450837656
OFD1P17	CMUC383	1.0137840525909332
OFD1P17	CMUC394	1.007265338334756
OFD1P17	CMUC419	1.024221051989512
OFD1P17	CMUC427	2
OFD1P17	CMUC428	1.0062427879425755
OFD1P17	CMUC431	2.003663400276565
OFD1P17	CMUC435	1.0048874606535836
OFD1P17	CMUC439	1.0063179408035714
OFD1P17	CMUC89	2
OFD1P17	CS219	2.004895066048328
OFD1P17	CS256	2.004534328162457
OFD1P17	CS257	5.449899929390864
OFD1P17	CS259	1.0015292324755884
OFD1P17	CS261	1.0227433496373879
OFD1P17	CS266	1.0344406863242126
OFD1P17	CS270	1.0125793616529746
OFD1P17	CS277	9.435200946202956
OFD1P17	CS288	1.0089179773327999
OFD1P17	CS290	1.007935358827293
OFD1P17	CS292	1.0136016438843358
OFD1P17	CS293	1.0159883878434666
OFD1P17	CS301	1.0255014806521223
OFD1P17	CS306	1.0369877958728642
OFD1P17	CS308	1.0254014198472583
OFD1P17	CS315	1.0265836055430344
OFD1P17	CS317	1.0691022518554174
OFD1P17	CS322	1.0131677901654654
OFD1P17	CS327	3.0140562527037322
OFD1P17	CS328	1.0532227797951625
OFD1P17	CS330	1.0732794536999326
OFD1P17	CS331	1.0183441621534113
OFD1P17	CS335	8.072520382944594
OFD1P17	CS338	1.0294503626489493
OFD1P17	CS339	1.1642104248974183
OFD1P17	CS343	1.0079313245495483
OFD1P17	CS344	1.0136851471582224
OFD1P17	CS350	1.021809713154857
OFD1P17	CS351	1.0082169227776983
OFD1P17	CS361	1.0231543575157043
OFD1P17	CS388	3.099416117637406
OFD1P17	CS396	1.010589221555441
OFD1P17	CS405	1.023931692107002
OFD1P17	CS415	1.0725849893611923
OFD1P17	CS424	1.0352517578472156
OFD1P17	IM293	1.005276670296832
OFD1P17	IM296	1.064463289332191
OFD1P17	IM297	1.0944885764691814
OFD1P17	IM300	1
OFD1P17	IM305	1.0098834104700367
OFD1P17	IM309	1.0649644397817766
OFD1P17	IM310	1.0133773385295795
OFD1P17	IM311	1.0123286697107707
OFD1P17	IM316	1.00503432833736
OFD1P17	IM320	1.0454213547260982
OFD1P17	IM330	1.01011866810866
OFD1P17	IM332	1.0290904121726339
OFD1P17	IM340	1.0535879064802887
OFD1P17	IM348	1.034853198121328
OFD1P17	IM354	1.007131956762018
OFD1P17	IM356	8.063731794823608
OFD1P17	IM364	1.016813207554994
OFD1P17	IM372	3.916004992122253
OFD1P17	IM374	1.0474599361127908
OFD1P17	IM376	1.014079534585469
OFD1P17	IM381	1.0123114121679178
OFD1P17	IM382	1.0307681061453446
OFD1P17	IM385	1
OFD1P17	IM390	1.0273630104120455
OFD1P17	IM397	1.0111260044482688
OFD1P17	IM404	1.0028664619341938
OFD1P17	IM409	1.0056553730873352
OFD1P17	IM412	2
OFD1P17	IM421	1.0155577247460867
OFD1P17	IM425	1.0520033799095727
OFD1P17	IM432	1.0393271099875068
OFD1P17	IM438	2
OFD1P17	IM442	1.0408884293487235
OFD1P17	IM445	1.0112874661338156
OFD1P17	IM448	1.021809713154857
OFD1P17	IM449	1.0083227925805054
OFD1P17	IM451	1.005112632378651
OFD1P17	IMSA256	1.0040554922457436
OFD1P17	IMSA276	2
OFD1P17	IMSA286	1
OFD1P17	IMSA343	1.0123997266953233
OFD1P17	IS_238	1
OFD1P17	IS238	1.5347744899106275
OFD1P17	IS243	1
OFD1P17	IS253	1
OFD1P17	IS283	1
OFD1P17	IS322	1.0103131867970327
OFD1P17	IS399	2.013880147485015
OFD1P17	IS418	1.0908267191361551
OFD1P17	IS430	1.0818719286848866
OFD1P17	IS437	1.0791582738983603
OFD1P17	IS444	1.0366814403266558
OFD1P17	R276CMSA	1.061719097392973
OFD1P17	R286CMSA	1
OFD1P17	R292CMSA	1.0041473056389194
OFD1P17	R292IMSA	1.073657155188672
OFD1P17	R308CMSA	1.06717128675431
OFD1P17	R316IMSA	1.0192539459593348
OFD1P17	R347CMSA	1.063497692354949
OFD1P17	R347IMSA	1.0621981468028772
OFD1P17	R371CMSA	1.003980508346738
OFD1P17	SRR10104064	1.1094515272513297
OFD1P17	SRR10104065	2.011714505576841
