Gene	sample	counts
OMP	CM317	3.1490841160199357
OMP	CMCD140	9.083566836015349
OMP	CMCD147	1.0387377232738804
OMP	CMCD152	15
OMP	CMCD154	1.0097029263832331
OMP	CMCD159	1.0826308846263835
OMP	CMCD161	4.012254977867145
OMP	CMCD174	1.0883603953024104
OMP	CMCD196	9.079861304377555
OMP	CMCD198	5.13964282824957
OMP	CMCD203	2.0063581971028306
OMP	CMCD211	1.6031132637488488
OMP	CMCD227	11.470132809217121
OMP	CMCD240	16.662076171584054
OMP	CMCD259	3
OMP	CMCD270	5.02585429753539
OMP	CMCD275	1.0084289351631328
OMP	CMCD282	1.0127082910163139
OMP	CMCD286	27.144752617634758
OMP	CMCD287	43
OMP	CMCD294	1.061130699852429
OMP	CMCD327	3.015245698220768
OMP	CMCD335	1.0046546976589779
OMP	CMCD337	1.0066357688747274
OMP	CMCD357	1.0203676217787498
OMP	CMCD398	1.0058055966749162
OMP	CMCD403	1.007131956762018
OMP	CMCD422	3.0062604827754513
OMP	CMCD426	1.109996027604914
OMP	CMCD71	1.0063256548892079
OMP	CMCD72	1.1440405671509037
OMP	CMCD76	11.024938804893512
OMP	CMCD88	15.00269941412928
OMP	CMSA256	10
OMP	CMSA316	1.0080145694811098
OMP	CMUC110	5
OMP	CMUC192	2.0263076916238716
OMP	CMUC199	1.0266064941522361
OMP	CMUC200	4.009313835304826
OMP	CMUC208	1.0024434346676425
OMP	CMUC231	5
OMP	CMUC234	2
OMP	CMUC285	1.0109066424484112
OMP	CMUC291	1.0065605922780039
OMP	CMUC295	11.009901414901991
OMP	CMUC299	5.014569651963055
OMP	CMUC301	6.003239879937037
OMP	CMUC307	5.013765297547368
OMP	CMUC313	1.0406199795536664
OMP	CMUC314	1.0531743294773983
OMP	CMUC323	8.18595297255357
OMP	CMUC324	3.002700385882361
OMP	CMUC331	5.044898394077695
OMP	CMUC333	1.0226855040011238
OMP	CMUC334	5.073818890596464
OMP	CMUC346	1.0107140402598958
OMP	CMUC352	1.0059528932594937
OMP	CMUC360	1.0012604069024411
OMP	CMUC363	1.0255367303100333
OMP	CMUC365	1.0065437279509373
OMP	CMUC366	1.0032749335441427
OMP	CMUC368	4
OMP	CMUC377	1.0040587302830086
OMP	CMUC379	1.0664515526402574
OMP	CMUC380	1.0176874450837656
OMP	CMUC383	1.0137840525909332
OMP	CMUC394	1.007265338334756
OMP	CMUC419	4.096884207958048
OMP	CMUC427	2
OMP	CMUC428	1.0062427879425755
OMP	CMUC431	1.0018317001382826
OMP	CMUC435	7.034212224575086
OMP	CMUC439	5.031589704017857
OMP	CMUC89	10
