Gene	sample	counts
P2RY2	CM317	87.12466054321821
P2RY2	CMCD140	164.51348825227797
P2RY2	CMCD147	76.86659152226714
P2RY2	CMCD152	286
P2RY2	CMCD154	83.80534288980834
P2RY2	CMCD159	80.11468546235238
P2RY2	CMCD161	156.47794413681865
P2RY2	CMCD174	121.89636427386996
P2RY2	CMCD196	271.3869656530625
P2RY2	CMCD198	123.35142787798966
P2RY2	CMCD203	91.2892979681788
P2RY2	CMCD211	129.05061773178232
P2RY2	CMCD227	167.955516134965
P2RY2	CMCD240	246.22845898007546
P2RY2	CMCD259	128
P2RY2	CMCD270	174.89972955423158
P2RY2	CMCD275	153.28119814479618
P2RY2	CMCD282	163.0460348536265
P2RY2	CMCD286	365.98614736190314
P2RY2	CMCD287	215
P2RY2	CMCD294	143.25264448007792
P2RY2	CMCD327	107.54376323654073
P2RY2	CMCD335	119.55390902141838
P2RY2	CMCD337	116.76974918946838
P2RY2	CMCD357	82.64977736407873
P2RY2	CMCD398	91.52830929741737
P2RY2	CMCD403	108.77025133029795
P2RY2	CMCD422	101.21076958677354
P2RY2	CMCD426	105.44962262246682
P2RY2	CMCD71	239.50550586363147
P2RY2	CMCD72	88.09112367061958
P2RY2	CMCD76	218.4942417697078
P2RY2	CMCD88	399.07180441583887
P2RY2	CMSA256	241
P2RY2	CMSA316	93.74535496174322
P2RY2	CMUC110	168
P2RY2	CMUC192	120.56530765162036
P2RY2	CMUC199	146.80472866376977
P2RY2	CMUC200	182.42377950636958
P2RY2	CMUC208	146.35674146147582
P2RY2	CMUC231	151
P2RY2	CMUC234	125
P2RY2	CMUC285	98.0579443174959
P2RY2	CMUC291	138.90536173436453
P2RY2	CMUC295	204.18362624000054
P2RY2	CMUC299	345.0023920550582
P2RY2	CMUC301	225.1214954976389
P2RY2	CMUC307	154.42397116445895
P2RY2	CMUC313	83.2495983642933
P2RY2	CMUC314	89.51981800557886
P2RY2	CMUC323	81.85952972553571
P2RY2	CMUC324	96.08641234823556
P2RY2	CMUC331	123.09552081549576
P2RY2	CMUC333	118.63151846413037
P2RY2	CMUC334	98.43208647757142
P2RY2	CMUC346	91.97497766365052
P2RY2	CMUC352	92.5476661798734
P2RY2	CMUC360	78.09831173839042
P2RY2	CMUC363	132.2942382099943
P2RY2	CMUC365	120.78524735411247
P2RY2	CMUC366	190.6222373733871
P2RY2	CMUC368	92
P2RY2	CMUC377	116.47081271282899
P2RY2	CMUC379	105.57870371138547
P2RY2	CMUC380	116.01636873954929
P2RY2	CMUC383	75.02001989172906
P2RY2	CMUC394	90.65388045012804
P2RY2	CMUC419	199.72310513795486
P2RY2	CMUC427	116
P2RY2	CMUC428	84.52439418717634
P2RY2	CMUC431	99.18133831368998
P2RY2	CMUC435	94.45942130143686
P2RY2	CMUC439	143.9034655349107
P2RY2	CMUC89	113
P2RY2	CS219	160.39160528386623
P2RY2	CS256	261.5917298252006
P2RY2	CS257	100.2781587007919
P2RY2	CS259	117.17892019964384
P2RY2	CS261	121.70645860684914
