Gene	sample	counts
PAXIP1	CM317	8.397557642719828
PAXIP1	CMCD140	43.39926377207333
PAXIP1	CMCD147	1.0387377232738804
PAXIP1	CMCD152	201
PAXIP1	CMCD154	16.15524682213173
PAXIP1	CMCD159	1.0826308846263835
PAXIP1	CMCD161	67.20527087927468
PAXIP1	CMCD174	1.0883603953024104
PAXIP1	CMCD196	28.248457391396837
PAXIP1	CMCD198	20.55857131299828
PAXIP1	CMCD203	275.87425210163923
PAXIP1	CMCD211	315.8133129585232
PAXIP1	CMCD227	284.29543462845294
PAXIP1	CMCD240	548.9228427638525
PAXIP1	CMCD259	407
PAXIP1	CMCD270	65.33610586796007
PAXIP1	CMCD275	31.261296990057115
PAXIP1	CMCD282	12.152499492195766
PAXIP1	CMCD286	413.72347093084704
PAXIP1	CMCD287	452
PAXIP1	CMCD294	4.244522799409716
PAXIP1	CMCD327	61.30999586382228
PAXIP1	CMCD335	43.20015199933605
PAXIP1	CMCD337	70.46450382123092
PAXIP1	CMCD357	27.549925788026247
PAXIP1	CMCD398	73.42380855726887
PAXIP1	CMCD403	42.29954218400476
PAXIP1	CMCD422	107.22329055232444
PAXIP1	CMCD426	17.759936441678622
PAXIP1	CMCD71	40.25302619556831
PAXIP1	CMCD72	4.576162268603615
PAXIP1	CMCD76	106.2403193926102
PAXIP1	CMCD88	171.0307733210738
PAXIP1	CMSA256	209
PAXIP1	CMSA316	58.46484502990437
PAXIP1	CMUC110	409
PAXIP1	CMUC192	21.276230762050652
PAXIP1	CMUC199	10.26606494152236
PAXIP1	CMUC200	91.21188975318479
PAXIP1	CMUC208	101.2467869014319
PAXIP1	CMUC231	271
PAXIP1	CMUC234	360
PAXIP1	CMUC285	42.45807898283328
PAXIP1	CMUC291	38.24930250656415
PAXIP1	CMUC295	153.1377196800004
PAXIP1	CMUC299	168.48954030595866
PAXIP1	CMUC301	239.12905521749198
PAXIP1	CMUC307	109.30008348653263
PAXIP1	CMUC313	66.59967869143465
PAXIP1	CMUC314	21.063486589547967
PAXIP1	CMUC323	21.488126552953123
PAXIP1	CMUC324	102.09181312000027
PAXIP1	CMUC331	55.493882334854646
PAXIP1	CMUC333	100.22317939211014
PAXIP1	CMUC334	72.04822824646979
PAXIP1	CMUC346	43.46070373117552
PAXIP1	CMUC352	126.7500645506962
PAXIP1	CMUC360	28.035291393268356
PAXIP1	CMUC363	27.6894917183709
PAXIP1	CMUC365	40.26174911803749
PAXIP1	CMUC366	119.38971709175297
PAXIP1	CMUC368	214
PAXIP1	CMUC377	114.46269525226298
PAXIP1	CMUC379	17.063224842244118
PAXIP1	CMUC380	18.318374011507782
PAXIP1	CMUC383	30.413521577727998
PAXIP1	CMUC394	22.15983744336463
PAXIP1	CMUC419	34.823515767643414
PAXIP1	CMUC427	313
PAXIP1	CMUC428	120.74913455310906
PAXIP1	CMUC431	134.24544781852987
PAXIP1	CMUC435	139.67935703084814
PAXIP1	CMUC439	75.47384556026786
PAXIP1	CMUC89	298
PAXIP1	CS219	88.21538290612642
PAXIP1	CS256	105.23805222852899
PAXIP1	CS257	4.359919943512692
PAXIP1	CS259	85.129984760425
PAXIP1	CS261	27.61407044020947
PAXIP1	CS266	10.344406863242126
PAXIP1	CS270	31.38996021124221
PAXIP1	CS277	24.531522460127686
PAXIP1	CS288	65.57966852663199
PAXIP1	CS290	41.32534971191902
PAXIP1	CS292	40.54406575537343
PAXIP1	CS293	10.159883878434664
PAXIP1	CS301	21.53553109369457
PAXIP1	CS306	13.480841346347233
PAXIP1	CS308	20.508028396945164
PAXIP1	CS315	6.159501633258206
PAXIP1	CS317	1.0691022518554174
PAXIP1	CS322	43.56621497711502
PAXIP1	CS327	233.0870168757553
PAXIP1	CS328	3.159668339385488
PAXIP1	CS330	1.0732794536999326
PAXIP1	CS331	18.330194918761403
PAXIP1	CS335	38.849004342920864
PAXIP1	CS338	21.618457615627936
PAXIP1	CS339	13.97052509876902
PAXIP1	CS343	57.45208549932425
PAXIP1	CS344	67.9169048596009
PAXIP1	CS350	9.196287418393712
PAXIP1	CS351	40.328676911107934
PAXIP1	CS361	57.29664402087944
PAXIP1	CS388	16.530219294066168
PAXIP1	CS396	122.28129580820838
PAXIP1	CS405	18.430770457926037
PAXIP1	CS415	5.362924946805961
PAXIP1	CS424	1.0352517578472156
PAXIP1	IM293	34.17940679009229
PAXIP1	IM296	1.064463289332191
PAXIP1	IM297	2.188977152938363
PAXIP1	IM300	233
PAXIP1	IM305	33.32615254551121
PAXIP1	IM309	1.0649644397817766
PAXIP1	IM310	47.62873491089023
PAXIP1	IM311	33.40684610045543
PAXIP1	IM316	67.33729999860311
PAXIP1	IM320	8.363370837808786
PAXIP1	IM330	52.52617074165032
PAXIP1	IM332	1.0290904121726339
PAXIP1	IM340	1.0535879064802887
PAXIP1	IM348	13.453091575577263
PAXIP1	IM354	70.49923697334125
PAXIP1	IM356	8.063731794823608
PAXIP1	IM364	30.50439622664982
PAXIP1	IM372	24.47503120076408
PAXIP1	IM374	48.183157061188375
