Gene	sample	counts
PPARGC1A	CM317	212.03833047867565
PPARGC1A	CMCD140	569.2368550569619
PPARGC1A	CMCD147	194.24395425221562
PPARGC1A	CMCD152	539
PPARGC1A	CMCD154	570.4821534065267
PPARGC1A	CMCD159	89.85836342398983
PPARGC1A	CMCD161	188.5759839597558
PPARGC1A	CMCD174	90.33391281010006
PPARGC1A	CMCD196	184.62384652234363
PPARGC1A	CMCD198	148.0217134535876
PPARGC1A	CMCD203	398.2621021249119
PPARGC1A	CMCD211	203.5953844961038
PPARGC1A	CMCD227	295.7655674376701
PPARGC1A	CMCD240	594.2807167864979
PPARGC1A	CMCD259	244
PPARGC1A	CMCD270	247.27203143874118
PPARGC1A	CMCD275	399.3378583246006
PPARGC1A	CMCD282	169.1222845997244
PPARGC1A	CMCD286	401.555133550528
PPARGC1A	CMCD287	1048
PPARGC1A	CMCD294	102.92967788568562
PPARGC1A	CMCD327	120.60982792883071
PPARGC1A	CMCD335	159.7400969277775
PPARGC1A	CMCD337	174.14798801532785
PPARGC1A	CMCD357	116.32190888277748
PPARGC1A	CMCD398	141.81858913116318
PPARGC1A	CMCD403	140.9984739466825
PPARGC1A	CMCD422	218.45492841501616
PPARGC1A	CMCD426	132.08952728498474
PPARGC1A	CMCD71	234.47387758918543
PPARGC1A	CMCD72	105.25173217788314
PPARGC1A	CMCD76	354.80257608475483
PPARGC1A	CMCD88	595.1070767604615
PPARGC1A	CMSA256	544
PPARGC1A	CMSA316	473.7668476561216
PPARGC1A	CMUC110	226
PPARGC1A	CMUC192	123.60476918905617
PPARGC1A	CMUC199	111.90010786259373
PPARGC1A	CMUC200	199.4633633064151
PPARGC1A	CMUC208	498.21438702981834
PPARGC1A	CMUC231	505
PPARGC1A	CMUC234	131
PPARGC1A	CMUC285	93.00341110525385
PPARGC1A	CMUC291	105.6888621891904
PPARGC1A	CMUC295	647.5823832219626
PPARGC1A	CMUC299	175.50993781870693
PPARGC1A	CMUC301	287.1549742569883
PPARGC1A	CMUC307	180.49555071170525
PPARGC1A	CMUC313	218.53019570626992
PPARGC1A	CMUC314	113.74282758355902
PPARGC1A	CMUC323	108.46387688633482
PPARGC1A	CMUC324	190.17102443921618
PPARGC1A	CMUC331	115.02368338497145
PPARGC1A	CMUC333	222.945439872245
PPARGC1A	CMUC334	212.08562962693222
PPARGC1A	CMUC346	221.34637481691718
PPARGC1A	CMUC352	144.8572166293671
PPARGC1A	CMUC360	206.2596438219029
PPARGC1A	CMUC363	91.27276899759296
PPARGC1A	CMUC365	144.94229682493497
PPARGC1A	CMUC366	175.57311337022495
PPARGC1A	CMUC368	111
PPARGC1A	CMUC377	166.67374922697942
PPARGC1A	CMUC379	109.8445099219465
PPARGC1A	CMUC380	93.62724494770644
PPARGC1A	CMUC383	105.43354146945707
PPARGC1A	CMUC394	113.82098323182743
PPARGC1A	CMUC419	160.8027051623534
PPARGC1A	CMUC427	121
PPARGC1A	CMUC428	102.6367643701427
PPARGC1A	CMUC431	183.33520112530573
PPARGC1A	CMUC435	95.46430876209044
PPARGC1A	CMUC439	172.0803678774107
PPARGC1A	CMUC89	485
PPARGC1A	CS219	326.79789576587746
