Gene	sample	counts
RBSN	CM317	266.62245515635453
RBSN	CMCD140	730.7224876972347
RBSN	CMCD147	362.51946542258423
RBSN	CMCD152	694
RBSN	CMCD154	817.8593703704188
RBSN	CMCD159	303.1366476953874
RBSN	CMCD161	540.6513582675977
RBSN	CMCD174	250.32289091955437
RBSN	CMCD196	399.5138973926124
RBSN	CMCD198	328.93714100797246
RBSN	CMCD203	1116.5383366877254
RBSN	CMCD211	710.9807324726145
RBSN	CMCD227	593.1697252766569
RBSN	CMCD240	693.3275029175809
RBSN	CMCD259	669
RBSN	CMCD270	394.0269769267746
RBSN	CMCD275	506.23132545189264
RBSN	CMCD282	430.40102368193334
RBSN	CMCD286	693.5952306781847
RBSN	CMCD287	714
RBSN	CMCD294	310.91129505676173
RBSN	CMCD327	421.12931585150056
RBSN	CMCD335	457.117887434835
RBSN	CMCD337	558.6828517254737
RBSN	CMCD357	331.6194770780937
RBSN	CMCD398	380.1945155431183
RBSN	CMCD403	465.2949640240523
RBSN	CMCD422	436.9098568300323
RBSN	CMCD426	259.73907045954985
RBSN	CMCD71	457.8781729745896
RBSN	CMCD72	250.5448842060479
RBSN	CMCD76	399.90459846841014
RBSN	CMCD88	579.1041973853902
RBSN	CMSA256	722
RBSN	CMSA316	540.2958092418748
RBSN	CMUC110	764
RBSN	CMUC192	355.61699987998946
RBSN	CMUC199	351.09942100006475
RBSN	CMUC200	493.1456017424936
RBSN	CMUC208	553.3487759365387
RBSN	CMUC231	1188
RBSN	CMUC234	655
RBSN	CMUC285	329.5555654381821
RBSN	CMUC291	398.5979945420895
RBSN	CMUC295	453.40775826823653
RBSN	CMUC299	466.35497763256416
RBSN	CMUC301	547.2953690542599
RBSN	CMUC307	458.25814819582945
RBSN	CMUC313	356.93265298690756
RBSN	CMUC314	283.30389462942014
RBSN	CMUC323	290.60133052565175
RBSN	CMUC324	502.45186457098174
RBSN	CMUC331	342.04411111846775
RBSN	CMUC333	380.4390074884181
RBSN	CMUC334	299.3553145451914
RBSN	CMUC346	581.1605731494401
RBSN	CMUC352	473.80381272522146
RBSN	CMUC360	358.451225671074
RBSN	CMUC363	359.96339233882173
RBSN	CMUC365	355.3099359666809
RBSN	CMUC366	551.8012134492784
RBSN	CMUC368	532
RBSN	CMUC377	463.87513339074997
RBSN	CMUC379	281.5432098970279
RBSN	CMUC380	338.889919212894
RBSN	CMUC383	404.49983698378236
RBSN	CMUC394	401.8988699955676
RBSN	CMUC419	379.98601028810896
RBSN	CMUC427	675
RBSN	CMUC428	396.4596584493748
RBSN	CMUC431	498.91218666886476
RBSN	CMUC435	434.11138300234813
RBSN	CMUC439	434.72935042714283
RBSN	CMUC89	647
RBSN	CS219	415.0132786720039
RBSN	CS256	423.9590104063596
RBSN	CS257	237.61563692144168
RBSN	CS259	424.64839456964944
RBSN	CS261	384.5514994636578
RBSN	CS266	335.1587823690449
RBSN	CS270	389.84305423639523
RBSN	CS277	284.9430685753293
RBSN	CS288	370.2728976811376
RBSN	CS290	378.9836949190622
RBSN	CS292	369.9646000177826
RBSN	CS293	368.80378478717836
RBSN	CS301	367.1295300734598
RBSN	CS306	343.24296043391803
RBSN	CS308	272.75677767937066
RBSN	CS315	317.2143341127976
RBSN	CS317	370.97848139382984
RBSN	CS322	319.14785390212165
RBSN	CS327	460.14592124610317
RBSN	CS328	281.21048220530844
RBSN	CS330	246.8542743509845
RBSN	CS331	378.82402832106897
RBSN	CS335	141.77363922546445
RBSN	CS338	294.42280371759955
RBSN	CS339	261.94734560191915
RBSN	CS343	344.7125129959455
RBSN	CS344	355.8034866525361
RBSN	CS350	323.91367907008964
RBSN	CS351	476.88660447385126
RBSN	CS361	283.4137570318501
RBSN	CS388	314.07416658725714
RBSN	CS396	322.37796167618575
RBSN	CS405	296.9401907110306
RBSN	CS415	264.92849237221446
RBSN	CS424	277.4474711030538
RBSN	IM293	389.042071404874
