Gene	sample	counts
REC8	CM317	131.21183816749732
REC8	CMCD140	290.67413875249116
REC8	CMCD147	142.3070680885216
REC8	CMCD152	502
REC8	CMCD154	270.60038427070646
REC8	CMCD159	145.07253853993538
REC8	CMCD161	355.0845655412423
REC8	CMCD174	127.338166250382
REC8	CMCD196	257.26273695736404
REC8	CMCD198	133.63071353448882
REC8	CMCD203	382.2112365480893
REC8	CMCD211	563.4943122077203
REC8	CMCD227	586.6153636713899
REC8	CMCD240	475.7948417885669
REC8	CMCD259	588
REC8	CMCD270	257.323740033812
REC8	CMCD275	307.5708252247555
REC8	CMCD282	366.6004013479056
REC8	CMCD286	543.8310783050274
REC8	CMCD287	356
REC8	CMCD294	146.4360365796352
REC8	CMCD327	387.96161317107214
REC8	CMCD335	423.9642824120887
REC8	CMCD337	418.76047985188666
REC8	CMCD357	299.9880808029525
REC8	CMCD398	292.68942863240056
REC8	CMCD403	446.15945684557397
REC8	CMCD422	390.8138627608087
REC8	CMCD426	154.28944783708303
REC8	CMCD71	261.64467027119406
REC8	CMCD72	138.42890862525934
REC8	CMCD76	381.863789514948
REC8	CMCD88	443.07972269728475
REC8	CMSA256	616
REC8	CMSA316	361.8772304437184
REC8	CMUC110	477
REC8	CMUC192	241.13061530324072
REC8	CMUC199	207.37451181875167
REC8	CMUC200	357.8312598009557
REC8	CMUC208	225.54977280021959
REC8	CMUC231	369
REC8	CMUC234	539
REC8	CMUC285	279.0102333157615
REC8	CMUC291	362.3618132200814
REC8	CMUC295	268.2412344721576
REC8	CMUC299	242.70517115501187
REC8	CMUC301	377.20357245604384
REC8	CMUC307	505.38754199277474
REC8	CMUC313	124.87439754643995
REC8	CMUC314	132.69996551415218
REC8	CMUC323	223.0672185020848
REC8	CMUC324	298.2682383309812
REC8	CMUC331	264.35267584967124
REC8	CMUC333	128.8583735041416
REC8	CMUC334	177.58366117087627
REC8	CMUC346	172.83210088444218
REC8	CMUC352	262.5537051407278
REC8	CMUC360	215.27098748402486
REC8	CMUC363	174.34124415270568
REC8	CMUC365	347.25758614307335
REC8	CMUC366	423.38202195562815
REC8	CMUC368	694
REC8	CMUC377	343.38808575678894
REC8	CMUC379	145.037411159075
REC8	CMUC380	282.91710973328685
REC8	CMUC383	323.3971127765077
REC8	CMUC394	291.09968277874447
REC8	CMUC419	207.91687355387094
REC8	CMUC427	785
REC8	CMUC428	354.1974613557866
REC8	CMUC431	571.0440690788212
REC8	CMUC435	361.7594858352901
REC8	CMUC439	331.078602524375
REC8	CMUC89	251
REC8	CS219	426.04020153526966
REC8	CS256	501.1335820406142
REC8	CS257	139.51743819240613
REC8	CS259	511.7814377950256
REC8	CS261	203.52592657784018
REC8	CS266	193.44040834262776
REC8	CS270	161.00011850282297
REC8	CS277	169.83361703165323
REC8	CS288	261.3097561291952
REC8	CS290	336.6504098483159
REC8	CS292	253.40041097108394
REC8	CS293	148.3343046251461
REC8	CS301	186.64126947868627
REC8	CS306	144.1413036263281
REC8	CS308	187.64845983204825
REC8	CS315	198.13063586980562
REC8	CS317	125.08496346708382
REC8	CS322	314.0820149512943
REC8	CS327	389.8179420163494
REC8	CS328	137.9721841531663
REC8	CS330	166.35831532348953
REC8	CS331	242.36591059251188
REC8	CS335	78.70707373370979
REC8	CS338	219.27292724422622
REC8	CS339	136.21261971299796
REC8	CS343	369.91079610968416
REC8	CS344	187.53175222427114
REC8	CS350	186.99117750733882
REC8	CS351	440.59079525385414
REC8	CS361	190.306710497921
REC8	CS388	216.95912823461842
REC8	CS396	279.93321437085723
REC8	CS405	185.33163627136736
REC8	CS415	126.56502874462069
REC8	CS424	165.64028125555447
REC8	IM293	338.7782378900324
REC8	IM296	147.96039721717455
REC8	IM297	117.11027768220241
REC8	IM300	540
REC8	IM305	241.36213510233878
REC8	IM309	112.88623061686832
REC8	IM310	321.24061631387667
REC8	IM311	290.5383282069912
REC8	IM316	218.0924492492071
REC8	IM320	164.13115269199741
REC8	IM330	273.7421590574468
REC8	IM332	109.08358369029919
REC8	IM340	125.37696087115437
REC8	IM348	196.62210764305232
REC8	IM354	228.6189541849781
REC8	IM356	143.13123935811907
REC8	IM364	229.79978490742866
