Gene	sample	counts
RP11-366L5.1	CM317	6.298168232039871
RP11-366L5.1	CMCD140	4.037140816006821
RP11-366L5.1	CMCD147	5.193688616369402
RP11-366L5.1	CMCD152	23
RP11-366L5.1	CMCD154	7.067920484682632
RP11-366L5.1	CMCD159	1.0826308846263835
RP11-366L5.1	CMCD161	7.021446211267503
RP11-366L5.1	CMCD174	1.0883603953024104
RP11-366L5.1	CMCD196	2.0177469565283457
RP11-366L5.1	CMCD198	1.027928565649914
RP11-366L5.1	CMCD203	11.03497008406557
RP11-366L5.1	CMCD211	22.443585692483882
RP11-366L5.1	CMCD227	19.66308481580078
RP11-366L5.1	CMCD240	31.472810546325434
RP11-366L5.1	CMCD259	16
RP11-366L5.1	CMCD270	10.05170859507078
RP11-366L5.1	CMCD275	2.0168578703262656
RP11-366L5.1	CMCD282	2.0254165820326278
RP11-366L5.1	CMCD286	44.92924571194719
RP11-366L5.1	CMCD287	29
RP11-366L5.1	CMCD294	1.061130699852429
RP11-366L5.1	CMCD327	6.030491396441536
RP11-366L5.1	CMCD335	7.032582883612846
RP11-366L5.1	CMCD337	3.0199073066241824
RP11-366L5.1	CMCD357	1.0203676217787498
RP11-366L5.1	CMCD398	2.0116111933498324
RP11-366L5.1	CMCD403	1.007131956762018
RP11-366L5.1	CMCD422	14.02921558628544
RP11-366L5.1	CMCD426	1.109996027604914
RP11-366L5.1	CMCD71	9.056930894002871
RP11-366L5.1	CMCD72	1.1440405671509037
RP11-366L5.1	CMCD76	10.022671640812284
RP11-366L5.1	CMCD88	19.00341925789709
RP11-366L5.1	CMSA256	29
RP11-366L5.1	CMSA316	7.056101986367769
RP11-366L5.1	CMUC110	9
RP11-366L5.1	CMUC192	1.0131538458119358
RP11-366L5.1	CMUC199	2.0532129883044723
RP11-366L5.1	CMUC200	11.025613047088271
RP11-366L5.1	CMUC208	10.024434346676426
RP11-366L5.1	CMUC231	16
RP11-366L5.1	CMUC234	18
RP11-366L5.1	CMUC285	5.054533212242057
RP11-366L5.1	CMUC291	5.032802961390019
RP11-366L5.1	CMUC295	14.012601800784351
RP11-366L5.1	CMUC299	12.034967164711333
RP11-366L5.1	CMUC301	19.010259619800618
RP11-366L5.1	CMUC307	12.033036714113683
RP11-366L5.1	CMUC313	4.1624799182146655
RP11-366L5.1	CMUC314	1.0531743294773983
RP11-366L5.1	CMUC323	2.0464882431383926
RP11-366L5.1	CMUC324	6.005400771764722
RP11-366L5.1	CMUC331	5.044898394077695
RP11-366L5.1	CMUC333	2.0453710080022476
RP11-366L5.1	CMUC334	8.118110224954343
RP11-366L5.1	CMUC346	4.042856161039583
RP11-366L5.1	CMUC352	18.107152078670886
RP11-366L5.1	CMUC360	7.008822848317089
RP11-366L5.1	CMUC363	3.0766101909301002
RP11-366L5.1	CMUC365	7.045806095656561
RP11-366L5.1	CMUC366	26.085148272147705
RP11-366L5.1	CMUC368	3
RP11-366L5.1	CMUC377	13.05276349367911
RP11-366L5.1	CMUC379	1.0664515526402574
RP11-366L5.1	CMUC380	1.0176874450837656
RP11-366L5.1	CMUC383	8.110272420727465
RP11-366L5.1	CMUC394	1.007265338334756
RP11-366L5.1	CMUC419	1.024221051989512
RP11-366L5.1	CMUC427	11
RP11-366L5.1	CMUC428	5.0312139397128774
RP11-366L5.1	CMUC431	14.025643801935958
RP11-366L5.1	CMUC435	2.009774921307167
RP11-366L5.1	CMUC439	8.050543526428571
RP11-366L5.1	CMUC89	17
RP11-366L5.1	CS219	7.017132731169148
RP11-366L5.1	CS256	4.009068656324914
RP11-366L5.1	CS257	1.089979985878173
RP11-366L5.1	CS259	5.007646162377942
RP11-366L5.1	CS261	5.113716748186939
RP11-366L5.1	CS266	1.0344406863242126
RP11-366L5.1	CS270	2.025158723305949
RP11-366L5.1	CS277	16.983361703165322
RP11-366L5.1	CS288	1.0089179773327999
RP11-366L5.1	CS290	10.079353588272932
RP11-366L5.1	CS292	4.054406575537343
RP11-366L5.1	CS293	2.031976775686933
RP11-366L5.1	CS301	5.127507403260612
