Gene	sample	counts
RP11-435O5.4	CM317	1.0496947053399786
RP11-435O5.4	CMCD140	5.046426020008527
RP11-435O5.4	CMCD147	1.0387377232738804
RP11-435O5.4	CMCD152	2
RP11-435O5.4	CMCD154	5.048514631916166
RP11-435O5.4	CMCD159	1.0826308846263835
RP11-435O5.4	CMCD161	3.0091912334003585
RP11-435O5.4	CMCD174	1.0883603953024104
RP11-435O5.4	CMCD196	2.0177469565283457
RP11-435O5.4	CMCD198	1.027928565649914
RP11-435O5.4	CMCD203	2.0063581971028306
RP11-435O5.4	CMCD211	5.610896423120971
RP11-435O5.4	CMCD227	3.2771808026334632
RP11-435O5.4	CMCD240	9.256708984213363
RP11-435O5.4	CMCD259	7
RP11-435O5.4	CMCD270	3.0155125785212342
RP11-435O5.4	CMCD275	1.0084289351631328
RP11-435O5.4	CMCD282	3.0381248730489414
RP11-435O5.4	CMCD286	4.680129761661165
RP11-435O5.4	CMCD287	4
RP11-435O5.4	CMCD294	1.061130699852429
RP11-435O5.4	CMCD327	2.010163798813845
RP11-435O5.4	CMCD335	1.0046546976589779
RP11-435O5.4	CMCD337	1.0066357688747274
RP11-435O5.4	CMCD357	1.0203676217787498
RP11-435O5.4	CMCD398	5.02902798337458
RP11-435O5.4	CMCD403	1.007131956762018
RP11-435O5.4	CMCD422	4.008347310367268
RP11-435O5.4	CMCD426	1.109996027604914
RP11-435O5.4	CMCD71	10.063256548892078
RP11-435O5.4	CMCD72	1.1440405671509037
RP11-435O5.4	CMCD76	4.009068656324914
RP11-435O5.4	CMCD88	11.001979570361472
RP11-435O5.4	CMSA256	5
RP11-435O5.4	CMSA316	1.0080145694811098
RP11-435O5.4	CMUC110	4
RP11-435O5.4	CMUC192	2.0263076916238716
RP11-435O5.4	CMUC199	8.21285195321789
RP11-435O5.4	CMUC200	6.013970752957239
RP11-435O5.4	CMUC208	3.007330304002928
RP11-435O5.4	CMUC231	1
RP11-435O5.4	CMUC234	2
RP11-435O5.4	CMUC285	2.0218132848968224
RP11-435O5.4	CMUC291	1.0065605922780039
RP11-435O5.4	CMUC295	11.009901414901991
RP11-435O5.4	CMUC299	2.0058278607852222
RP11-435O5.4	CMUC301	3.0016199399685184
RP11-435O5.4	CMUC307	5.013765297547368
RP11-435O5.4	CMUC313	4.1624799182146655
RP11-435O5.4	CMUC314	5.265871647386992
RP11-435O5.4	CMUC323	2.0464882431383926
RP11-435O5.4	CMUC324	3.002700385882361
RP11-435O5.4	CMUC331	1.008979678815539
RP11-435O5.4	CMUC333	1.0226855040011238
RP11-435O5.4	CMUC334	1.0147637781192929
RP11-435O5.4	CMUC346	16.171424644158332
RP11-435O5.4	CMUC352	3.0178586797784805
RP11-435O5.4	CMUC360	3.0037812207073236
RP11-435O5.4	CMUC363	9.2298305727903
RP11-435O5.4	CMUC365	2.0130874559018745
RP11-435O5.4	CMUC366	1.0032749335441427
RP11-435O5.4	CMUC368	12
RP11-435O5.4	CMUC377	3.0121761908490257
RP11-435O5.4	CMUC379	1.0664515526402574
RP11-435O5.4	CMUC380	2.0353748901675313
RP11-435O5.4	CMUC383	1.0137840525909332
RP11-435O5.4	CMUC394	17.12351075169085
RP11-435O5.4	CMUC419	1.024221051989512
RP11-435O5.4	CMUC427	5
RP11-435O5.4	CMUC428	5.0312139397128774
RP11-435O5.4	CMUC431	2.003663400276565
RP11-435O5.4	CMUC435	2.009774921307167
RP11-435O5.4	CMUC439	2.012635881607143
RP11-435O5.4	CMUC89	5
RP11-435O5.4	CS219	10.02447533024164
RP11-435O5.4	CS256	6.01360298448737
RP11-435O5.4	CS257	1.089979985878173
RP11-435O5.4	CS259	6.00917539485353
RP11-435O5.4	CS261	3.0682300489121634
RP11-435O5.4	CS266	1.0344406863242126
RP11-435O5.4	CS270	4.050317446611898
RP11-435O5.4	CS277	0.9435200946202956
RP11-435O5.4	CS288	1.0089179773327999
RP11-435O5.4	CS290	4.031741435309172
RP11-435O5.4	CS292	6.0816098633060145
RP11-435O5.4	CS293	5.079941939217332
RP11-435O5.4	CS301	1.0255014806521223
RP11-435O5.4	CS306	2.0739755917457283
RP11-435O5.4	CS308	3.0762042595417745
RP11-435O5.4	CS315	1.0265836055430344
RP11-435O5.4	CS317	1.0691022518554174
RP11-435O5.4	CS322	3.0395033704963965
RP11-435O5.4	CS327	5.023427087839554
RP11-435O5.4	CS328	1.0532227797951625
RP11-435O5.4	CS330	1.0732794536999326
RP11-435O5.4	CS331	1.0183441621534113
RP11-435O5.4	CS335	2.0181300957361485
RP11-435O5.4	CS338	1.0294503626489493
RP11-435O5.4	CS339	1.1642104248974183
RP11-435O5.4	CS343	5.039656622747741
RP11-435O5.4	CS344	3.0410554414746676
RP11-435O5.4	CS350	1.021809713154857
RP11-435O5.4	CS351	8.065735382221586
RP11-435O5.4	CS361	2.0463087150314085
RP11-435O5.4	CS388	16.530219294066168
RP11-435O5.4	CS396	7.074124550888088
RP11-435O5.4	CS405	1.023931692107002
RP11-435O5.4	CS415	1.0725849893611923
RP11-435O5.4	CS424	4.141007031388862
RP11-435O5.4	IM293	3.0158300108904963
RP11-435O5.4	IM296	1.064463289332191
RP11-435O5.4	IM297	2.188977152938363
RP11-435O5.4	IM300	9
RP11-435O5.4	IM305	4.039533641880147
RP11-435O5.4	IM309	1.0649644397817766
RP11-435O5.4	IM310	5.0668866926478975
RP11-435O5.4	IM311	1.0123286697107707
RP11-435O5.4	IM316	5.025171641686799
RP11-435O5.4	IM320	1.0454213547260982
RP11-435O5.4	IM330	1.01011866810866
RP11-435O5.4	IM332	1.0290904121726339
RP11-435O5.4	IM340	1.0535879064802887
RP11-435O5.4	IM348	1.034853198121328
RP11-435O5.4	IM354	6.042791740572108
RP11-435O5.4	IM356	4.031865897411804
RP11-435O5.4	IM364	1.016813207554994
RP11-435O5.4	IM372	0.9790012480305632
RP11-435O5.4	IM374	1.0474599361127908
RP11-435O5.4	IM376	5.070397672927346
RP11-435O5.4	IM381	3.0369342365037535
RP11-435O5.4	IM382	1.0307681061453446
RP11-435O5.4	IM385	5
RP11-435O5.4	IM390	1.0273630104120455
RP11-435O5.4	IM397	5.055630022241344
RP11-435O5.4	IM404	4.011465847736775
RP11-435O5.4	IM409	8.045242984698682
RP11-435O5.4	IM412	1
RP11-435O5.4	IM421	1.0155577247460867
RP11-435O5.4	IM425	1.0520033799095727
RP11-435O5.4	IM432	1.0393271099875068
RP11-435O5.4	IM438	13
RP11-435O5.4	IM442	1.0408884293487235
RP11-435O5.4	IM445	1.0112874661338156
RP11-435O5.4	IM448	1.021809713154857
RP11-435O5.4	IM449	2.016645585161011
RP11-435O5.4	IM451	2.010225264757302
RP11-435O5.4	IMSA256	2.0081109844914873
RP11-435O5.4	IMSA276	5
RP11-435O5.4	IMSA286	4
RP11-435O5.4	IMSA343	6.07439836017194
RP11-435O5.4	IS_238	3
RP11-435O5.4	IS238	13.812970409195648
RP11-435O5.4	IS243	8
RP11-435O5.4	IS253	5
RP11-435O5.4	IS283	5
RP11-435O5.4	IS322	1.0103131867970327
RP11-435O5.4	IS399	1.0069400737425076
RP11-435O5.4	IS418	1.0908267191361551
RP11-435O5.4	IS430	1.0818719286848866
RP11-435O5.4	IS437	1.0791582738983603
RP11-435O5.4	IS444	1.0366814403266558
RP11-435O5.4	R276CMSA	1.061719097392973
RP11-435O5.4	R286CMSA	6
RP11-435O5.4	R292CMSA	11.045620362028112
RP11-435O5.4	R292IMSA	1.073657155188672
RP11-435O5.4	R308CMSA	3.20151386026293
RP11-435O5.4	R316IMSA	1.0192539459593348
RP11-435O5.4	R347CMSA	1.063497692354949
RP11-435O5.4	R347IMSA	1.0621981468028772
RP11-435O5.4	R371CMSA	2.007961016693476
RP11-435O5.4	SRR10104064	1.1094515272513297
RP11-435O5.4	SRR10104065	3.017571758365261
RP11-435O5.4	SRR10104066	2.0374790110252907
RP11-435O5.4	SRR10104067	1.023057146473477
RP11-435O5.4	SRR10104068	2.009311718831243
RP11-435O5.4	SRR10104069	4.045829079531597
RP11-435O5.4	SRR10104070	1.0293904998541934
RP11-435O5.4	SRR10104071	1.1606052908522344
RP11-435O5.4	SRR10104072	1.0698874845957154
RP11-435O5.4	SRR10104073	1.044654039124863
RP11-435O5.4	SRR10104074	1.095822342836796
RP11-435O5.4	SRR10104075	2.302020139074495
RP11-435O5.4	SRR10104076	4.110619033293219
RP11-435O5.4	SRR10104077	1.100777777658168
RP11-435O5.4	SRR10104078	2.0828544723219533
RP11-435O5.4	SRR10104079	1.0895071357309336
RP11-435O5.4	SRR10104080	1.121518162035866
RP11-435O5.4	SRR10104081	2.0316881450945052
RP11-435O5.4	SRR10104082	1.0822514404163561
RP11-435O5.4	SRR10104083	1.0631988390336564
RP11-435O5.4	SRR10104084	1.067846735357961
RP11-435O5.4	SRR10104085	4.0888693084748935
RP11-435O5.4	SRR10104086	1.024784508800748
RP11-435O5.4	SRR10104087	2.0064000158761304
RP11-435O5.4	SRR10104088	3.027340474803738
RP11-435O5.4	SRR10104089	1.1347456128596176
RP11-435O5.4	SRR10104090	2.0526070554697817
RP11-435O5.4	SRR10104091	1.0420863331254986
RP11-435O5.4	SRR10104092	5.063669427759062
RP11-435O5.4	SRR10104093	1.034297644620457
RP11-435O5.4	SRR10104094	1.0340224493748036
RP11-435O5.4	SRR10104095	1.0540616053506102
RP11-435O5.4	SRR10104096	1.145718575159829
RP11-435O5.4	SRR10104097	1.0631209277390947
RP11-435O5.4	SRR10104098	2.0595235559633864
RP11-435O5.4	SRR10104099	1.0474771062612767
RP11-435O5.4	SRR10104100	1.0290641027802212
RP11-435O5.4	SRR10104101	5.027880792716667
RP11-435O5.4	SRR10104102	7.107218514846259
RP11-435O5.4	SRR10104103	1.05208117298879
RP11-435O5.4	SRR10104104	6.092985646250767
RP11-435O5.4	SRR10104105	1.0808351888270706
RP11-435O5.4	SRR10104106	1.1304558697538387
RP11-435O5.4	SRR10104107	2.01915121399258
RP11-435O5.4	SRR10104108	4.027428863812031
RP11-435O5.4	SRR10104109	1.1183964997691782
RP11-435O5.4	SRR10104110	1.1898566945611233
RP11-435O5.4	SRR10104111	1.0327102204719922
RP11-435O5.4	SRR10104112	1.186621143391241
RP11-435O5.4	SRR10104113	1.0358394085966935
RP11-435O5.4	SRR10104114	1.1728061185225533
RP11-435O5.4	SRR10104115	1.14422200397898
RP11-435O5.4	SRR10104116	1.0467296948207412
RP11-435O5.4	SRR10104117	1.038848634824914
RP11-435O5.4	SRR10104118	1.143352850751477
RP11-435O5.4	SRR10104119	1.1898188257203337
RP11-435O5.4	SRR10104120	4.108282193505015
RP11-435O5.4	SRR10104121	1.0817747165060128
RP11-435O5.4	SRR10104122	1.0894989096112995
RP11-435O5.4	SRR10104123	1.082048079369872
RP11-435O5.4	SRR10104124	1.1164136874736872
