Gene	sample	counts
RP11-43N5.1	CM317	1.0496947053399786
RP11-43N5.1	CMCD140	1.0092852040017053
RP11-43N5.1	CMCD147	1.0387377232738804
RP11-43N5.1	CMCD152	3
RP11-43N5.1	CMCD154	3.0291087791496993
RP11-43N5.1	CMCD159	1.0826308846263835
RP11-43N5.1	CMCD161	1.0030637444667863
RP11-43N5.1	CMCD174	18.502126720140975
RP11-43N5.1	CMCD196	1.0088734782641728
RP11-43N5.1	CMCD198	3.0837856969497417
RP11-43N5.1	CMCD203	1.0031790985514153
RP11-43N5.1	CMCD211	5.610896423120971
RP11-43N5.1	CMCD227	3.2771808026334632
RP11-43N5.1	CMCD240	9.256708984213363
RP11-43N5.1	CMCD259	7
RP11-43N5.1	CMCD270	1.005170859507078
RP11-43N5.1	CMCD275	1.0084289351631328
RP11-43N5.1	CMCD282	1.0127082910163139
RP11-43N5.1	CMCD286	3.7441038093289323
RP11-43N5.1	CMCD287	3
RP11-43N5.1	CMCD294	1.061130699852429
RP11-43N5.1	CMCD327	6.030491396441536
RP11-43N5.1	CMCD335	1.0046546976589779
RP11-43N5.1	CMCD337	2.0132715377494548
RP11-43N5.1	CMCD357	1.0203676217787498
RP11-43N5.1	CMCD398	2.0116111933498324
RP11-43N5.1	CMCD403	8.057055654096144
RP11-43N5.1	CMCD422	2.004173655183634
RP11-43N5.1	CMCD426	2.219992055209828
RP11-43N5.1	CMCD71	1.0063256548892079
RP11-43N5.1	CMCD72	1.1440405671509037
RP11-43N5.1	CMCD76	4.009068656324914
RP11-43N5.1	CMCD88	3.0005398828258563
RP11-43N5.1	CMSA256	6
RP11-43N5.1	CMSA316	1.0080145694811098
RP11-43N5.1	CMUC110	7
RP11-43N5.1	CMUC192	1.0131538458119358
RP11-43N5.1	CMUC199	1.0266064941522361
RP11-43N5.1	CMUC200	2.004656917652413
RP11-43N5.1	CMUC208	1.0024434346676425
RP11-43N5.1	CMUC231	2
RP11-43N5.1	CMUC234	9
RP11-43N5.1	CMUC285	1.0109066424484112
RP11-43N5.1	CMUC291	1.0065605922780039
RP11-43N5.1	CMUC295	3.002700385882361
RP11-43N5.1	CMUC299	1.0029139303926111
RP11-43N5.1	CMUC301	3.0016199399685184
RP11-43N5.1	CMUC307	1.0027530595094736
RP11-43N5.1	CMUC313	1.0406199795536664
RP11-43N5.1	CMUC314	4.212697317909593
RP11-43N5.1	CMUC323	1.0232441215691963
RP11-43N5.1	CMUC324	3.002700385882361
RP11-43N5.1	CMUC331	5.044898394077695
RP11-43N5.1	CMUC333	1.0226855040011238
RP11-43N5.1	CMUC334	1.0147637781192929
RP11-43N5.1	CMUC346	1.0107140402598958
RP11-43N5.1	CMUC352	1.0059528932594937
RP11-43N5.1	CMUC360	9.011343662121972
RP11-43N5.1	CMUC363	1.0255367303100333
RP11-43N5.1	CMUC365	5.032718639754687
RP11-43N5.1	CMUC366	2.0065498670882853
RP11-43N5.1	CMUC368	5
RP11-43N5.1	CMUC377	2.0081174605660173
RP11-43N5.1	CMUC379	1.0664515526402574
RP11-43N5.1	CMUC380	1.0176874450837656
RP11-43N5.1	CMUC383	8.110272420727465
RP11-43N5.1	CMUC394	1.007265338334756
RP11-43N5.1	CMUC419	4.096884207958048
RP11-43N5.1	CMUC427	5
RP11-43N5.1	CMUC428	2.012485575885151
RP11-43N5.1	CMUC431	5.009158500691413
RP11-43N5.1	CMUC435	2.009774921307167
RP11-43N5.1	CMUC439	1.0063179408035714
RP11-43N5.1	CMUC89	6
RP11-43N5.1	CS219	1.002447533024164
RP11-43N5.1	CS256	3.006801492243685
