Gene	sample	counts
RP11-458F8.4	CM317	12.596336464079743
RP11-458F8.4	CMCD140	62.57568264810573
RP11-458F8.4	CMCD147	23.890967635299248
RP11-458F8.4	CMCD152	155
RP11-458F8.4	CMCD154	80.77623411065865
RP11-458F8.4	CMCD159	1.0826308846263835
RP11-458F8.4	CMCD161	93.28492823541112
RP11-458F8.4	CMCD174	1.0883603953024104
RP11-458F8.4	CMCD196	52.46142086973698
RP11-458F8.4	CMCD198	15.418928484748708
RP11-458F8.4	CMCD203	156.4959393740208
RP11-458F8.4	CMCD211	280.54482115604856
RP11-458F8.4	CMCD227	255.62010260541015
RP11-458F8.4	CMCD240	273.99858593271557
RP11-458F8.4	CMCD259	282
RP11-458F8.4	CMCD270	111.57396540528566
RP11-458F8.4	CMCD275	126.0536168953916
RP11-458F8.4	CMCD282	157.98249339854496
RP11-458F8.4	CMCD286	210.60583927475244
RP11-458F8.4	CMCD287	265
RP11-458F8.4	CMCD294	1.061130699852429
RP11-458F8.4	CMCD327	184.93506949087376
RP11-458F8.4	CMCD335	206.95886771774946
RP11-458F8.4	CMCD337	41.27206652386383
RP11-458F8.4	CMCD357	52.03874871071624
RP11-458F8.4	CMCD398	99.5747540708167
RP11-458F8.4	CMCD403	199.41212743887957
RP11-458F8.4	CMCD422	122.2545929662017
RP11-458F8.4	CMCD426	2.219992055209828
RP11-458F8.4	CMCD71	49.309957089571185
RP11-458F8.4	CMCD72	5.7202028357545185
RP11-458F8.4	CMCD76	61.13829700895493
RP11-458F8.4	CMCD88	111.01997566455668
RP11-458F8.4	CMSA256	278
RP11-458F8.4	CMSA316	79.63315098900767
RP11-458F8.4	CMUC110	229
RP11-458F8.4	CMUC192	115.49953842256069
RP11-458F8.4	CMUC199	25.6651623538059
RP11-458F8.4	CMUC200	91.21188975318479
RP11-458F8.4	CMUC208	100.24434346676426
RP11-458F8.4	CMUC231	72
RP11-458F8.4	CMUC234	323
RP11-458F8.4	CMUC285	79.8616247534245
RP11-458F8.4	CMUC291	82.53796856679631
RP11-458F8.4	CMUC295	100.09001286274537
RP11-458F8.4	CMUC299	97.28265124808327
RP11-458F8.4	CMUC301	140.07559719853086
RP11-458F8.4	CMUC307	147.40469974789264
RP11-458F8.4	CMUC313	1.0406199795536664
RP11-458F8.4	CMUC314	8.425394635819186
RP11-458F8.4	CMUC323	56.2784266863058
RP11-458F8.4	CMUC324	230.20702958431434
RP11-458F8.4	CMUC331	79.70939462642758
RP11-458F8.4	CMUC333	9.204169536010115
RP11-458F8.4	CMUC334	33.48720467793667
RP11-458F8.4	CMUC346	18.192852724678126
RP11-458F8.4	CMUC352	144.8572166293671
RP11-458F8.4	CMUC360	34.042853834683
RP11-458F8.4	CMUC363	26.66395498806087
RP11-458F8.4	CMUC365	106.69363516279935
RP11-458F8.4	CMUC366	52.17029654429541
RP11-458F8.4	CMUC368	361
RP11-458F8.4	CMUC377	148.60069208188526
RP11-458F8.4	CMUC379	1.0664515526402574
RP11-458F8.4	CMUC380	102.78643195346034
RP11-458F8.4	CMUC383	97.3232690487296
RP11-458F8.4	CMUC394	95.69020714180182
RP11-458F8.4	CMUC419	31.750852611674876
RP11-458F8.4	CMUC427	415
RP11-458F8.4	CMUC428	105.65549273397043
RP11-458F8.4	CMUC431	310.56782704286763
RP11-458F8.4	CMUC435	165.8064310078413
RP11-458F8.4	CMUC439	69.43593791544643
RP11-458F8.4	CMUC89	210
RP11-458F8.4	CS219	214.52377206717108
RP11-458F8.4	CS256	184.41715819094603
RP11-458F8.4	CS257	3.2699399576345187
RP11-458F8.4	CS259	143.21868024400914
RP11-458F8.4	CS261	36.81876058694596
RP11-458F8.4	CS266	27.92989853075374
RP11-458F8.4	CS270	63.7924997841374
RP11-458F8.4	CS277	32.07968321709005
RP11-458F8.4	CS288	86.76694605062079
RP11-458F8.4	CS290	51.40470330019195
