Gene	sample	counts
RP11-800A3.7	CM317	1.0496947053399786
RP11-800A3.7	CMCD140	19.1764188760324
RP11-800A3.7	CMCD147	39.47203348440745
RP11-800A3.7	CMCD152	12
RP11-800A3.7	CMCD154	34.32989949702993
RP11-800A3.7	CMCD159	1.0826308846263835
RP11-800A3.7	CMCD161	5.015318722333931
RP11-800A3.7	CMCD174	1.0883603953024104
RP11-800A3.7	CMCD196	22.1952165218118
RP11-800A3.7	CMCD198	16.446857050398624
RP11-800A3.7	CMCD203	36.11444754785095
RP11-800A3.7	CMCD211	24.848255588107158
RP11-800A3.7	CMCD227	8.192952006583658
RP11-800A3.7	CMCD240	2.777012695264009
RP11-800A3.7	CMCD259	21
RP11-800A3.7	CMCD270	7.036196016549546
RP11-800A3.7	CMCD275	32.26972592522025
RP11-800A3.7	CMCD282	23.292290693375218
RP11-800A3.7	CMCD286	5.616155713993399
RP11-800A3.7	CMCD287	8
RP11-800A3.7	CMCD294	42.445227994097166
RP11-800A3.7	CMCD327	8.04065519525538
RP11-800A3.7	CMCD335	20.093093953179558
RP11-800A3.7	CMCD337	17.11280807087037
RP11-800A3.7	CMCD357	3.0611028653362493
RP11-800A3.7	CMCD398	6.034833580049496
RP11-800A3.7	CMCD403	14.099847394668252
RP11-800A3.7	CMCD422	13.027128758693623
RP11-800A3.7	CMCD426	1.109996027604914
RP11-800A3.7	CMCD71	14.08855916844891
RP11-800A3.7	CMCD72	1.1440405671509037
RP11-800A3.7	CMCD76	8.018137312649827
RP11-800A3.7	CMCD88	10.001799609419521
RP11-800A3.7	CMSA256	14
RP11-800A3.7	CMSA316	31.248451653914405
RP11-800A3.7	CMUC110	13
RP11-800A3.7	CMUC192	3.0394615374358076
RP11-800A3.7	CMUC199	16.42570390643578
RP11-800A3.7	CMUC200	29.06752530595999
RP11-800A3.7	CMUC208	19.046425258685208
RP11-800A3.7	CMUC231	36
RP11-800A3.7	CMUC234	7
RP11-800A3.7	CMUC285	9.098159782035703
RP11-800A3.7	CMUC291	17.111530068726065
RP11-800A3.7	CMUC295	11.009901414901991
RP11-800A3.7	CMUC299	11.032053234318722
RP11-800A3.7	CMUC301	10.005399799895061
RP11-800A3.7	CMUC307	16.044048952151577
RP11-800A3.7	CMUC313	1.0406199795536664
RP11-800A3.7	CMUC314	1.0531743294773983
RP11-800A3.7	CMUC323	1.0232441215691963
RP11-800A3.7	CMUC324	30.02700385882361
RP11-800A3.7	CMUC331	2.017959357631078
RP11-800A3.7	CMUC333	6.136113024006743
RP11-800A3.7	CMUC334	5.073818890596464
RP11-800A3.7	CMUC346	45.48213181169531
RP11-800A3.7	CMUC352	6.035717359556961
RP11-800A3.7	CMUC360	9.011343662121972
RP11-800A3.7	CMUC363	1.0255367303100333
RP11-800A3.7	CMUC365	10.065437279509373
RP11-800A3.7	CMUC366	26.085148272147705
RP11-800A3.7	CMUC368	23
RP11-800A3.7	CMUC377	27.10958571764123
RP11-800A3.7	CMUC379	1.0664515526402574
RP11-800A3.7	CMUC380	9.1591870057538909
RP11-800A3.7	CMUC383	37.51000994586453
RP11-800A3.7	CMUC394	36.26155218005122
RP11-800A3.7	CMUC419	17.411757883821707
RP11-800A3.7	CMUC427	18
RP11-800A3.7	CMUC428	10.062427879425755
RP11-800A3.7	CMUC431	23.0421291031805
RP11-800A3.7	CMUC435	9.043987145882253
RP11-800A3.7	CMUC439	42.26535351375
RP11-800A3.7	CMUC89	14
RP11-800A3.7	CS219	22.053845726531605
RP11-800A3.7	CS256	15.034007461218426
RP11-800A3.7	CS257	2.179959971756346
RP11-800A3.7	CS259	16.024467719609415
RP11-800A3.7	CS261	23.52309704165992
RP11-800A3.7	CS266	1.0344406863242126
RP11-800A3.7	CS270	2.025158723305949
RP11-800A3.7	CS277	24.531522460127686
RP11-800A3.7	CS288	3.0267539319983996
RP11-800A3.7	CS290	4.031741435309172
RP11-800A3.7	CS292	7.095211507190351
RP11-800A3.7	CS293	9.143895490591198
RP11-800A3.7	CS301	1.0255014806521223
RP11-800A3.7	CS306	12.443853550474369
RP11-800A3.7	CS308	3.0762042595417745
RP11-800A3.7	CS315	8.212668844344275
RP11-800A3.7	CS317	1.0691022518554174
RP11-800A3.7	CS322	4.052671160661862
RP11-800A3.7	CS327	4.018741670271643
RP11-800A3.7	CS328	1.0532227797951625
RP11-800A3.7	CS330	1.0732794536999326
RP11-800A3.7	CS331	1.0183441621534113
RP11-800A3.7	CS335	9.586117954746706
RP11-800A3.7	CS338	1.0294503626489493
RP11-800A3.7	CS339	1.1642104248974183
RP11-800A3.7	CS343	7.055519271846837
RP11-800A3.7	CS344	19.260017796006228
RP11-800A3.7	CS350	1.021809713154857
RP11-800A3.7	CS351	9.073952304999285
RP11-800A3.7	CS361	8.185234860125634
RP11-800A3.7	CS388	1.0331387058791355
RP11-800A3.7	CS396	13.137659880220735
RP11-800A3.7	CS405	10.239316921070019
RP11-800A3.7	CS415	11.798434882973115
RP11-800A3.7	CS424	4.141007031388862
RP11-800A3.7	IM293	13.068596713858817
RP11-800A3.7	IM296	38.320678415958874
RP11-800A3.7	IM297	1.0944885764691814
RP11-800A3.7	IM300	19
RP11-800A3.7	IM305	9.08895069423033
RP11-800A3.7	IM309	1.0649644397817766
RP11-800A3.7	IM310	1.0133773385295795
RP11-800A3.7	IM311	20.246573394215414
RP11-800A3.7	IM316	22.11075522342192
RP11-800A3.7	IM320	1.0454213547260982
RP11-800A3.7	IM330	18.182136025955877
RP11-800A3.7	IM332	10.290904121726339
RP11-800A3.7	IM340	1.0535879064802887
RP11-800A3.7	IM348	5.1742659906066395
RP11-800A3.7	IM354	18.128375221716325
RP11-800A3.7	IM356	4.031865897411804
RP11-800A3.7	IM364	12.201758490659929
RP11-800A3.7	IM372	10.769013728336196
RP11-800A3.7	IM374	1.0474599361127908
RP11-800A3.7	IM376	12.16895441502563
RP11-800A3.7	IM381	10.123114121679178
RP11-800A3.7	IM382	6.184608636872069
RP11-800A3.7	IM385	37
RP11-800A3.7	IM390	8.218904083296364
RP11-800A3.7	IM397	12.133512053379226
RP11-800A3.7	IM404	21.06019570061807
RP11-800A3.7	IM409	28.158350446445386
RP11-800A3.7	IM412	13
RP11-800A3.7	IM421	8.124461797968694
RP11-800A3.7	IM425	1.0520033799095727
RP11-800A3.7	IM432	21.82586930973764
RP11-800A3.7	IM438	10
RP11-800A3.7	IM442	5.2044421467436175
RP11-800A3.7	IM445	10.112874661338157
RP11-800A3.7	IM448	26.567052542026282
RP11-800A3.7	IM449	19.158133059029602
RP11-800A3.7	IM451	36.18405476563144
RP11-800A3.7	IMSA256	4.016221968982975
RP11-800A3.7	IMSA276	38
RP11-800A3.7	IMSA286	20
RP11-800A3.7	IMSA343	20.247994533906468
RP11-800A3.7	IS_238	12
RP11-800A3.7	IS238	30.695489798212552
RP11-800A3.7	IS243	15
RP11-800A3.7	IS253	27
RP11-800A3.7	IS283	12
RP11-800A3.7	IS322	27.27845604351988
RP11-800A3.7	IS399	7.0485805161975525
RP11-800A3.7	IS418	1.0908267191361551
RP11-800A3.7	IS430	1.0818719286848866
RP11-800A3.7	IS437	4.316633095593441
RP11-800A3.7	IS444	1.0366814403266558
RP11-800A3.7	R276CMSA	16.98750555828757
RP11-800A3.7	R286CMSA	14
RP11-800A3.7	R292CMSA	13.05391497330595
RP11-800A3.7	R292IMSA	24.694114569339455
RP11-800A3.7	R308CMSA	10.6717128675431
RP11-800A3.7	R316IMSA	14.26955524343069
RP11-800A3.7	R347CMSA	1.063497692354949
RP11-800A3.7	R347IMSA	1.0621981468028772
RP11-800A3.7	R371CMSA	15.059707625201069
RP11-800A3.7	SRR10104064	1.1094515272513297
RP11-800A3.7	SRR10104065	1.0058572527884204
RP11-800A3.7	SRR10104066	1.0187395055126454
RP11-800A3.7	SRR10104067	1.023057146473477
RP11-800A3.7	SRR10104068	1.0046558594156214
RP11-800A3.7	SRR10104069	1.0114572698828992
RP11-800A3.7	SRR10104070	1.0293904998541934
RP11-800A3.7	SRR10104071	1.1606052908522344
RP11-800A3.7	SRR10104072	1.0698874845957154
RP11-800A3.7	SRR10104073	1.044654039124863
RP11-800A3.7	SRR10104074	1.095822342836796
RP11-800A3.7	SRR10104075	1.1510100695372476
RP11-800A3.7	SRR10104076	1.0276547583233047
RP11-800A3.7	SRR10104077	1.100777777658168
RP11-800A3.7	SRR10104078	1.0414272361609767
RP11-800A3.7	SRR10104079	1.0895071357309336
RP11-800A3.7	SRR10104080	1.121518162035866
RP11-800A3.7	SRR10104081	1.0158440725472526
RP11-800A3.7	SRR10104082	1.0822514404163561
RP11-800A3.7	SRR10104083	2.126397678067313
RP11-800A3.7	SRR10104084	1.067846735357961
RP11-800A3.7	SRR10104085	1.0222173271187234
RP11-800A3.7	SRR10104086	1.024784508800748
RP11-800A3.7	SRR10104087	1.0032000079380652
RP11-800A3.7	SRR10104088	1.0091134916012459
RP11-800A3.7	SRR10104089	1.1347456128596176
RP11-800A3.7	SRR10104090	1.0263035277348909
RP11-800A3.7	SRR10104091	1.0420863331254986
