Gene	sample	counts
RP11-840I19.3	CM317	1.0496947053399786
RP11-840I19.3	CMCD140	1.0092852040017053
RP11-840I19.3	CMCD147	25.968443081847006
RP11-840I19.3	CMCD152	1
RP11-840I19.3	CMCD154	1.0097029263832331
RP11-840I19.3	CMCD159	1.0826308846263835
RP11-840I19.3	CMCD161	3.0091912334003585
RP11-840I19.3	CMCD174	1.0883603953024104
RP11-840I19.3	CMCD196	1.0088734782641728
RP11-840I19.3	CMCD198	1.027928565649914
RP11-840I19.3	CMCD203	4.012716394205661
RP11-840I19.3	CMCD211	13.626462741865215
RP11-840I19.3	CMCD227	13.108723210533853
RP11-840I19.3	CMCD240	9.256708984213363
RP11-840I19.3	CMCD259	4
RP11-840I19.3	CMCD270	1.005170859507078
RP11-840I19.3	CMCD275	4.033715740652531
RP11-840I19.3	CMCD282	9.114374619146824
RP11-840I19.3	CMCD286	20.592570951309128
RP11-840I19.3	CMCD287	7
RP11-840I19.3	CMCD294	20.161483297196153
RP11-840I19.3	CMCD327	1.0050818994069226
RP11-840I19.3	CMCD335	4.018618790635911
RP11-840I19.3	CMCD337	1.0066357688747274
RP11-840I19.3	CMCD357	2.0407352435574997
RP11-840I19.3	CMCD398	1.0058055966749162
RP11-840I19.3	CMCD403	3.021395870286054
RP11-840I19.3	CMCD422	6.012520965550903
RP11-840I19.3	CMCD426	4.439984110419656
RP11-840I19.3	CMCD71	1.0063256548892079
RP11-840I19.3	CMCD72	1.1440405671509037
RP11-840I19.3	CMCD76	1.0022671640812284
RP11-840I19.3	CMCD88	3.0005398828258563
RP11-840I19.3	CMSA256	3
RP11-840I19.3	CMSA316	3.0240437084433296
RP11-840I19.3	CMUC110	8
RP11-840I19.3	CMUC192	2.0263076916238716
RP11-840I19.3	CMUC199	2.0532129883044723
RP11-840I19.3	CMUC200	1.0023284588262065
RP11-840I19.3	CMUC208	2.004886869335285
RP11-840I19.3	CMUC231	7
RP11-840I19.3	CMUC234	5
RP11-840I19.3	CMUC285	1.0109066424484112
RP11-840I19.3	CMUC291	6.039363553668023
RP11-840I19.3	CMUC295	1.0009001286274537
RP11-840I19.3	CMUC299	2.0058278607852222
RP11-840I19.3	CMUC301	5.0026998999475305
RP11-840I19.3	CMUC307	2.005506119018947
RP11-840I19.3	CMUC313	1.0406199795536664
RP11-840I19.3	CMUC314	1.0531743294773983
RP11-840I19.3	CMUC323	4.092976486276785
RP11-840I19.3	CMUC324	5.004500643137268
RP11-840I19.3	CMUC331	1.008979678815539
RP11-840I19.3	CMUC333	1.0226855040011238
RP11-840I19.3	CMUC334	1.0147637781192929
RP11-840I19.3	CMUC346	1.0107140402598958
