Gene	sample	counts
RP11-986G18.2	CM317	1.0496947053399786
RP11-986G18.2	CMCD140	26.241415304044338
RP11-986G18.2	CMCD147	1.0387377232738804
RP11-986G18.2	CMCD152	7
RP11-986G18.2	CMCD154	19.18435560128143
RP11-986G18.2	CMCD159	25.983141231033205
RP11-986G18.2	CMCD161	19.058211144868938
RP11-986G18.2	CMCD174	1.0883603953024104
RP11-986G18.2	CMCD196	5.044367391320864
RP11-986G18.2	CMCD198	15.418928484748708
RP11-986G18.2	CMCD203	16.050865576822645
RP11-986G18.2	CMCD211	34.46693517060025
RP11-986G18.2	CMCD227	19.66308481580078
RP11-986G18.2	CMCD240	19.439088866848063
RP11-986G18.2	CMCD259	20
RP11-986G18.2	CMCD270	5.02585429753539
RP11-986G18.2	CMCD275	4.033715740652531
RP11-986G18.2	CMCD282	25.317707275407844
RP11-986G18.2	CMCD286	7.4882076186578646
RP11-986G18.2	CMCD287	10
RP11-986G18.2	CMCD294	20.161483297196153
RP11-986G18.2	CMCD327	10.050818994069227
RP11-986G18.2	CMCD335	6.027928185953868
RP11-986G18.2	CMCD337	3.0199073066241824
RP11-986G18.2	CMCD357	17.346249570238747
RP11-986G18.2	CMCD398	8.04644477339933
RP11-986G18.2	CMCD403	30.21395870286054
RP11-986G18.2	CMCD422	20.041736551836344
RP11-986G18.2	CMCD426	1.109996027604914
RP11-986G18.2	CMCD71	13.082233513559702
RP11-986G18.2	CMCD72	1.1440405671509037
RP11-986G18.2	CMCD76	4.009068656324914
RP11-986G18.2	CMCD88	9.001619648477568
RP11-986G18.2	CMSA256	16
RP11-986G18.2	CMSA316	4.032058277924439
RP11-986G18.2	CMUC110	8
RP11-986G18.2	CMUC192	5.065769229059679
RP11-986G18.2	CMUC199	9.239458447370124
RP11-986G18.2	CMUC200	8.018627670609652
RP11-986G18.2	CMUC208	20.04886869335285
RP11-986G18.2	CMUC231	17
RP11-986G18.2	CMUC234	19
RP11-986G18.2	CMUC285	5.054533212242057
RP11-986G18.2	CMUC291	6.039363553668023
RP11-986G18.2	CMUC295	11.009901414901991
RP11-986G18.2	CMUC299	1.0029139303926111
RP11-986G18.2	CMUC301	7.003779859926543
RP11-986G18.2	CMUC307	8.022024476075789
RP11-986G18.2	CMUC313	1.0406199795536664
RP11-986G18.2	CMUC314	1.0531743294773983
RP11-986G18.2	CMUC323	1.0232441215691963
RP11-986G18.2	CMUC324	23.020702958431436
RP11-986G18.2	CMUC331	4.035918715262156
RP11-986G18.2	CMUC333	1.0226855040011238
RP11-986G18.2	CMUC334	7.10334644683505
RP11-986G18.2	CMUC346	5.053570201299479
RP11-986G18.2	CMUC352	8.04762314607595
RP11-986G18.2	CMUC360	18.022687324243943
RP11-986G18.2	CMUC363	26.66395498806087
RP11-986G18.2	CMUC365	22.14396201492062
RP11-986G18.2	CMUC366	19.06222373733871
RP11-986G18.2	CMUC368	14
RP11-986G18.2	CMUC377	8.032469842264069
RP11-986G18.2	CMUC379	6.398709315841543
RP11-986G18.2	CMUC380	4.0707497803350625
RP11-986G18.2	CMUC383	13.179192683682134
RP11-986G18.2	CMUC394	29.210694811707924
RP11-986G18.2	CMUC419	1.024221051989512
RP11-986G18.2	CMUC427	32
RP11-986G18.2	CMUC428	8.049942303540604
RP11-986G18.2	CMUC431	27.049455903733634
RP11-986G18.2	CMUC435	11.05376206718942
RP11-986G18.2	CMUC439	6.037907644821429
RP11-986G18.2	CMUC89	6
RP11-986G18.2	CS219	16.039160528386624
RP11-986G18.2	CS256	7.015870148568599
RP11-986G18.2	CS257	1.089979985878173
RP11-986G18.2	CS259	12.01835078970706
RP11-986G18.2	CS261	13.295663545286041
RP11-986G18.2	CS266	22.75769509913268
RP11-986G18.2	CS270	15.188690424794618
RP11-986G18.2	CS277	32.07968321709005
RP11-986G18.2	CS288	4.0356719093311995
RP11-986G18.2	CS290	7.055547511791052
RP11-986G18.2	CS292	7.095211507190351
RP11-986G18.2	CS293	4.063953551373866
RP11-986G18.2	CS301	8.204011845216979
RP11-986G18.2	CS306	29.035658284440196
RP11-986G18.2	CS308	2.0508028396945166
RP11-986G18.2	CS315	1.0265836055430344
RP11-986G18.2	CS317	91.9427936595659
RP11-986G18.2	CS322	11.144845691820121
RP11-986G18.2	CS327	14.065595845950751
RP11-986G18.2	CS328	1.0532227797951625
RP11-986G18.2	CS330	35.418221972097776
RP11-986G18.2	CS331	5.091720810767057
RP11-986G18.2	CS335	22.703963577031672
RP11-986G18.2	CS338	1.0294503626489493
RP11-986G18.2	CS339	1.1642104248974183
RP11-986G18.2	CS343	23.18242046463961
RP11-986G18.2	CS344	8.10948117726578
RP11-986G18.2	CS350	39.85057881303942
RP11-986G18.2	CS351	42.345110756663324
RP11-986G18.2	CS361	2.0463087150314085
RP11-986G18.2	CS388	5.165693529395677
RP11-986G18.2	CS396	3.0317676646663236
RP11-986G18.2	CS405	4.095726768428008
RP11-986G18.2	CS415	1.0725849893611923
RP11-986G18.2	CS424	1.0352517578472156
RP11-986G18.2	IM293	9.047490032671488
RP11-986G18.2	IM296	20.22480249731163
RP11-986G18.2	IM297	13.133862917630177
RP11-986G18.2	IM300	12
RP11-986G18.2	IM305	5.049417052350184
RP11-986G18.2	IM309	15.97446659672665
RP11-986G18.2	IM310	3.040132015588738
RP11-986G18.2	IM311	6.073972018264624
RP11-986G18.2	IM316	20.100686566747196
RP11-986G18.2	IM320	1.0454213547260982
RP11-986G18.2	IM330	24.24284803460784
RP11-986G18.2	IM332	27.785441128661116
RP11-986G18.2	IM340	17.91099441016491
RP11-986G18.2	IM348	1.034853198121328
RP11-986G18.2	IM354	6.042791740572108
RP11-986G18.2	IM356	15.119497115294267
RP11-986G18.2	IM364	1.016813207554994
RP11-986G18.2	IM372	10.769013728336196
RP11-986G18.2	IM374	33.518717955609304
RP11-986G18.2	IM376	2.028159069170938
RP11-986G18.2	IM381	12.147736946015014
RP11-986G18.2	IM382	1.0307681061453446
RP11-986G18.2	IM385	6
RP11-986G18.2	IM390	11.300993114532499
RP11-986G18.2	IM397	3.0333780133448065
RP11-986G18.2	IM404	13.037264005144518
RP11-986G18.2	IM409	5.028276865436676
RP11-986G18.2	IM412	22
RP11-986G18.2	IM421	1.0155577247460867
RP11-986G18.2	IM425	18.93606083837231
RP11-986G18.2	IM432	1.0393271099875068
RP11-986G18.2	IM438	33
RP11-986G18.2	IM442	2.081776858697447
RP11-986G18.2	IM445	8.090299729070525
RP11-986G18.2	IM448	39.85057881303942
RP11-986G18.2	IM449	17.14148747386859
RP11-986G18.2	IM451	34.173829500874135
RP11-986G18.2	IMSA256	10.040554922457437
RP11-986G18.2	IMSA276	17
RP11-986G18.2	IMSA286	11
RP11-986G18.2	IMSA343	16.198395627125173
RP11-986G18.2	IS_238	8
RP11-986G18.2	IS238	33.25344728139693
RP11-986G18.2	IS243	7
RP11-986G18.2	IS253	12
RP11-986G18.2	IS283	13
RP11-986G18.2	IS322	16.165010988752524
RP11-986G18.2	IS399	9.062460663682568
RP11-986G18.2	IS418	1.0908267191361551
RP11-986G18.2	IS430	2.163743857369773
RP11-986G18.2	IS437	1.0791582738983603
RP11-986G18.2	IS444	1.0366814403266558
RP11-986G18.2	R276CMSA	5.308595486964865
RP11-986G18.2	R286CMSA	5
RP11-986G18.2	R292CMSA	11.045620362028112
RP11-986G18.2	R292IMSA	1.073657155188672
RP11-986G18.2	R308CMSA	1.06717128675431
RP11-986G18.2	R316IMSA	8.154031567674679
RP11-986G18.2	R347CMSA	6.380986154129694
RP11-986G18.2	R347IMSA	1.0621981468028772
RP11-986G18.2	R371CMSA	13.051746608507592
RP11-986G18.2	SRR10104064	1.1094515272513297
RP11-986G18.2	SRR10104065	5.029286263942102
RP11-986G18.2	SRR10104066	1.0187395055126454
RP11-986G18.2	SRR10104067	2.046114292946954
RP11-986G18.2	SRR10104068	5.0232792970781075
RP11-986G18.2	SRR10104069	2.0229145397657984
RP11-986G18.2	SRR10104070	5.1469524992709665
RP11-986G18.2	SRR10104071	1.1606052908522344
RP11-986G18.2	SRR10104072	2.1397749691914307
RP11-986G18.2	SRR10104073	4.178616156499452
RP11-986G18.2	SRR10104074	1.095822342836796
RP11-986G18.2	SRR10104075	1.1510100695372476
RP11-986G18.2	SRR10104076	1.0276547583233047
RP11-986G18.2	SRR10104077	1.100777777658168
RP11-986G18.2	SRR10104078	1.0414272361609767
RP11-986G18.2	SRR10104079	2.179014271461867
RP11-986G18.2	SRR10104080	1.121518162035866
RP11-986G18.2	SRR10104081	3.0475322176417574
RP11-986G18.2	SRR10104082	3.2467543212490684
RP11-986G18.2	SRR10104083	2.126397678067313
RP11-986G18.2	SRR10104084	1.067846735357961
RP11-986G18.2	SRR10104085	3.0666519813561703
RP11-986G18.2	SRR10104086	4.099138035202992
RP11-986G18.2	SRR10104087	4.012800031752261
RP11-986G18.2	SRR10104088	2.0182269832024917
RP11-986G18.2	SRR10104089	1.1347456128596176
RP11-986G18.2	SRR10104090	1.0263035277348909
RP11-986G18.2	SRR10104091	2.084172666250997
RP11-986G18.2	SRR10104092	3.038201656655437
RP11-986G18.2	SRR10104093	1.034297644620457
RP11-986G18.2	SRR10104094	3.102067348124411
RP11-986G18.2	SRR10104095	1.0540616053506102
RP11-986G18.2	SRR10104096	1.145718575159829
RP11-986G18.2	SRR10104097	1.0631209277390947
RP11-986G18.2	SRR10104098	5.148808889908467
RP11-986G18.2	SRR10104099	1.0474771062612767
RP11-986G18.2	SRR10104100	1.0290641027802212
RP11-986G18.2	SRR10104101	5.027880792716667
RP11-986G18.2	SRR10104102	3.0459507920769684
RP11-986G18.2	SRR10104103	2.10416234597758
RP11-986G18.2	SRR10104104	3.0464928231253836
RP11-986G18.2	SRR10104105	2.1616703776541413
RP11-986G18.2	SRR10104106	2.2609117395076774
RP11-986G18.2	SRR10104107	6.05745364197774
RP11-986G18.2	SRR10104108	6.041143295718046
RP11-986G18.2	SRR10104109	2.2367929995383564
RP11-986G18.2	SRR10104110	1.1898566945611233
RP11-986G18.2	SRR10104111	1.0327102204719922
RP11-986G18.2	SRR10104112	5.933105716956205
RP11-986G18.2	SRR10104113	1.0358394085966935
RP11-986G18.2	SRR10104114	2.3456122370451067
RP11-986G18.2	SRR10104115	1.14422200397898
RP11-986G18.2	SRR10104116	1.0467296948207412
RP11-986G18.2	SRR10104117	1.038848634824914
RP11-986G18.2	SRR10104118	2.286705701502954
RP11-986G18.2	SRR10104119	1.1898188257203337
RP11-986G18.2	SRR10104120	3.081211645128761
RP11-986G18.2	SRR10104121	1.0817747165060128
RP11-986G18.2	SRR10104122	1.0894989096112995
RP11-986G18.2	SRR10104123	1.082048079369872
RP11-986G18.2	SRR10104124	3.3492410624210613
RP11-986G18.2	SRR10104125	1.0998082352268765
RP11-986G18.2	SRR10104126	1.0394547176893827
RP11-986G18.2	SRR10104127	1.1858382433832468
RP11-986G18.2	SRR10104128	1.0287766983431799
RP11-986G18.2	SRR10104129	1.026295765603751
RP11-986G18.2	SRR10104130	1.041146918346077
RP11-986G18.2	SRR10104131	1.0113290464541402
RP11-986G18.2	SRR10104132	1.007213437136861
RP11-986G18.2	SRR10104133	1.1637684274221152
RP11-986G18.2	SRR10104134	2.0602138376610033
RP11-986G18.2	SRR10104135	1.100806080320317
RP11-986G18.2	SRR10104136	2.030032493652278
RP11-986G18.2	SRR10104137	1.107740379806039
RP11-986G18.2	SRR10104138	1.195501466366171
RP11-986G18.2	SRR10104139	5.056783544325595
RP11-986G18.2	SRR10104140	1.1423063013482577
RP11-986G18.2	SRR10104141	4.2380660126555
RP11-986G18.2	SRR10104142	2.1026395409861984
RP11-986G18.2	SRR10104143	5.040892001532832
RP11-986G18.2	SRR10104144	2.118930342882775
RP11-986G18.2	SRR10104145	1.0623428698869635
RP11-986G18.2	SRR10104146	4.038486522011216
RP11-986G18.2	SRR10104147	8.013675748957256
RP11-986G18.2	SRR10104148	3.1549426413531365
RP11-986G18.2	SRR10104149	2.0934899800104145
RP11-986G18.2	SRR10104150	5.058135376732439
RP11-986G18.2	SRR10104151	1.0076559805417438
RP11-986G18.2	SRR10104152	3.016865025144971
RP11-986G18.2	SRR10104153	2.2038594990344182
RP11-986G18.2	SRR10104154	1.0305255485236042
RP11-986G18.2	SRR10104155	3.263623775875621
RP11-986G18.2	SRR10104156	10.040587302830085
RP11-986G18.2	SRR10104157	1.048915508528946
RP11-986G18.2	SRR10104158	1.020515544249276
RP11-986G18.2	SRR10104159	2.0252009339409534
RP11-986G18.2	SRR10104160	2.2492904987470044
RP11-986G18.2	SRR10104161	7.012083763651486
RP11-986G18.2	SRR10104162	3.0610139831500227
RP11-986G18.2	SRR10104163	1.0300988116116585
RP11-986G18.2	SRR10104164	2.039269251839543
RP11-986G18.2	SRR10104165	1.0382728925974472
RP11-986G18.2	SRR10104166	1.0407462625761652
RP11-986G18.2	SRR10104167	1.0225819466033605
RP11-986G18.2	SRR10104168	1.028619155105796
RP11-986G18.2	SRR10104169	1.0246876051078921
RP11-986G18.2	SRR10104170	1.0300621533967607
RP11-986G18.2	SRR10104171	4.0959097815347185
RP11-986G18.2	SRR10104172	1.0338434316089917
RP11-986G18.2	SRR10104173	1.0603886751096372
RP11-986G18.2	SRR10104174	1.0338308135451142
RP11-986G18.2	SRR10104175	3.0674331200259815
RP11-986G18.2	SRR10104176	1.02249117212648
RP11-986G18.2	SRR10104177	1.0253301392642815
RP11-986G18.2	SRR10104178	2.076829473305533
RP11-986G18.2	SRR10104179	1.0346450273897643
