Gene	sample	counts
RP3-453C12.15	CM317	1.0496947053399786
RP3-453C12.15	CMCD140	1.0092852040017053
RP3-453C12.15	CMCD147	1.0387377232738804
RP3-453C12.15	CMCD152	3
RP3-453C12.15	CMCD154	53.51425509831135
RP3-453C12.15	CMCD159	1.0826308846263835
RP3-453C12.15	CMCD161	4.012254977867145
RP3-453C12.15	CMCD174	1.0883603953024104
RP3-453C12.15	CMCD196	1.0088734782641728
RP3-453C12.15	CMCD198	1.027928565649914
RP3-453C12.15	CMCD203	12.038149182616985
RP3-453C12.15	CMCD211	30.459152011228127
RP3-453C12.15	CMCD227	4.915771203950195
RP3-453C12.15	CMCD240	3.7026835936853453
RP3-453C12.15	CMCD259	5
RP3-453C12.15	CMCD270	1.005170859507078
RP3-453C12.15	CMCD275	1.0084289351631328
RP3-453C12.15	CMCD282	1.0127082910163139
RP3-453C12.15	CMCD286	3.7441038093289323
RP3-453C12.15	CMCD287	1
RP3-453C12.15	CMCD294	1.061130699852429
RP3-453C12.15	CMCD327	2.010163798813845
RP3-453C12.15	CMCD335	1.0046546976589779
RP3-453C12.15	CMCD337	36.23888767949019
RP3-453C12.15	CMCD357	1.0203676217787498
RP3-453C12.15	CMCD398	3.017416790024748
RP3-453C12.15	CMCD403	1.007131956762018
RP3-453C12.15	CMCD422	1.002086827591817
RP3-453C12.15	CMCD426	1.109996027604914
RP3-453C12.15	CMCD71	1.0063256548892079
RP3-453C12.15	CMCD72	1.1440405671509037
RP3-453C12.15	CMCD76	3.006801492243685
RP3-453C12.15	CMCD88	6.0010797656517125
RP3-453C12.15	CMSA256	3
RP3-453C12.15	CMSA316	1.0080145694811098
RP3-453C12.15	CMUC110	1
RP3-453C12.15	CMUC192	1.0131538458119358
RP3-453C12.15	CMUC199	1.0266064941522361
RP3-453C12.15	CMUC200	1.0023284588262065
RP3-453C12.15	CMUC208	3.007330304002928
RP3-453C12.15	CMUC231	2
RP3-453C12.15	CMUC234	2
RP3-453C12.15	CMUC285	1.0109066424484112
RP3-453C12.15	CMUC291	1.0065605922780039
RP3-453C12.15	CMUC295	2.0018002572549074
RP3-453C12.15	CMUC299	1.0029139303926111
RP3-453C12.15	CMUC301	1.0005399799895063
RP3-453C12.15	CMUC307	3.0082591785284207
RP3-453C12.15	CMUC313	1.0406199795536664
RP3-453C12.15	CMUC314	1.0531743294773983
RP3-453C12.15	CMUC323	5.116220607845982
RP3-453C12.15	CMUC324	1.0009001286274537
RP3-453C12.15	CMUC331	3.0269390364466173
RP3-453C12.15	CMUC333	1.0226855040011238
RP3-453C12.15	CMUC334	1.0147637781192929
RP3-453C12.15	CMUC346	1.0107140402598958
RP3-453C12.15	CMUC352	5.029764466297468
RP3-453C12.15	CMUC360	3.0037812207073236
RP3-453C12.15	CMUC363	1.0255367303100333
RP3-453C12.15	CMUC365	6.039262367705624
RP3-453C12.15	CMUC366	2.0065498670882853
RP3-453C12.15	CMUC368	5
RP3-453C12.15	CMUC377	1.0040587302830086
RP3-453C12.15	CMUC379	1.0664515526402574
RP3-453C12.15	CMUC380	1.0176874450837656
RP3-453C12.15	CMUC383	1.0137840525909332
RP3-453C12.15	CMUC394	1.007265338334756
RP3-453C12.15	CMUC419	10.24221051989512
RP3-453C12.15	CMUC427	5
RP3-453C12.15	CMUC428	1.0062427879425755
RP3-453C12.15	CMUC431	2.003663400276565
RP3-453C12.15	CMUC435	1.0048874606535836
RP3-453C12.15	CMUC439	3.0189538224107144
RP3-453C12.15	CMUC89	4
RP3-453C12.15	CS219	1.002447533024164
RP3-453C12.15	CS256	2.004534328162457
RP3-453C12.15	CS257	1.089979985878173
RP3-453C12.15	CS259	3.004587697426765
RP3-453C12.15	CS261	1.0227433496373879
RP3-453C12.15	CS266	1.0344406863242126
RP3-453C12.15	CS270	1.0125793616529746
RP3-453C12.15	CS277	10.378721040823253
RP3-453C12.15	CS288	1.0089179773327999
RP3-453C12.15	CS290	1.007935358827293
RP3-453C12.15	CS292	1.0136016438843358
RP3-453C12.15	CS293	3.0479651635303995
RP3-453C12.15	CS301	1.0255014806521223
RP3-453C12.15	CS306	1.0369877958728642
RP3-453C12.15	CS308	1.0254014198472583
RP3-453C12.15	CS315	1.0265836055430344
RP3-453C12.15	CS317	1.0691022518554174
RP3-453C12.15	CS322	1.0131677901654654
RP3-453C12.15	CS327	2.0093708351358215
RP3-453C12.15	CS328	1.0532227797951625
RP3-453C12.15	CS330	40.784619240597436
RP3-453C12.15	CS331	1.0183441621534113
RP3-453C12.15	CS335	0.5045325239340371
RP3-453C12.15	CS338	1.0294503626489493
RP3-453C12.15	CS339	1.1642104248974183
