Gene	sample	counts
RPL23AP97	CM317	1.0496947053399786
RPL23AP97	CMCD140	1.0092852040017053
RPL23AP97	CMCD147	1.0387377232738804
RPL23AP97	CMCD152	1
RPL23AP97	CMCD154	3.0291087791496993
RPL23AP97	CMCD159	1.0826308846263835
RPL23AP97	CMCD161	1.0030637444667863
RPL23AP97	CMCD174	1.0883603953024104
RPL23AP97	CMCD196	4.035493913056691
RPL23AP97	CMCD198	1.027928565649914
RPL23AP97	CMCD203	1.0031790985514153
RPL23AP97	CMCD211	2.404669895623273
RPL23AP97	CMCD227	0.8192952006583658
RPL23AP97	CMCD240	1.8513417968426726
RPL23AP97	CMCD259	6
RPL23AP97	CMCD270	2.010341719014156
RPL23AP97	CMCD275	9.075860416468196
RPL23AP97	CMCD282	1.0127082910163139
RPL23AP97	CMCD286	0.9360259523322331
RPL23AP97	CMCD287	4
RPL23AP97	CMCD294	1.061130699852429
RPL23AP97	CMCD327	2.010163798813845
RPL23AP97	CMCD335	1.0046546976589779
RPL23AP97	CMCD337	3.0199073066241824
RPL23AP97	CMCD357	1.0203676217787498
RPL23AP97	CMCD398	1.0058055966749162
RPL23AP97	CMCD403	1.007131956762018
RPL23AP97	CMCD422	3.0062604827754513
RPL23AP97	CMCD426	1.109996027604914
RPL23AP97	CMCD71	7.044279584224455
RPL23AP97	CMCD72	1.1440405671509037
RPL23AP97	CMCD76	1.0022671640812284
RPL23AP97	CMCD88	3.0005398828258563
RPL23AP97	CMSA256	3
RPL23AP97	CMSA316	1.0080145694811098
RPL23AP97	CMUC110	1
RPL23AP97	CMUC192	2.0263076916238716
RPL23AP97	CMUC199	1.0266064941522361
RPL23AP97	CMUC200	2.004656917652413
RPL23AP97	CMUC208	1.0024434346676425
RPL23AP97	CMUC231	5
RPL23AP97	CMUC234	2
RPL23AP97	CMUC285	1.0109066424484112
RPL23AP97	CMUC291	1.0065605922780039
RPL23AP97	CMUC295	2.0018002572549074
RPL23AP97	CMUC299	4.0116557215704445
RPL23AP97	CMUC301	7.003779859926543
RPL23AP97	CMUC307	1.0027530595094736
RPL23AP97	CMUC313	1.0406199795536664
RPL23AP97	CMUC314	6.319045976864389
RPL23AP97	CMUC323	1.0232441215691963
RPL23AP97	CMUC324	1.0009001286274537
RPL23AP97	CMUC331	2.017959357631078
RPL23AP97	CMUC333	1.0226855040011238
RPL23AP97	CMUC334	2.0295275562385857
RPL23AP97	CMUC346	1.0107140402598958
RPL23AP97	CMUC352	1.0059528932594937
RPL23AP97	CMUC360	2.0025208138048822
RPL23AP97	CMUC363	1.0255367303100333
RPL23AP97	CMUC365	4.026174911803749
RPL23AP97	CMUC366	2.0065498670882853
RPL23AP97	CMUC368	3
RPL23AP97	CMUC377	1.0040587302830086
RPL23AP97	CMUC379	1.0664515526402574
RPL23AP97	CMUC380	1.0176874450837656
RPL23AP97	CMUC383	3.0413521577728
RPL23AP97	CMUC394	2.014530676669512
RPL23AP97	CMUC419	1.024221051989512
RPL23AP97	CMUC427	5
RPL23AP97	CMUC428	2.012485575885151
RPL23AP97	CMUC431	4.00732680055313
RPL23AP97	CMUC435	3.014662381960751
RPL23AP97	CMUC439	1.0063179408035714
RPL23AP97	CMUC89	3
RPL23AP97	CS219	1.002447533024164
RPL23AP97	CS256	2.004534328162457
RPL23AP97	CS257	1.089979985878173
RPL23AP97	CS259	1.0015292324755884
RPL23AP97	CS261	1.0227433496373879
