Gene	sample	counts
RPS26P3	CM317	3.1490841160199357
RPS26P3	CMCD140	2.0185704080034106
RPS26P3	CMCD147	2.0774754465477607
RPS26P3	CMCD152	2
RPS26P3	CMCD154	9.087326337449097
RPS26P3	CMCD159	7.578416192384685
RPS26P3	CMCD161	5.015318722333931
RPS26P3	CMCD174	1.0883603953024104
RPS26P3	CMCD196	26.23071043486849
RPS26P3	CMCD198	17.474785616048536
RPS26P3	CMCD203	1.0031790985514153
RPS26P3	CMCD211	0.8015566318744244
RPS26P3	CMCD227	0.8192952006583658
RPS26P3	CMCD240	0.9256708984213363
RPS26P3	CMCD259	1
RPS26P3	CMCD270	2.010341719014156
RPS26P3	CMCD275	5.042144675815664
RPS26P3	CMCD282	23.292290693375218
RPS26P3	CMCD286	1.8720519046644661
RPS26P3	CMCD287	2
RPS26P3	CMCD294	6.366784199114575
RPS26P3	CMCD327	2.010163798813845
RPS26P3	CMCD335	3.013964092976934
RPS26P3	CMCD337	1.0066357688747274
RPS26P3	CMCD357	1.0203676217787498
RPS26P3	CMCD398	1.0058055966749162
RPS26P3	CMCD403	1.007131956762018
RPS26P3	CMCD422	2.004173655183634
RPS26P3	CMCD426	1.109996027604914
RPS26P3	CMCD71	4.0253026195568316
RPS26P3	CMCD72	1.1440405671509037
RPS26P3	CMCD76	1.0022671640812284
RPS26P3	CMCD88	3.0005398828258563
RPS26P3	CMSA256	3
RPS26P3	CMSA316	2.0160291389622196
RPS26P3	CMUC110	3
RPS26P3	CMUC192	5.065769229059679
RPS26P3	CMUC199	3.079819482456708
RPS26P3	CMUC200	4.009313835304826
RPS26P3	CMUC208	7.017104042673498
RPS26P3	CMUC231	2
RPS26P3	CMUC234	5
RPS26P3	CMUC285	2.0218132848968224
RPS26P3	CMUC291	2.0131211845560077
RPS26P3	CMUC295	2.0018002572549074
RPS26P3	CMUC299	1.0029139303926111
RPS26P3	CMUC301	2.0010799599790126
RPS26P3	CMUC307	3.0082591785284207
RPS26P3	CMUC313	3.121859938660999
RPS26P3	CMUC314	1.0531743294773983
RPS26P3	CMUC323	1.0232441215691963
RPS26P3	CMUC324	5.004500643137268
RPS26P3	CMUC331	2.017959357631078
RPS26P3	CMUC333	2.0453710080022476
RPS26P3	CMUC334	3.0442913343578786
RPS26P3	CMUC346	1.0107140402598958
RPS26P3	CMUC352	4.023811573037975
RPS26P3	CMUC360	1.0012604069024411
RPS26P3	CMUC363	4.102146921240133
RPS26P3	CMUC365	1.0065437279509373
RPS26P3	CMUC366	2.0065498670882853
RPS26P3	CMUC368	4
RPS26P3	CMUC377	2.0081174605660173
RPS26P3	CMUC379	1.0664515526402574
RPS26P3	CMUC380	1.0176874450837656
RPS26P3	CMUC383	10.137840525909333
RPS26P3	CMUC394	3.0217960150042678
RPS26P3	CMUC419	4.096884207958048
RPS26P3	CMUC427	5
RPS26P3	CMUC428	1.0062427879425755
RPS26P3	CMUC431	1.0018317001382826
RPS26P3	CMUC435	6.029324763921502
RPS26P3	CMUC439	1.0063179408035714
RPS26P3	CMUC89	1
RPS26P3	CS219	6.014685198144984
RPS26P3	CS256	3.006801492243685
RPS26P3	CS257	1.089979985878173
RPS26P3	CS259	3.004587697426765
RPS26P3	CS261	4.0909733985495516
RPS26P3	CS266	6.206644117945276
RPS26P3	CS270	2.025158723305949
RPS26P3	CS277	5.661120567721774
RPS26P3	CS288	3.0267539319983996
RPS26P3	CS290	4.031741435309172
RPS26P3	CS292	5.068008219421679
RPS26P3	CS293	5.079941939217332
RPS26P3	CS301	2.0510029613042446
RPS26P3	CS306	2.0739755917457283
RPS26P3	CS308	1.0254014198472583
RPS26P3	CS315	3.079750816629103
RPS26P3	CS317	1.0691022518554174
RPS26P3	CS322	5.065838950827327
RPS26P3	CS327	1.0046854175679107
RPS26P3	CS328	1.0532227797951625
RPS26P3	CS330	1.0732794536999326
RPS26P3	CS331	9.165097459380702
RPS26P3	CS335	1.0090650478680743
RPS26P3	CS338	1.0294503626489493
RPS26P3	CS339	1.1642104248974183
RPS26P3	CS343	1.0079313245495483
RPS26P3	CS344	2.027370294316445
RPS26P3	CS350	1.021809713154857
RPS26P3	CS351	13.106819996110078
RPS26P3	CS361	1.0231543575157043
RPS26P3	CS388	1.0331387058791355
RPS26P3	CS396	4.042356886221764
RPS26P3	CS405	3.071795076321006
RPS26P3	CS415	1.0725849893611923
RPS26P3	CS424	1.0352517578472156
RPS26P3	IM293	4.021106681187328
RPS26P3	IM296	1.064463289332191
RPS26P3	IM297	2.188977152938363
RPS26P3	IM300	5
RPS26P3	IM305	4.039533641880147
RPS26P3	IM309	3.1948933193453297
RPS26P3	IM310	4.053509354118318
RPS26P3	IM311	1.0123286697107707
RPS26P3	IM316	2.01006865667472
RPS26P3	IM320	1.0454213547260982
RPS26P3	IM330	1.01011866810866
RPS26P3	IM332	1.0290904121726339
RPS26P3	IM340	5.267939532401444
RPS26P3	IM348	1.034853198121328
RPS26P3	IM354	1.007131956762018
RPS26P3	IM356	2.015932948705902
RPS26P3	IM364	3.050439622664982
RPS26P3	IM372	2.9370037440916894
RPS26P3	IM374	3.1423798083383723
RPS26P3	IM376	2.028159069170938
RPS26P3	IM381	1.0123114121679178
RPS26P3	IM382	1.0307681061453446
RPS26P3	IM385	1
RPS26P3	IM390	2.054726020824091
RPS26P3	IM397	1.0111260044482688
RPS26P3	IM404	1.0028664619341938
RPS26P3	IM409	1.0056553730873352
RPS26P3	IM412	2
RPS26P3	IM421	1.0155577247460867
RPS26P3	IM425	1.0520033799095727
RPS26P3	IM432	1.0393271099875068
RPS26P3	IM438	1
RPS26P3	IM442	1.0408884293487235
RPS26P3	IM445	2.022574932267631
RPS26P3	IM448	3.065429139464571
RPS26P3	IM449	2.016645585161011
RPS26P3	IM451	2.010225264757302
RPS26P3	IMSA256	3.012166476737231
RPS26P3	IMSA276	1
RPS26P3	IMSA286	1
RPS26P3	IMSA343	2.0247994533906466
RPS26P3	IS_238	2
RPS26P3	IS238	4.092731973095007
RPS26P3	IS243	1
RPS26P3	IS253	2
RPS26P3	IS283	7
RPS26P3	IS322	2.0206263735940655
RPS26P3	IS399	1.0069400737425076
RPS26P3	IS418	1.0908267191361551
RPS26P3	IS430	2.163743857369773
RPS26P3	IS437	2.1583165477967206
RPS26P3	IS444	3.1100443209799673
RPS26P3	R276CMSA	1.061719097392973
RPS26P3	R286CMSA	4
RPS26P3	R292CMSA	3.012441916916758
RPS26P3	R292IMSA	1.073657155188672
RPS26P3	R308CMSA	1.06717128675431
RPS26P3	R316IMSA	2.0385078919186697
RPS26P3	R347CMSA	2.126995384709898
RPS26P3	R347IMSA	7.43538702762014
RPS26P3	R371CMSA	5.01990254173369
RPS26P3	SRR10104064	1.1094515272513297
RPS26P3	SRR10104065	4.023429011153682
RPS26P3	SRR10104066	2.0374790110252907
RPS26P3	SRR10104067	5.1152857323673855
RPS26P3	SRR10104068	3.0139675782468647
RPS26P3	SRR10104069	1.0114572698828992
RPS26P3	SRR10104070	7.205733498979353
RPS26P3	SRR10104071	1.1606052908522344
RPS26P3	SRR10104072	1.0698874845957154
RPS26P3	SRR10104073	2.089308078249726
RPS26P3	SRR10104074	4.383289371347184
RPS26P3	SRR10104075	1.1510100695372476
RPS26P3	SRR10104076	1.0276547583233047
RPS26P3	SRR10104077	1.100777777658168
RPS26P3	SRR10104078	3.1242817084829304
RPS26P3	SRR10104079	2.179014271461867
RPS26P3	SRR10104080	1.121518162035866
RPS26P3	SRR10104081	2.0316881450945052
RPS26P3	SRR10104082	1.0822514404163561
RPS26P3	SRR10104083	3.189596517100969
RPS26P3	SRR10104084	5.339233676789805
RPS26P3	SRR10104085	1.0222173271187234
RPS26P3	SRR10104086	1.024784508800748
RPS26P3	SRR10104087	5.016000039690327
RPS26P3	SRR10104088	3.027340474803738
RPS26P3	SRR10104089	4.5389824514384705
RPS26P3	SRR10104090	10.263035277348909
RPS26P3	SRR10104091	1.0420863331254986
RPS26P3	SRR10104092	8.1018710844145
RPS26P3	SRR10104093	3.102892933861371
RPS26P3	SRR10104094	2.068044898749607
RPS26P3	SRR10104095	10.540616053506103
RPS26P3	SRR10104096	1.145718575159829
RPS26P3	SRR10104097	1.0631209277390947
RPS26P3	SRR10104098	1.0297617779816932
RPS26P3	SRR10104099	2.0949542125225533
RPS26P3	SRR10104100	3.087192308340663
RPS26P3	SRR10104101	7.039033109803334
RPS26P3	SRR10104102	2.0306338613846457
RPS26P3	SRR10104103	2.10416234597758
RPS26P3	SRR10104104	1.0154976077084612
RPS26P3	SRR10104105	2.1616703776541413
RPS26P3	SRR10104106	2.2609117395076774
RPS26P3	SRR10104107	1.00957560699629
RPS26P3	SRR10104108	6.041143295718046
RPS26P3	SRR10104109	3.3551894993075346
RPS26P3	SRR10104110	3.5695700836833697
RPS26P3	SRR10104111	13.425232866135898
RPS26P3	SRR10104112	3.559863430173723
RPS26P3	SRR10104113	4.143357634386774
RPS26P3	SRR10104114	2.3456122370451067
RPS26P3	SRR10104115	2.28844400795796
RPS26P3	SRR10104116	2.0934593896414824
RPS26P3	SRR10104117	2.077697269649828
RPS26P3	SRR10104118	1.143352850751477
RPS26P3	SRR10104119	4.759275302881335
RPS26P3	SRR10104120	3.081211645128761
RPS26P3	SRR10104121	1.0817747165060128
RPS26P3	SRR10104122	6.536993457667797
RPS26P3	SRR10104123	2.164096158739744
RPS26P3	SRR10104124	1.1164136874736872
RPS26P3	SRR10104125	2.199616470453753
RPS26P3	SRR10104126	1.0394547176893827
RPS26P3	SRR10104127	1.1858382433832468
RPS26P3	SRR10104128	8.230213586745439
RPS26P3	SRR10104129	2.052591531207502
RPS26P3	SRR10104130	3.1234407550382315
RPS26P3	SRR10104131	2.0226580929082805
RPS26P3	SRR10104132	3.0216403114105836
RPS26P3	SRR10104133	1.1637684274221152
RPS26P3	SRR10104134	4.120427675322007
RPS26P3	SRR10104135	1.100806080320317
RPS26P3	SRR10104136	2.030032493652278
RPS26P3	SRR10104137	2.215480759612078
RPS26P3	SRR10104138	3.5865043990985126
RPS26P3	SRR10104139	3.0340701265953567
RPS26P3	SRR10104140	1.1423063013482577
RPS26P3	SRR10104141	3.1785495094916247
RPS26P3	SRR10104142	7.359238393451694
RPS26P3	SRR10104143	2.0163568006131327
RPS26P3	SRR10104144	1.0594651714413874
RPS26P3	SRR10104145	3.18702860966089
RPS26P3	SRR10104146	3.0288648915084124
RPS26P3	SRR10104147	3.0051284058589713
RPS26P3	SRR10104148	1.0516475471177122
RPS26P3	SRR10104149	2.0934899800104145
RPS26P3	SRR10104150	1.0116270753464878
RPS26P3	SRR10104151	1.0076559805417438
RPS26P3	SRR10104152	4.022486700193295
RPS26P3	SRR10104153	3.3057892485516276
RPS26P3	SRR10104154	1.0305255485236042
RPS26P3	SRR10104155	2.175749183917081
RPS26P3	SRR10104156	2.0081174605660173
RPS26P3	SRR10104157	2.097831017057892
RPS26P3	SRR10104158	2.041031088498552
RPS26P3	SRR10104159	3.0378014009114302
RPS26P3	SRR10104160	1.1246452493735022
RPS26P3	SRR10104161	2.0034525039004247
RPS26P3	SRR10104162	4.081351977533363
RPS26P3	SRR10104163	1.0300988116116585
RPS26P3	SRR10104164	3.0589038777593145
RPS26P3	SRR10104165	5.191364462987236
RPS26P3	SRR10104166	3.122238787728496
RPS26P3	SRR10104167	2.045163893206721
RPS26P3	SRR10104168	4.114476620423184
RPS26P3	SRR10104169	2.0493752102157843
RPS26P3	SRR10104170	3.090186460190282
RPS26P3	SRR10104171	2.0479548907673593
RPS26P3	SRR10104172	1.0338434316089917
RPS26P3	SRR10104173	1.0603886751096372
RPS26P3	SRR10104174	3.1014924406353424
RPS26P3	SRR10104175	2.0449554133506544
RPS26P3	SRR10104176	1.02249117212648
RPS26P3	SRR10104177	2.050660278528563
RPS26P3	SRR10104178	2.076829473305533
RPS26P3	SRR10104179	2.0692900547795285
RPS26P3	SRR10104180	2.043900367224255
RPS26P3	SRR10104181	3.080299592559197
RPS26P3	SRR10104182	2.070268771773698
RPS26P3	SRR10104183	1.0476481310619528
RPS26P3	SRR10104184	3.063820523916322
RPS26P3	SRR10104185	2.127213988167174
RPS26P3	SRR10104186	1.0329452604392448
RPS26P3	SRR10104187	1.0769831789043174
RPS26P3	SRR10104188	4.21546217154157
RPS26P3	SRR10104189	2.1191125196604026
RPS26P3	SRR10104190	1.1456942406975419
RPS26P3	SRR10104191	1.1375415852920412
RPS26P3	SRR10104192	3.0781588983216777
RPS26P3	SRR10104193	5.199211995406175
RPS26P3	SRR10104194	4.171519619543534
RPS26P3	SRR10104195	4.167496679020612
RPS26P3	SRR10104196	8.325187594903678
RPS26P3	SRR10104197	3.0504833345961746
RPS26P3	SRR10104198	3.0775377722257358
RPS26P3	SRR10104199	3.2468437421029224
RPS26P3	SRR10104200	4.141366647571346
RPS26P3	SRR10104201	1.0262034008940275
RPS26P3	SRR10104202	2.132313039936485
RPS26P3	SRR10104203	1.0226367394548255
RPS26P3	SRR10104204	1.0313459546081654
RPS26P3	SRR10104205	1.0268650017331544
RPS26P3	SRR10104206	2.0575321625541316
RPS26P3	SRR10104207	1.0327220098173928
RPS26P3	SRR10104208	1.0176351169212208
RPS26P3	SRR10104209	5.115814258597888
RPS26P3	SRR10104210	1.0263049337229564
RPS26P3	SRR10104211	5.093815242963315
RPS26P3	SRR10104212	4.075017250526509
RPS26P3	SRR10104213	3.176764510112982
RPS26P3	SRR10104214	1.0299744390521086
RPS26P3	SRR10104215	8.085712322079166
RPS26P3	SRR10104216	3.181920511786968
RPS26P3	SRR10104217	3.07474172482926
RPS26P3	SRR10104218	1.0636360366675373
RPS26P3	SRR10104219	1.0633498186525099
RPS26P3	SRR10104220	6.210701515834499
RPS26P3	SRR10104221	3.261709080910768
RPS26P3	SRR10104222	1.0381384685659298
RPS26P3	SRR10104223	2.3532654514939266
RPS26P3	SRR10104224	4.101540426933771
RPS26P3	SRR10104225	3.094249516087115
RPS26P3	SRR10104226	4.1555574242904525
RPS26P3	SRR10104227	5.374693078679486
RPS26P3	SRR10104228	2.237824112498017
RPS26P3	SRR10104229	1.0371677751979662
RPS26P3	SRR10104230	1.101165214661461
RPS26P3	SRR10104231	2.152171024270593
RPS26P3	SRR10104232	2.119545284330343
RPS26P3	SRR10104233	1.0718133708527031
RPS26P3	SRR10104234	1.0233588556108677
RPS26P3	SRR10104235	2.087206962211588
RPS26P3	SRR10104236	7.065155136341247
RPS26P3	SRR10104237	1.0184909964241078
RPS26P3	SRR10104238	2.140606816510431
RPS26P3	SRR10104239	4.244713631589279
RPS26P3	SRR10104240	3.2171436146056993
RPS26P3	SRR10104241	2.0801197027359857
RPS26P3	SRR10104242	1.063845639897752
RPS26P3	SRR10104243	3.20192056843797
RPS26P3	SRR10104244	1.039511551636178
RPS26P3	SRR10104245	2.081559619541264
RPS26P3	SRR10104246	1.1058002069903252
RPS26P3	SRR10104247	3.1692864139258576
RPS26P3	SRR10104248	2.1481715408364614
RPS26P3	SRR10104249	1.0271816644146015
RPS26P3	SRR10104250	1.153013547676236
RPS26P3	SRR10104251	3.1398142435556373
RPS26P3	SRR10104252	2.3593895734793238
RPS26P3	SRR10104253	2.192370750948333
RPS26P3	SRR10104254	4.148856452256455
RPS26P3	SRR10104255	1.0309957549391915
RPS26P3	SRR10104256	1.0293845436631004
RPS26P3	SRR10104257	2.07503422549201
RPS26P3	SRR10104258	1.0307926732391595
RPS26P3	SRR10224277	1.0244173062905177
RPS26P3	SRR10224278	1.0926635070500108
RPS26P3	SRR10224279	1.089250843220296
RPS26P3	SRR10224280	1.0227917534671278
RPS26P3	SRR10224281	1.0161102598101706
RPS26P3	SRR10224282	15.75263592314914
RPS26P3	SRR10224283	4.168983696817116
RPS26P3	SRR10224284	1.1092008744415571
RPS26P3	SRR10224285	1.1279661106950958
RPS26P3	SRR10224286	1.0254224279077875
RPS26P3	SRR10224287	1.033803410459708
RPS26P3	SRR10224288	1.0962707234129587
RPS26P3	SRR10224289	1.0935047184878017
RPS26P3	SRR10224290	1.095529172881304
RPS26P3	SRR10224291	1.0312113499898703
RPS26P3	SRR10224292	1.0118581905327977
RPS26P3	SRR10224293	76.26582526633004
RPS26P3	SRR10224294	1.0580047935764523
RPS26P3	SRR10224295	2.1721567200164134
RPS26P3	SRR10224296	1.0547229540206002
RPS26P3	SRR10224297	1.1274808217665389
RPS26P3	SRR10224298	1.0332224020270313
RPS26P3	SRR10318388	4.029343304322068
RPS26P3	SRR10318389	10.047034125711976
RPS26P3	SRR10318390	3.036906634166309
RPS26P3	SRR10318391	6.071109984978499
RPS26P3	SRR10318392	5.069276633211456
RPS26P3	SRR10318393	3.0084251048819137
RPS26P3	SRR10318394	6.0790676023304195
RPS26P3	SRR10318395	4.017667625229354
RPS26P3	SRR10318396	1.0079492911740628
RPS26P3	SRR10318397	5.029097497913549
RPS26P3	SRR10318398	15.051372023168001
RPS26P3	SRR10318399	8.40085956641614
RPS26P3	SRR10318400	25.369391137104593
RPS26P3	SRR10318401	5.018026894084987
RPS26P3	SRR10318402	20.084174307320232
RPS26P3	SRR10318403	8.038473393235696
RPS26P3	SRR10318404	6.010357511701273
RPS26P3	SRR10318405	1.0024033193392368
RPS26P3	SRR10318406	13.05893268324928
RPS26P3	SRR10318407	9.088312237564102
RPS26P3	SRR10318408	6.018016191631076
RPS26P3	SRR10318409	5.015762629697215
RPS26P3	SRR10318410	4.016221968982975
RPS26P3	SRR10318411	4.0145463001182025
RPS26P3	SRR10318412	11.053086103615811
RPS26P3	SRR10318413	4.0152667277289185
RPS26P3	SRR10318414	7.041262345808135
RPS26P3	SRR10318415	14.090692848130864
RPS26P3	SRR10318416	19.188129521741264
RPS26P3	SRR10318417	7.050096070563396
RPS26P3	SRR10318418	8.029976710315616
RPS26P3	SRR10318419	12.047804953706194
RPS26P3	SRR10318420	4.007204269945813
RPS26P3	SRR10318421	8.037948959579028
RPS26P3	SRR10318422	6.012520965550903
RPS26P3	SRR10318423	14.020597028169897
RPS26P3	SRR10318424	6.012520965550903
RPS26P3	SRR10318425	9.058347040596699
RPS26P3	SRR10318426	5.476707139453536
RPS26P3	SRR10318427	7.756127566391091
RPS26P3	SRR10318428	7.009228876074541
RPS26P3	SRR10318429	9.035853715279645
RPS26P3	SRR10318430	7.060198069265783
RPS26P3	SRR10318431	4.020600494886525
RPS26P3	SRR10318432	7.011751877936803
RPS26P3	SRR10318433	1.2750020383966563
RPS26P3	SRR10318434	9.02742244854602
RPS26P3	SRR10318435	7.04157291955509
RPS26P3	SRR10318436	5.013667387657339
RPS26P3	SRR10318437	8.005760304854125
RPS26P3	SRR10318438	2.0025208138048822
RPS26P3	SRR10318439	8.032802299426622
RPS26P3	SRR10318440	10.157338737818744
RPS26P3	SRR10318441	10.027609048318652
RPS26P3	SRR10318442	1.0286330408058433
RPS26P3	SRR10318443	9.020500071968156
RPS26P3	SRR10318444	8.067915524375378
RPS26P3	SRR10318445	5.060249202214921
RPS26P3	SRR10318446	4.015799239966255
RPS26P3	SRR10318447	8.08341438571697
RPS26P3	SRR10318448	14.096773709972613
RPS26P3	SRR10318449	6.012520965550903
RPS26P3	SRR10318450	5.025938504160804
RPS26P3	SRR10318451	8
RPS26P3	SRR10318452	7.043796878254605
RPS26P3	SRR10318453	5.099020119621093
RPS26P3	SRR10318454	8.038007743820774
RPS26P3	SRR10318455	9.054156267295832
RPS26P3	SRR10318456	6.039363553668023
RPS26P3	SRR10318457	4.006184051145372
RPS26P3	SRR10318458	2.0253861234758386
RPS26P3	SRR10318459	2.012891647491122
RPS26P3	SRR10318460	3.011899892575025
RPS26P3	SRR10318461	8.028108919795683
RPS26P3	SRR10318462	11.073332042960255
RPS26P3	SRR10318463	25.077360393205534
RPS26P3	SRR10318464	15.092931850660898
RPS26P3	SRR10318465	14.012601800784351
RPS26P3	SRR10318466	22.20614900814364
RPS26P3	SRR10318467	33.16701137628755
RPS26P3	SRR10318468	16.155748994125176
RPS26P3	SRR10318469	15.052704224616905
RPS26P3	SRR10318470	19
RPS26P3	SRR10318471	15
RPS26P3	SRR10318472	29.127602258997392
RPS26P3	SRR10318473	39.15111852541569
RPS26P3	SRR10318474	37.1545863712222
RPS26P3	SRR10318475	42.167887848570004
RPS26P3	SRR10318476	14.050049803265093
RPS26P3	SRR10318495	35.03780880450905
RPS26P3	SRR10318496	48.422661517878595
RPS26P3	SRR10318497	11.060173478539093
RPS26P3	SRR10318498	21.018902701176525
RPS26P3	SRR10318499	11.011060388376805
RPS26P3	SRR10318500	7.0401154370635695
RPS26P3	SRR10318501	17.08204216013353
RPS26P3	SRR10318502	7.003779859926543
RPS26P3	SRR10318503	17.030618147269706
RPS26P3	SRR10318504	1.006604989330596
RPS26P3	SRR10318505	22.011879559769135
RPS26P3	SRR10318506	8.095358202937334
RPS26P3	SRR10318507	12.143691114213787
RPS26P3	SRR10318508	14.43355823711791
RPS26P3	SRR10318509	22.15055906083882
RPS26P3	SRR10318510	2.015855975017434
RPS26P3	SRR10318511	21.026468544951264
RPS26P3	SRR10318512	2.01523424086556
RPS26P3	SRR10318513	25.082640281580712
RPS26P3	SRR10318514	29.133332201477394
RPS26P3	SRR10318515	28.33405704617504
RPS26P3	SRR10318516	17.100731437092772
RPS26P3	SRR10318517	13.034163147544039
RPS26P3	SRR10318518	14.100423832945125
RPS26P3	SRR10318519	7.033034576395628
RPS26P3	SRR10318520	7.013869467851447
RPS26P3	SRR10318521	17.061527272302808
RPS26P3	SRR10318522	16.021852896842354
RPS26P3	SRR10318523	21.047610445705796
RPS26P3	SRR10318524	11.084420848783207
RPS26P3	SRR10318525	7.043388848055993
RPS26P3	SRR10318526	11.07167816901934
RPS26P3	SRR10318527	21.007559039666738
RPS26P3	SRR10318528	20.050725199115227
RPS26P3	SRR10318529	33.074816414680534
RPS26P3	SRR10318530	18.12132595934016
RPS26P3	SRR10318531	17.151605614657598
RPS26P3	SRR10318532	24.198088745565233
RPS26P3	SRR10318533	16.371051459915606
RPS26P3	SRR10318534	17.29863153081453
RPS26P3	SRR10318535	14.216966507918457
RPS26P3	SRR10318536	7.028388445720205
RPS26P3	SRR10318537	12.130098038600345
RPS26P3	SRR10318538	14.025643801935958
RPS26P3	SRR10318539	17.122683651092242
RPS26P3	SRR10318540	10.054502276354615
RPS26P3	SRR10318541	19.134719295505352
RPS26P3	SRR10318542	35.28119309860626
RPS26P3	SRR10318543	13.130102213138352
RPS26P3	SRR10318544	29.071867377856996
RPS26P3	SRR10318545	14.12082874407051
RPS26P3	SRR10318546	18.02593070403132
RPS26P3	SRR10318547	8.031624381504063
RPS26P3	SRR10318548	20.096797975738248
RPS26P3	SRR10318549	18.12375449739998
RPS26P3	SRR10318568	21.066203044728304
RPS26P3	SRR10318569	15.012380705613827
RPS26P3	SRR10318570	21.22334751433691
RPS26P3	SRR10318571	11.009079184116807
RPS26P3	SRR10318572	25.118774199439923
RPS26P3	SRR10318573	40.05884865191399
RPS26P3	SRR10318574	27.065629915442226
RPS26P3	SRR10318575	25.117426773912722
RPS26P3	SRR10318576	25.107677000914812
RPS26P3	SRR10318577	24.069531051916957
RPS26P3	SRR10318578	41.0369052737256
RPS26P3	SRR10318579	19.059897992849418
RPS26P3	SRR10318580	10.013658060526472
RPS26P3	SRR10318581	17
RPS26P3	SRR10875803	1.6223001878179908
RPS26P3	SRR10875804	0.5526998687141053
RPS26P3	SRR10875805	0.5194067188592751
RPS26P3	SRR10875806	0.8631412234827924
RPS26P3	SRR10875807	3.8427624005580814
RPS26P3	SRR10875808	0.9089334807779137
RPS26P3	SRR10875809	0.6322609572630693
RPS26P3	SRR10875810	0.903646390841777
RPS26P3	SRR10875812	2
RPS26P3	SRR10875813	0.8096197169317331
RPS26P3	SRR10875814	1.0039973297278573
RPS26P3	SRR10875815	1
RPS26P3	SRR10875816	2
RPS26P3	SRR10875817	1.5344616900457333
RPS26P3	SRR10875818	0.7224371096255142
RPS26P3	SRR10875819	1
RPS26P3	SRR10875820	1.2403560717765731
RPS26P3	SRR10875821	0.9476438352519748
RPS26P3	SRR10875822	1.0201195316440086
RPS26P3	SRR10875823	1
RPS26P3	SRR10875824	1.8097019318242369
RPS26P3	SRR10875825	2.003513764628727
RPS26P3	SRR10875826	0.8418328143680529
RPS26P3	SRR10875827	2.550792784170681
RPS26P3	SRR10875829	0.7509930762994443
RPS26P3	SRR10875830	1
RPS26P3	SRR10875831	1.0035717494702923
RPS26P3	SRR10875832	2
RPS26P3	SRR10875834	1.0033362899203648
RPS26P3	SRR10875835	1
RPS26P3	SRR10875836	0.9375174267314332
RPS26P3	SRR10875837	0.8027033939846714
RPS26P3	SRR10875838	1
RPS26P3	SRR10875839	1.4773173086650586
RPS26P3	SRR10875840	1.6245030662072326
RPS26P3	SRR10875841	2.0076333638644592
RPS26P3	SRR10875842	0.6930808109926465
RPS26P3	SRR10875843	0.5512966967726888
RPS26P3	SRR10875844	0.7998780887339916
RPS26P3	SRR10875845	0.9004773375591886
RPS26P3	SRR10875846	0.5338898110226844
RPS26P3	SRR10875847	2.007210757633995
RPS26P3	SRR10875848	1
RPS26P3	SRR10875849	2.8831744673094972
RPS26P3	SRR10875850	2.000359921883904
RPS26P3	SRR10875851	0.8712448993588919
RPS26P3	SRR10875852	0.806845693372095
RPS26P3	SRR10875853	3.0065769412092394
RPS26P3	SRR10875854	0.8385638626920141
RPS26P3	SRR10875855	0.7288685075160425
RPS26P3	SRR10875856	2.020441918737141
RPS26P3	SRR10875857	2.3144687487669193
RPS26P3	SRR10875858	0.9306989446855669
RPS26P3	SRR10875859	1
RPS26P3	SRR10875860	0.6526066699460261
RPS26P3	SRR10875861	0.5900856293905553
RPS26P3	SRR10875862	0.5796811780923556
RPS26P3	SRR10875863	4.021656545455686
RPS26P3	SRR10875864	2
RPS26P3	SRR10875865	0.8428758251468422
RPS26P3	SRR10875866	0.7406085598109271
RPS26P3	SRR10875867	0.9579402303203833
RPS26P3	SRR10875868	0.6140196790576461
RPS26P3	SRR10875869	1
RPS26P3	SRR10875870	2.022275796589138
RPS26P3	SRR10875871	1.000179960941952
RPS26P3	SRR10875872	0.583061422294388
RPS26P3	SRR10875873	0.8034134029872585
RPS26P3	SRR10875874	0.5839610857172621
RPS26P3	SRR10875875	0.9855354753510438
RPS26P3	SRR10875876	2
RPS26P3	SRR10875877	0.8053776302508535
RPS26P3	SRR10875878	1.0079184714668268
RPS26P3	SRR10875879	1
RPS26P3	SRR10875880	1.0039973297278573
RPS26P3	SRR10875881	1.5544783823386505
RPS26P3	SRR10875882	2
RPS26P3	SRR10875883	2.012875567593067
RPS26P3	SRR10875884	0.9714906666798725
RPS26P3	SRR10875885	2.003663400276565
RPS26P3	SRR10875886	1.0075249897799072
RPS26P3	SRR10875887	2
RPS26P3	SRR10875888	3.0846643901486686
RPS26P3	SRR10875889	1.0022324206205542
RPS26P3	SRR10875890	1.002192313736413
RPS26P3	SRR10875891	1
RPS26P3	SRR10875892	2.97958350266568
RPS26P3	SRR10875893	1
RPS26P3	SRR10875894	1.0370118615419222
RPS26P3	SRR10875895	1
RPS26P3	SRR10875896	2.0201589259152826
RPS26P3	SRR10875897	1.002553057138948
RPS26P3	SRR10875898	0.9457998595863732
RPS26P3	SRR10875899	0.8960758603955238
RPS26P3	SRR10875900	1.003735535910961
RPS26P3	SRR10875901	2.004384627472826
RPS26P3	SRR10875902	1.0046103866254328
RPS26P3	SRR12430469	1
RPS26P3	SRR12430470	0.8481658221594904
RPS26P3	SRR12430471	0.970004873293631
