Gene	sample	counts
RSL1D1	CM317	1390.8454845754716
RSL1D1	CMCD140	2573.6772702043486
RSL1D1	CMCD147	1872.8441150628062
RSL1D1	CMCD152	4987
RSL1D1	CMCD154	3020.02145281225
RSL1D1	CMCD159	515.3323010821586
RSL1D1	CMCD161	3267.9816794727894
RSL1D1	CMCD174	497.38070065320153
RSL1D1	CMCD196	1228.8078965257625
RSL1D1	CMCD198	2094.9184167945245
RSL1D1	CMCD203	2250.1307180508247
RSL1D1	CMCD211	2299.6659768477234
RSL1D1	CMCD227	2003.1767656097045
RSL1D1	CMCD240	3022.315483345663
RSL1D1	CMCD259	3767
RSL1D1	CMCD270	2128.9518804359914
RSL1D1	CMCD275	2715.6991223943164
RSL1D1	CMCD282	2019.3403322865297
RSL1D1	CMCD286	1996.5433563246531
RSL1D1	CMCD287	2127
RSL1D1	CMCD294	633.4950278119002
RSL1D1	CMCD327	3108.718314865612
RSL1D1	CMCD335	2545.79500386785
RSL1D1	CMCD337	2149.167366547543
RSL1D1	CMCD357	2299.908619489302
RSL1D1	CMCD398	1835.595213931722
RSL1D1	CMCD403	4299.446323417055
RSL1D1	CMCD422	2780.790946567293
RSL1D1	CMCD426	239.7591419626614
RSL1D1	CMCD71	2711.041314271526
RSL1D1	CMCD72	169.31800393833376
RSL1D1	CMCD76	2482.615765429203
RSL1D1	CMCD88	3072.552840013677
RSL1D1	CMSA256	3866
RSL1D1	CMSA316	1906.1555508887786
RSL1D1	CMUC110	3815
RSL1D1	CMUC192	1295.823768793466
RSL1D1	CMUC199	611.8574705147327
RSL1D1	CMUC200	3028.03427411397
RSL1D1	CMUC208	3434.3712071713435
RSL1D1	CMUC231	4160
RSL1D1	CMUC234	3580
RSL1D1	CMUC285	2111.783976074731
RSL1D1	CMUC291	2528.480207802346
RSL1D1	CMUC295	3388.0469354039305
RSL1D1	CMUC299	2477.197408069749
RSL1D1	CMUC301	2453.324030934269
RSL1D1	CMUC307	1904.2280600084905
RSL1D1	CMUC313	1287.2469147078853
RSL1D1	CMUC314	1295.4044252571998
RSL1D1	CMUC323	1040.6392716358728
RSL1D1	CMUC324	2641.37543944785
RSL1D1	CMUC331	1821.208320262048
RSL1D1	CMUC333	1581.0717891857375
RSL1D1	CMUC334	1813.3828714991764
RSL1D1	CMUC346	3047.302831383586
