Gene	sample	counts
SOX9	CM317	502.80376385784973
SOX9	CMCD140	612.6361188290351
SOX9	CMCD147	410.3014006931827
SOX9	CMCD152	1508
SOX9	CMCD154	342.289292043916
SOX9	CMCD159	378.9208096192342
SOX9	CMCD161	808.4693780402297
SOX9	CMCD174	365.68909282160985
SOX9	CMCD196	607.341833915032
SOX9	CMCD198	783.2815670252344
SOX9	CMCD203	497.576832881502
SOX9	CMCD211	282.14793441979737
SOX9	CMCD227	964.3104511748966
SOX9	CMCD240	2744.614213819262
SOX9	CMCD259	833
SOX9	CMCD270	1043.367352168347
SOX9	CMCD275	662.5378104021783
SOX9	CMCD282	432.42644026396596
SOX9	CMCD286	2063.937224892574
SOX9	CMCD287	2512
SOX9	CMCD294	395.80175104495606
SOX9	CMCD327	517.6171781945652
SOX9	CMCD335	468.1690891090837
SOX9	CMCD337	450.9728244558779
SOX9	CMCD357	346.92499140477497
SOX9	CMCD398	457.6415464870868
SOX9	CMCD403	397.8171229209971
SOX9	CMCD422	555.1561024858668
SOX9	CMCD426	347.42875664033807
SOX9	CMCD71	695.3710275284426
SOX9	CMCD72	350.0764135481765
SOX9	CMCD76	1315.9767864386529
SOX9	CMCD88	1744.3138518827643
SOX9	CMSA256	1156
SOX9	CMSA316	333.65282249824736
SOX9	CMUC110	1947
SOX9	CMUC192	525.8268459763947
SOX9	CMUC199	387.030648295393
SOX9	CMUC200	976.2679188967252
SOX9	CMUC208	1225.9883205985268
SOX9	CMUC231	371
SOX9	CMUC234	774
SOX9	CMUC285	337.6428185777694
SOX9	CMUC291	377.46022210425144
SOX9	CMUC295	768.6912987858844
SOX9	CMUC299	1447.2048015565379
SOX9	CMUC301	1867.0076026604186
SOX9	CMUC307	670.8417968118379
SOX9	CMUC313	364.2169928437832
SOX9	CMUC314	409.68481416670795
SOX9	CMUC323	499.34313132576784
SOX9	CMUC324	498.44826405647194
SOX9	CMUC331	470.1845303280412
SOX9	CMUC333	442.8228232324866
SOX9	CMUC334	926.4793294229144
SOX9	CMUC346	512.4320184117672
SOX9	CMUC352	448.6549903937341
SOX9	CMUC360	488.6150785683913
SOX9	CMUC363	414.31683904525346
SOX9	CMUC365	477.1017270487443
SOX9	CMUC366	402.3132483512012
SOX9	CMUC368	759
SOX9	CMUC377	513.0740111746173
SOX9	CMUC379	351.9290123712849
SOX9	CMUC380	377.5620421260771
SOX9	CMUC383	340.6314416705536
SOX9	CMUC394	372.6881751838597
SOX9	CMUC419	410.7126418477944
SOX9	CMUC427	592
SOX9	CMUC428	359.22867529549944
SOX9	CMUC431	301.5513417416231
SOX9	CMUC435	491.3899682596024
SOX9	CMUC439	454.8557092432143
SOX9	CMUC89	1784
SOX9	CS219	1542.7667533241884
SOX9	CS256	625.4147103866865
SOX9	CS257	383.67295502911685
SOX9	CS259	563.8609578837562
SOX9	CS261	475.5756575813853
