Gene	sample	counts
TECTA	CM317	1.0496947053399786
TECTA	CMCD140	12.111422448020464
TECTA	CMCD147	2.0774754465477607
TECTA	CMCD152	23
TECTA	CMCD154	16.15524682213173
TECTA	CMCD159	18.404725038648518
TECTA	CMCD161	10.030637444667862
TECTA	CMCD174	1.0883603953024104
TECTA	CMCD196	12.106481739170073
TECTA	CMCD198	4.111714262599656
TECTA	CMCD203	92.29247706673021
TECTA	CMCD211	73.74321013244705
TECTA	CMCD227	31.133217625017902
TECTA	CMCD240	25.918785155797416
TECTA	CMCD259	29
TECTA	CMCD270	18.093075471127403
TECTA	CMCD275	5.042144675815664
TECTA	CMCD282	12.152499492195766
TECTA	CMCD286	45.86527166427942
TECTA	CMCD287	16
TECTA	CMCD294	1.061130699852429
TECTA	CMCD327	8.04065519525538
TECTA	CMCD335	18.083784557861602
TECTA	CMCD337	24.15925845299346
TECTA	CMCD357	8.162940974229999
TECTA	CMCD398	12.069667160098993
TECTA	CMCD403	10.071319567620181
TECTA	CMCD422	32.06677848293815
TECTA	CMCD426	4.439984110419656
TECTA	CMCD71	4.0253026195568316
TECTA	CMCD72	1.1440405671509037
TECTA	CMCD76	14.031740297137198
TECTA	CMCD88	34.00611867202637
TECTA	CMSA256	37
TECTA	CMSA316	32.25646622339551
TECTA	CMUC110	35
TECTA	CMUC192	7.09207692068355
TECTA	CMUC199	12.319277929826832
TECTA	CMUC200	14.03259842356689
TECTA	CMUC208	24.058642432023422
TECTA	CMUC231	69
TECTA	CMUC234	42
TECTA	CMUC285	10.109066424484114
TECTA	CMUC291	19.124651253282074
TECTA	CMUC295	19.01710244392162
TECTA	CMUC299	15.043708955889166
TECTA	CMUC301	27.014579459716668
TECTA	CMUC307	48.13214685645473
TECTA	CMUC313	12.487439754643995
TECTA	CMUC314	2.1063486589547966
TECTA	CMUC323	8.18595297255357
TECTA	CMUC324	29.026103730196155
TECTA	CMUC331	7.062857751708774
TECTA	CMUC333	7.158798528007867
TECTA	CMUC334	1.0147637781192929
TECTA	CMUC346	30.321421207796874
TECTA	CMUC352	15.089293398892403
TECTA	CMUC360	8.010083255219529
TECTA	CMUC363	38.97039575178127
TECTA	CMUC365	8.052349823607498
TECTA	CMUC366	23.07532347151528
TECTA	CMUC368	16
TECTA	CMUC377	13.05276349367911
TECTA	CMUC379	15.996773289603858
TECTA	CMUC380	7.12381211558636
TECTA	CMUC383	11.151624578500266
TECTA	CMUC394	7.050857368343292
TECTA	CMUC419	5.12110525994756
TECTA	CMUC427	26
TECTA	CMUC428	5.0312139397128774
TECTA	CMUC431	47.08608990649928
TECTA	CMUC435	11.05376206718942
TECTA	CMUC439	10.063179408035714
TECTA	CMUC89	84
TECTA	CS219	14.034265462338295
TECTA	CS256	8.018137312649827
TECTA	CS257	1.089979985878173
TECTA	CS259	7.010704627329118
TECTA	CS261	5.113716748186939
TECTA	CS266	1.0344406863242126
TECTA	CS270	7.088055531570822
TECTA	CS277	36.797283690191534
TECTA	CS288	12.107015727993598
TECTA	CS290	8.063482870618344
TECTA	CS292	5.068008219421679
TECTA	CS293	8.127907102747733
TECTA	CS301	2.0510029613042446
TECTA	CS306	11.406865754601505
TECTA	CS308	2.0508028396945166
TECTA	CS315	13.345586872059446
TECTA	CS317	1.0691022518554174
TECTA	CS322	4.052671160661862
TECTA	CS327	11.05153959324702
TECTA	CS328	1.0532227797951625
TECTA	CS330	1.0732794536999326
TECTA	CS331	1.0183441621534113
TECTA	CS335	29.76741891210819
TECTA	CS338	2.0589007252978986
TECTA	CS339	5.821052124487092
TECTA	CS343	7.055519271846837
TECTA	CS344	12.16422176589867
TECTA	CS350	7.152667992083999
TECTA	CS351	2.0164338455553965
TECTA	CS361	4.092617430062817
TECTA	CS388	2.066277411758271
TECTA	CS396	6.063535329332647
TECTA	CS405	16.382907073712033
TECTA	CS415	1.0725849893611923
TECTA	CS424	1.0352517578472156
TECTA	IM293	18.094980065342977
TECTA	IM296	50.029774598612974
TECTA	IM297	1.0944885764691814
TECTA	IM300	30
TECTA	IM305	5.049417052350184
TECTA	IM309	1.0649644397817766
TECTA	IM310	6.080264031177476
TECTA	IM311	1.0123286697107707
TECTA	IM316	7.035240298361519
TECTA	IM320	8.363370837808786
TECTA	IM330	9.091068012977939
TECTA	IM332	1.0290904121726339
TECTA	IM340	1.0535879064802887
TECTA	IM348	4.139412792485312
TECTA	IM354	16.11411130819229
TECTA	IM356	25.19916185882378
TECTA	IM364	11.184945283104934
TECTA	IM372	21.538027456672392
TECTA	IM374	35.613637827834886
TECTA	IM376	15.211193018782035
TECTA	IM381	7.086179885175424
TECTA	IM382	9.276912955308102
TECTA	IM385	46
TECTA	IM390	1.0273630104120455
TECTA	IM397	7.077882031137881
TECTA	IM404	22.063062162552264
TECTA	IM409	26.147039700270717
TECTA	IM412	8
TECTA	IM421	3.04667317423826
TECTA	IM425	1.0520033799095727
TECTA	IM432	11.432598209862574
TECTA	IM438	21
TECTA	IM442	6.245330576092341
TECTA	IM445	6.067724796802894
TECTA	IM448	1.021809713154857
TECTA	IM449	4.033291170322022
TECTA	IM451	8.040901059029208
TECTA	IMSA256	5.020277461228718
TECTA	IMSA276	83
TECTA	IMSA286	20
TECTA	IMSA343	20.247994533906468
TECTA	IS_238	14
TECTA	IS238	22.510025852022537
TECTA	IS243	23
TECTA	IS253	18
TECTA	IS283	12
TECTA	IS322	29.299082417113947
TECTA	IS399	7.0485805161975525
TECTA	IS418	8.726613753089241
TECTA	IS430	1.0818719286848866
TECTA	IS437	4.316633095593441
TECTA	IS444	3.1100443209799673
TECTA	R276CMSA	27.6046965322173
TECTA	R286CMSA	20
TECTA	R292CMSA	5.020736528194597
TECTA	R292IMSA	1.073657155188672
TECTA	R308CMSA	13.873226727806031
TECTA	R316IMSA	4.077015783837339
TECTA	R347CMSA	1.063497692354949
TECTA	R347IMSA	5.310990734014386
TECTA	R371CMSA	13.051746608507592
TECTA	SRR10104064	3.3283545817539895
TECTA	SRR10104065	1.0058572527884204
TECTA	SRR10104066	1.0187395055126454
TECTA	SRR10104067	1.023057146473477
TECTA	SRR10104068	1.0046558594156214
TECTA	SRR10104069	1.0114572698828992
TECTA	SRR10104070	1.0293904998541934
TECTA	SRR10104071	1.1606052908522344
TECTA	SRR10104072	1.0698874845957154
TECTA	SRR10104073	1.044654039124863
TECTA	SRR10104074	2.191644685673592
TECTA	SRR10104075	1.1510100695372476
TECTA	SRR10104076	1.0276547583233047
