Gene	sample	counts
THEGL	CM317	1.0496947053399786
THEGL	CMCD140	1.0092852040017053
THEGL	CMCD147	1.0387377232738804
THEGL	CMCD152	1
THEGL	CMCD154	3.0291087791496993
THEGL	CMCD159	1.0826308846263835
THEGL	CMCD161	1.0030637444667863
THEGL	CMCD174	1.0883603953024104
THEGL	CMCD196	1.0088734782641728
THEGL	CMCD198	1.027928565649914
THEGL	CMCD203	7.022253689859908
THEGL	CMCD211	4.0077831593721225
THEGL	CMCD227	1.6385904013167316
THEGL	CMCD240	0.9256708984213363
THEGL	CMCD259	1
THEGL	CMCD270	1.005170859507078
THEGL	CMCD275	1.0084289351631328
THEGL	CMCD282	1.0127082910163139
THEGL	CMCD286	0.9360259523322331
THEGL	CMCD287	1
THEGL	CMCD294	1.061130699852429
THEGL	CMCD327	1.0050818994069226
THEGL	CMCD335	3.013964092976934
THEGL	CMCD337	4.0265430754989096
THEGL	CMCD357	1.0203676217787498
THEGL	CMCD398	1.0058055966749162
THEGL	CMCD403	1.007131956762018
THEGL	CMCD422	1.002086827591817
THEGL	CMCD426	1.109996027604914
THEGL	CMCD71	1.0063256548892079
THEGL	CMCD72	1.1440405671509037
THEGL	CMCD76	1.0022671640812284
THEGL	CMCD88	1.000179960941952
THEGL	CMSA256	1
THEGL	CMSA316	1.0080145694811098
THEGL	CMUC110	2
THEGL	CMUC192	1.0131538458119358
THEGL	CMUC199	1.0266064941522361
THEGL	CMUC200	1.0023284588262065
THEGL	CMUC208	1.0024434346676425
THEGL	CMUC231	2
THEGL	CMUC234	1
THEGL	CMUC285	1.0109066424484112
THEGL	CMUC291	1.0065605922780039
THEGL	CMUC295	2.0018002572549074
THEGL	CMUC299	1.0029139303926111
THEGL	CMUC301	1.0005399799895063
THEGL	CMUC307	1.0027530595094736
THEGL	CMUC313	1.0406199795536664
THEGL	CMUC314	1.0531743294773983
THEGL	CMUC323	1.0232441215691963
THEGL	CMUC324	1.0009001286274537
THEGL	CMUC331	1.008979678815539
THEGL	CMUC333	1.0226855040011238
THEGL	CMUC334	1.0147637781192929
THEGL	CMUC346	1.0107140402598958
THEGL	CMUC352	1.0059528932594937
THEGL	CMUC360	6.007562441414647
THEGL	CMUC363	1.0255367303100333
