Gene	sample	counts
TMEM211	CM317	1.0496947053399786
TMEM211	CMCD140	2.0185704080034106
TMEM211	CMCD147	1.0387377232738804
TMEM211	CMCD152	1
TMEM211	CMCD154	1.0097029263832331
TMEM211	CMCD159	1.0826308846263835
TMEM211	CMCD161	31.09497607847037
TMEM211	CMCD174	1.0883603953024104
TMEM211	CMCD196	21.18634304354763
TMEM211	CMCD198	12.335142787798967
TMEM211	CMCD203	8.025432788411322
TMEM211	CMCD211	1.6031132637488488
TMEM211	CMCD227	21.301675217117513
TMEM211	CMCD240	36.101165038432114
TMEM211	CMCD259	12
TMEM211	CMCD270	27.139613206691106
TMEM211	CMCD275	1.0084289351631328
TMEM211	CMCD282	30.381248730489414
TMEM211	CMCD286	6.552181666325631
TMEM211	CMCD287	12
TMEM211	CMCD294	10.611306998524292
TMEM211	CMCD327	1.0050818994069226
TMEM211	CMCD335	5.0232734882948895
TMEM211	CMCD337	1.0066357688747274
TMEM211	CMCD357	1.0203676217787498
TMEM211	CMCD398	1.0058055966749162
TMEM211	CMCD403	10.071319567620181
TMEM211	CMCD422	3.0062604827754513
TMEM211	CMCD426	1.109996027604914
TMEM211	CMCD71	4.0253026195568316
TMEM211	CMCD72	1.1440405671509037
TMEM211	CMCD76	26.05894626611194
TMEM211	CMCD88	19.00341925789709
TMEM211	CMSA256	4
TMEM211	CMSA316	1.0080145694811098
TMEM211	CMUC110	3
TMEM211	CMUC192	12.15784614974323
TMEM211	CMUC199	18.478916894740248
TMEM211	CMUC200	37.08615297656964
TMEM211	CMUC208	22.053755562688135
TMEM211	CMUC231	4
TMEM211	CMUC234	16
TMEM211	CMUC285	1.0109066424484112
TMEM211	CMUC291	2.0131211845560077
TMEM211	CMUC295	9.008101157647083
TMEM211	CMUC299	6.017483582355666
TMEM211	CMUC301	27.014579459716668
TMEM211	CMUC307	7.0192714165663155
TMEM211	CMUC313	1.0406199795536664
TMEM211	CMUC314	1.0531743294773983
TMEM211	CMUC323	1.0232441215691963
TMEM211	CMUC324	2.0018002572549074
TMEM211	CMUC331	2.017959357631078
TMEM211	CMUC333	2.0453710080022476
TMEM211	CMUC334	1.0147637781192929
TMEM211	CMUC346	1.0107140402598958
TMEM211	CMUC352	5.029764466297468
TMEM211	CMUC360	7.008822848317089
TMEM211	CMUC363	1.0255367303100333
TMEM211	CMUC365	6.039262367705624
TMEM211	CMUC366	4.013099734176571
TMEM211	CMUC368	1
TMEM211	CMUC377	3.0121761908490257
TMEM211	CMUC379	14.930321736963602
TMEM211	CMUC380	2.0353748901675313
TMEM211	CMUC383	4.055136210363733
TMEM211	CMUC394	3.0217960150042678
TMEM211	CMUC419	1.024221051989512
TMEM211	CMUC427	2
TMEM211	CMUC428	3.0187283638277265
TMEM211	CMUC431	2.003663400276565
TMEM211	CMUC435	1.0048874606535836
TMEM211	CMUC439	2.012635881607143
TMEM211	CMUC89	13
TMEM211	CS219	24.058740792579936
TMEM211	CS256	2.004534328162457
TMEM211	CS257	1.089979985878173
TMEM211	CS259	12.01835078970706
TMEM211	CS261	15.341150244560817
TMEM211	CS266	21.723254412808465
TMEM211	CS270	7.088055531570822
TMEM211	CS277	4.717600473101478
TMEM211	CS288	7.0624258413296
TMEM211	CS290	24.190448611855036
TMEM211	CS292	15.204024658265038
TMEM211	CS293	33.527616798834394
TMEM211	CS301	10.255014806521224
TMEM211	CS306	22.81373150920301
TMEM211	CS308	1.0254014198472583
TMEM211	CS315	8.212668844344275
TMEM211	CS317	1.0691022518554174
TMEM211	CS322	1.0131677901654654
TMEM211	CS327	3.0140562527037322
TMEM211	CS328	1.0532227797951625
TMEM211	CS330	1.0732794536999326
TMEM211	CS331	10.183441621534113
TMEM211	CS335	9.586117954746706
TMEM211	CS338	1.0294503626489493
TMEM211	CS339	1.1642104248974183
TMEM211	CS343	8.063450596396386
TMEM211	CS344	7.095796030107557
TMEM211	CS350	16.34895541047771
TMEM211	CS351	5.041084613888492
TMEM211	CS361	1.0231543575157043
TMEM211	CS388	5.165693529395677
TMEM211	CS396	1.010589221555441
TMEM211	CS405	2.047863384214004
TMEM211	CS415	1.0725849893611923
TMEM211	CS424	6.211510547083293
TMEM211	IM293	19.10025673563981
TMEM211	IM296	1.064463289332191
TMEM211	IM297	1.0944885764691814
TMEM211	IM300	4
TMEM211	IM305	2.0197668209400734
TMEM211	IM309	1.0649644397817766
TMEM211	IM310	2.026754677059159
TMEM211	IM311	1.0123286697107707
TMEM211	IM316	5.025171641686799
TMEM211	IM320	1.0454213547260982
TMEM211	IM330	1.01011866810866
TMEM211	IM332	5.145452060863169
TMEM211	IM340	1.0535879064802887
TMEM211	IM348	1.034853198121328
TMEM211	IM354	1.007131956762018
TMEM211	IM356	1.007966474352951
TMEM211	IM364	5.08406603777497
TMEM211	IM372	2.9370037440916894
TMEM211	IM374	1.0474599361127908
TMEM211	IM376	3.0422386037564073
TMEM211	IM381	1.0123114121679178
TMEM211	IM382	7.215376743017413
TMEM211	IM385	2
TMEM211	IM390	1.0273630104120455
TMEM211	IM397	4.044504017793075
TMEM211	IM404	1.0028664619341938
TMEM211	IM409	1.0056553730873352
TMEM211	IM412	2
TMEM211	IM421	1.0155577247460867
TMEM211	IM425	1.0520033799095727
TMEM211	IM432	1.0393271099875068
TMEM211	IM438	2
TMEM211	IM442	3.1226652880461705
TMEM211	IM445	5.056437330669079
TMEM211	IM448	17.37076512363257
TMEM211	IM449	1.0083227925805054
TMEM211	IM451	1.005112632378651
TMEM211	IMSA256	4.016221968982975
TMEM211	IMSA276	1
TMEM211	IMSA286	1
TMEM211	IMSA343	1.0123997266953233
TMEM211	IS_238	9
TMEM211	IS238	2.557957483184379
TMEM211	IS243	4
TMEM211	IS253	1
TMEM211	IS283	1
TMEM211	IS322	1.0103131867970327
TMEM211	IS399	2.013880147485015
TMEM211	IS418	1.0908267191361551
TMEM211	IS430	1.0818719286848866
TMEM211	IS437	1.0791582738983603
TMEM211	IS444	1.0366814403266558
TMEM211	R276CMSA	1.061719097392973
TMEM211	R286CMSA	9
TMEM211	R292CMSA	5.020736528194597
TMEM211	R292IMSA	1.073657155188672
TMEM211	R308CMSA	1.06717128675431
TMEM211	R316IMSA	1.0192539459593348
TMEM211	R347CMSA	1.063497692354949
TMEM211	R347IMSA	1.0621981468028772
TMEM211	R371CMSA	1.003980508346738
TMEM211	SRR10104064	1.1094515272513297
TMEM211	SRR10104065	1.0058572527884204
TMEM211	SRR10104066	1.0187395055126454
TMEM211	SRR10104067	6.138342878840863
TMEM211	SRR10104068	2.009311718831243
TMEM211	SRR10104069	3.034371809648697
TMEM211	SRR10104070	1.0293904998541934
TMEM211	SRR10104071	1.1606052908522344
TMEM211	SRR10104072	1.0698874845957154
TMEM211	SRR10104073	1.044654039124863
TMEM211	SRR10104074	2.191644685673592
TMEM211	SRR10104075	1.1510100695372476
TMEM211	SRR10104076	1.0276547583233047
TMEM211	SRR10104077	1.100777777658168
TMEM211	SRR10104078	1.0414272361609767
TMEM211	SRR10104079	1.0895071357309336
TMEM211	SRR10104080	1.121518162035866
TMEM211	SRR10104081	1.0158440725472526
TMEM211	SRR10104082	1.0822514404163561
TMEM211	SRR10104083	1.0631988390336564
TMEM211	SRR10104084	1.067846735357961
TMEM211	SRR10104085	1.0222173271187234
TMEM211	SRR10104086	1.024784508800748
TMEM211	SRR10104087	1.0032000079380652
TMEM211	SRR10104088	1.0091134916012459
TMEM211	SRR10104089	1.1347456128596176
TMEM211	SRR10104090	1.0263035277348909
TMEM211	SRR10104091	1.0420863331254986
TMEM211	SRR10104092	1.0127338855518124
TMEM211	SRR10104093	1.034297644620457
TMEM211	SRR10104094	1.0340224493748036
TMEM211	SRR10104095	1.0540616053506102
TMEM211	SRR10104096	1.145718575159829
TMEM211	SRR10104097	1.0631209277390947
TMEM211	SRR10104098	1.0297617779816932
TMEM211	SRR10104099	1.0474771062612767
TMEM211	SRR10104100	1.0290641027802212
TMEM211	SRR10104101	1.0055761585433334
TMEM211	SRR10104102	1.0153169306923229
TMEM211	SRR10104103	1.05208117298879
TMEM211	SRR10104104	1.0154976077084612
TMEM211	SRR10104105	1.0808351888270706
TMEM211	SRR10104106	1.1304558697538387
TMEM211	SRR10104107	1.00957560699629
TMEM211	SRR10104108	1.0068572159530078
TMEM211	SRR10104109	1.1183964997691782
TMEM211	SRR10104110	1.1898566945611233
TMEM211	SRR10104111	3.0981306614159765
TMEM211	SRR10104112	1.186621143391241
TMEM211	SRR10104113	1.0358394085966935
TMEM211	SRR10104114	1.1728061185225533
TMEM211	SRR10104115	1.14422200397898
TMEM211	SRR10104116	1.0467296948207412
TMEM211	SRR10104117	1.038848634824914
TMEM211	SRR10104118	1.143352850751477
TMEM211	SRR10104119	1.1898188257203337
TMEM211	SRR10104120	1.0270705483762537
TMEM211	SRR10104121	1.0817747165060128
TMEM211	SRR10104122	2.178997819222599
TMEM211	SRR10104123	1.082048079369872
TMEM211	SRR10104124	1.1164136874736872
TMEM211	SRR10104125	1.0998082352268765
TMEM211	SRR10104126	1.0394547176893827
TMEM211	SRR10104127	1.1858382433832468
TMEM211	SRR10104128	1.0287766983431799
TMEM211	SRR10104129	1.026295765603751
TMEM211	SRR10104130	1.041146918346077
TMEM211	SRR10104131	2.0226580929082805
TMEM211	SRR10104132	1.007213437136861
TMEM211	SRR10104133	1.1637684274221152
TMEM211	SRR10104134	1.0301069188305016
TMEM211	SRR10104135	1.100806080320317
TMEM211	SRR10104136	1.015016246826139
TMEM211	SRR10104137	1.107740379806039
TMEM211	SRR10104138	1.195501466366171
TMEM211	SRR10104139	1.011356708865119
TMEM211	SRR10104140	1.1423063013482577
TMEM211	SRR10104141	1.059516503163875
TMEM211	SRR10104142	1.0513197704930992
TMEM211	SRR10104143	1.0081784003065664
TMEM211	SRR10104144	1.0594651714413874
TMEM211	SRR10104145	1.0623428698869635
TMEM211	SRR10104146	1.009621630502804
TMEM211	SRR10104147	1.001709468619657
TMEM211	SRR10104148	1.0516475471177122
TMEM211	SRR10104149	1.0467449900052073
TMEM211	SRR10104150	1.0116270753464878
TMEM211	SRR10104151	1.0076559805417438
TMEM211	SRR10104152	1.0056216750483238
TMEM211	SRR10104153	1.1019297495172091
TMEM211	SRR10104154	1.0305255485236042
TMEM211	SRR10104155	1.0878745919585404
TMEM211	SRR10104156	1.0040587302830086
TMEM211	SRR10104157	1.048915508528946
TMEM211	SRR10104158	1.020515544249276
TMEM211	SRR10104159	1.0126004669704767
TMEM211	SRR10104160	1.1246452493735022
TMEM211	SRR10104161	2.0034525039004247
TMEM211	SRR10104162	1.0203379943833408
TMEM211	SRR10104163	1.0300988116116585
TMEM211	SRR10104164	1.0196346259197715
TMEM211	SRR10104165	1.0382728925974472
TMEM211	SRR10104166	1.0407462625761652
TMEM211	SRR10104167	1.0225819466033605
TMEM211	SRR10104168	1.028619155105796
TMEM211	SRR10104169	1.0246876051078921
TMEM211	SRR10104170	1.0300621533967607
TMEM211	SRR10104171	1.0239774453836796
TMEM211	SRR10104172	1.0338434316089917
TMEM211	SRR10104173	1.0603886751096372
TMEM211	SRR10104174	1.0338308135451142
TMEM211	SRR10104175	1.0224777066753272
TMEM211	SRR10104176	1.02249117212648
TMEM211	SRR10104177	1.0253301392642815
TMEM211	SRR10104178	1.0384147366527665
TMEM211	SRR10104179	1.0346450273897643
TMEM211	SRR10104180	1.0219501836121274
TMEM211	SRR10104181	3.080299592559197
TMEM211	SRR10104182	1.035134385886849
TMEM211	SRR10104183	1.0476481310619528
TMEM211	SRR10104184	2.0425470159442147
TMEM211	SRR10104185	1.063606994083587
TMEM211	SRR10104186	1.0329452604392448
TMEM211	SRR10104187	1.0769831789043174
TMEM211	SRR10104188	1.0538655428853925
TMEM211	SRR10104189	1.0595562598302013
TMEM211	SRR10104190	1.1456942406975419
TMEM211	SRR10104191	1.1375415852920412
TMEM211	SRR10104192	1.026052966107226
TMEM211	SRR10104193	1.039842399081235
TMEM211	SRR10104194	1.0428799048858834
TMEM211	SRR10104195	1.041874169755153
TMEM211	SRR10104196	1.0406484493629597
TMEM211	SRR10104197	5.084138890993624
TMEM211	SRR10104198	1.025845924075245
TMEM211	SRR10104199	1.0822812473676409
TMEM211	SRR10104200	5.176708309464183
TMEM211	SRR10104201	1.0262034008940275
TMEM211	SRR10104202	1.0661565199682426
TMEM211	SRR10104203	1.0226367394548255
TMEM211	SRR10104204	1.0313459546081654
TMEM211	SRR10104205	1.0268650017331544
TMEM211	SRR10104206	1.0287660812770658
TMEM211	SRR10104207	1.0327220098173928
TMEM211	SRR10104208	1.0176351169212208
TMEM211	SRR10104209	1.0231628517195777
TMEM211	SRR10104210	1.0263049337229564
TMEM211	SRR10104211	1.0187630485926629
TMEM211	SRR10104212	1.0187543126316272
TMEM211	SRR10104213	2.117843006741988
TMEM211	SRR10104214	1.0299744390521086
TMEM211	SRR10104215	2.0214280805197915
TMEM211	SRR10104216	1.060640170595656
TMEM211	SRR10104217	1.02491390827642
TMEM211	SRR10104218	1.0636360366675373
TMEM211	SRR10104219	1.0633498186525099
TMEM211	SRR10104220	1.03511691930575
TMEM211	SRR10104221	1.0872363603035893
TMEM211	SRR10104222	1.0381384685659298
