Gene	sample	counts
TNFAIP8	CM317	331.7035268874332
TNFAIP8	CMCD140	461.24333822877935
TNFAIP8	CMCD147	368.7518917622275
TNFAIP8	CMCD152	1290
TNFAIP8	CMCD154	472.5409695473531
TNFAIP8	CMCD159	274.9882446951014
TNFAIP8	CMCD161	843.5766090965672
TNFAIP8	CMCD174	264.4715760584857
TNFAIP8	CMCD196	268.36034521826997
TNFAIP8	CMCD198	296.0434269071752
TNFAIP8	CMCD203	664.104563241037
TNFAIP8	CMCD211	1449.2143904289594
TNFAIP8	CMCD227	1782.786356632604
TNFAIP8	CMCD240	909.9344931481736
TNFAIP8	CMCD259	2688
TNFAIP8	CMCD270	536.7612389767796
TNFAIP8	CMCD275	413.4558634168844
TNFAIP8	CMCD282	367.6131096389219
TNFAIP8	CMCD286	965.9787828068645
TNFAIP8	CMCD287	753
TNFAIP8	CMCD294	271.64945916222183
TNFAIP8	CMCD327	1189.0118869983894
TNFAIP8	CMCD335	1029.7710651004525
TNFAIP8	CMCD337	496.27143405524066
TNFAIP8	CMCD357	920.3715948444324
TNFAIP8	CMCD398	949.4804832611208
TNFAIP8	CMCD403	1690.9745554034282
TNFAIP8	CMCD422	1164.4248936616916
TNFAIP8	CMCD426	288.5989671772776
TNFAIP8	CMCD71	466.9351038685924
TNFAIP8	CMCD72	322.61943993655484
TNFAIP8	CMCD76	736.6663655997029
TNFAIP8	CMCD88	1051.1891389499915
TNFAIP8	CMSA256	1141
TNFAIP8	CMSA316	489.89508076781937
TNFAIP8	CMUC110	1969
TNFAIP8	CMUC192	423.49830754938915
TNFAIP8	CMUC199	329.5406846228678
TNFAIP8	CMUC200	948.2027220495913
TNFAIP8	CMUC208	888.1648831155313
TNFAIP8	CMUC231	585
TNFAIP8	CMUC234	1917
TNFAIP8	CMUC285	954.2958704713003
TNFAIP8	CMUC291	1980.9112456031116
TNFAIP8	CMUC295	483.43476212706014
TNFAIP8	CMUC299	932.7099552651283
TNFAIP8	CMUC301	968.522700629842
TNFAIP8	CMUC307	792.1749170124842
TNFAIP8	CMUC313	450.5884511467375
TNFAIP8	CMUC314	394.94037355402435
TNFAIP8	CMUC323	751.0611852317901
TNFAIP8	CMUC324	992.8929275984341
TNFAIP8	CMUC331	831.3992553440041
TNFAIP8	CMUC333	474.52607385652146
TNFAIP8	CMUC334	632.1978337683195
TNFAIP8	CMUC346	632.7069892026948
TNFAIP8	CMUC352	981.8100238212658
TNFAIP8	CMUC360	806.0146275564651
TNFAIP8	CMUC363	409.1891553937033
TNFAIP8	CMUC365	670.3581228153242
