Gene	sample	counts
TNFAIP8L2	CM317	90.27374465923815
TNFAIP8L2	CMCD140	323.98055048454745
TNFAIP8L2	CMCD147	154.77192076780815
TNFAIP8L2	CMCD152	200
TNFAIP8L2	CMCD154	108.03821312300595
TNFAIP8L2	CMCD159	30.31366476953874
TNFAIP8L2	CMCD161	358.09375677464266
TNFAIP8L2	CMCD174	1.0883603953024104
TNFAIP8L2	CMCD196	121.06481739170073
TNFAIP8L2	CMCD198	127.46314214058933
TNFAIP8L2	CMCD203	69.21935780004766
TNFAIP8L2	CMCD211	158.70821311113605
TNFAIP8L2	CMCD227	274.46389222055257
TNFAIP8L2	CMCD240	86.08739355318427
TNFAIP8L2	CMCD259	412
TNFAIP8L2	CMCD270	144.74460376901922
TNFAIP8L2	CMCD275	240.0060865688256
TNFAIP8L2	CMCD282	411.15956615262337
TNFAIP8L2	CMCD286	96.41067309022
TNFAIP8L2	CMCD287	107
TNFAIP8L2	CMCD294	10.611306998524292
TNFAIP8L2	CMCD327	886.4822352769057
TNFAIP8L2	CMCD335	811.7609957084542
TNFAIP8L2	CMCD337	142.9422791802113
TNFAIP8L2	CMCD357	416.30998968572993
TNFAIP8L2	CMCD398	142.8243947278381
TNFAIP8L2	CMCD403	517.6658257756773
TNFAIP8L2	CMCD422	181.3777157941189
TNFAIP8L2	CMCD426	44.399841104196554
TNFAIP8L2	CMCD71	353.220304866112
TNFAIP8L2	CMCD72	30.8890953130744
TNFAIP8L2	CMCD76	229.5191805746013
TNFAIP8L2	CMCD88	339.06100675932174
TNFAIP8L2	CMSA256	335
TNFAIP8L2	CMSA316	75.60109271108324
TNFAIP8L2	CMUC110	282
TNFAIP8L2	CMUC192	206.6833845456349
TNFAIP8L2	CMUC199	70.8358480965043
TNFAIP8L2	CMUC200	399.92905507165636
TNFAIP8L2	CMUC208	331.8087768749897
TNFAIP8L2	CMUC231	101
TNFAIP8L2	CMUC234	218
TNFAIP8L2	CMUC285	318.4355923712496
TNFAIP8L2	CMUC291	509.3196596926699
TNFAIP8L2	CMUC295	110.09901414901991
TNFAIP8L2	CMUC299	233.67894578147838
TNFAIP8L2	CMUC301	121.06533757873025
TNFAIP8L2	CMUC307	126.34688549819369
TNFAIP8L2	CMUC313	105.10261793492029
TNFAIP8L2	CMUC314	136.91266283206178
TNFAIP8L2	CMUC323	274.2294245805446
TNFAIP8L2	CMUC324	138.1242177505886
TNFAIP8L2	CMUC331	161.43674861048623
TNFAIP8L2	CMUC333	123.74494598413598
TNFAIP8L2	CMUC334	194.83464539890423
TNFAIP8L2	CMUC346	323.42849288316665
TNFAIP8L2	CMUC352	202.19653154515822
TNFAIP8L2	CMUC360	242.30501847039076
TNFAIP8L2	CMUC363	136.39638513123444
TNFAIP8L2	CMUC365	167.0862588398556
TNFAIP8L2	CMUC366	198.64843684174022
TNFAIP8L2	CMUC368	357
TNFAIP8L2	CMUC377	321.2987936905627
TNFAIP8L2	CMUC379	104.51225215874521
TNFAIP8L2	CMUC380	215.74973835775833
TNFAIP8L2	CMUC383	905.3091589637035
TNFAIP8L2	CMUC394	303.18686683876155
TNFAIP8L2	CMUC419	119.83386308277291
TNFAIP8L2	CMUC427	517
TNFAIP8L2	CMUC428	388.4097161458342
TNFAIP8L2	CMUC431	248.4542616342941
TNFAIP8L2	CMUC435	277.34893914038906
TNFAIP8L2	CMUC439	71.44857379705357
TNFAIP8L2	CMUC89	35
TNFAIP8L2	CS219	141.3451021564071
TNFAIP8L2	CS256	247.5599895280634
TNFAIP8L2	CS257	27.24949964695432
TNFAIP8L2	CS259	579.8854256033657
TNFAIP8L2	CS261	372.27857926800914
TNFAIP8L2	CS266	104.47850931874548
TNFAIP8L2	CS270	104.29567425025638
TNFAIP8L2	CS277	44.345444447153895
TNFAIP8L2	CS288	182.61415389723678
TNFAIP8L2	CS290	162.27759277119418
TNFAIP8L2	CS292	182.44829589918044
TNFAIP8L2	CS293	135.12645558318104
TNFAIP8L2	CS301	99.47364362325587
TNFAIP8L2	CS306	115.10564534188792
TNFAIP8L2	CS308	137.4037902595326
TNFAIP8L2	CS315	84.17985565452882
TNFAIP8L2	CS317	1.0691022518554174
TNFAIP8L2	CS322	376.8984179415532
TNFAIP8L2	CS327	217.01205019466875
TNFAIP8L2	CS328	41.075688412011345
TNFAIP8L2	CS330	70.83644394419555
TNFAIP8L2	CS331	88.59594210734679
TNFAIP8L2	CS335	87.78865916452247
TNFAIP8L2	CS338	289.27555190435476
TNFAIP8L2	CS339	13.97052509876902
TNFAIP8L2	CS343	458.6087526700444
TNFAIP8L2	CS344	16.21896235453156
TNFAIP8L2	CS350	163.4895541047771
TNFAIP8L2	CS351	662.3985182649477
TNFAIP8L2	CS361	109.47751625418036
TNFAIP8L2	CS388	244.8538732933551
TNFAIP8L2	CS396	60.63535329332647
TNFAIP8L2	CS405	70.65128675538314
TNFAIP8L2	CS415	167.323258340346
TNFAIP8L2	CS424	98.34891699548547
TNFAIP8L2	IM293	395.073731426655
TNFAIP8L2	IM296	68.12565051726023
TNFAIP8L2	IM297	1.0944885764691814
TNFAIP8L2	IM300	540
TNFAIP8L2	IM305	349.4196600226327
TNFAIP8L2	IM309	50.0533286697435
TNFAIP8L2	IM310	493.51476386390516
TNFAIP8L2	IM311	711.6670548066718
TNFAIP8L2	IM316	147.7400462655919
TNFAIP8L2	IM320	366.9428955088605
TNFAIP8L2	IM330	127.27495218169115
TNFAIP8L2	IM332	32.930893189524284
TNFAIP8L2	IM340	143.28795528131928
TNFAIP8L2	IM348	99.34590701964748
TNFAIP8L2	IM354	115.82017502763208
TNFAIP8L2	IM356	103.82054685835396
TNFAIP8L2	IM364	124.05121132170927
TNFAIP8L2	IM372	141.95518096443166
TNFAIP8L2	IM374	495.44854978135004
TNFAIP8L2	IM376	228.16789528173055
TNFAIP8L2	IM381	459.58938112423465
TNFAIP8L2	IM382	590.6301248212825
TNFAIP8L2	IM385	170
TNFAIP8L2	IM390	289.7163689361968
TNFAIP8L2	IM397	148.63552265389552
TNFAIP8L2	IM404	335.9602647479549
TNFAIP8L2	IM409	249.40253252565913
TNFAIP8L2	IM412	500
TNFAIP8L2	IM421	295.52729790111124
TNFAIP8L2	IM425	1.0520033799095727
TNFAIP8L2	IM432	107.0506923287132
TNFAIP8L2	IM438	356
TNFAIP8L2	IM442	28.103987592415532
TNFAIP8L2	IM445	131.46737059739604
TNFAIP8L2	IM448	410.7675046882525
TNFAIP8L2	IM449	236.95585625641877
TNFAIP8L2	IM451	114.5828400911662
TNFAIP8L2	IMSA256	240.97331813897847
TNFAIP8L2	IMSA276	208
TNFAIP8L2	IMSA286	425
TNFAIP8L2	IMSA343	327.00511172258945
TNFAIP8L2	IS_238	125
TNFAIP8L2	IS238	1625.3261848153545
TNFAIP8L2	IS243	205
TNFAIP8L2	IS253	162
TNFAIP8L2	IS283	840
TNFAIP8L2	IS322	204.0832637330006
TNFAIP8L2	IS399	19.131861401107642
TNFAIP8L2	IS418	33.815628293220804
TNFAIP8L2	IS430	8.654975429479093
TNFAIP8L2	IS437	23.741482025763926
TNFAIP8L2	IS444	44.5773019340462
TNFAIP8L2	R276CMSA	65.82658403836433
TNFAIP8L2	R286CMSA	215
TNFAIP8L2	R292CMSA	708.927997781077
TNFAIP8L2	R292IMSA	76.22965801839571
TNFAIP8L2	R308CMSA	49.08987919069826
TNFAIP8L2	R316IMSA	101.9253945959335
TNFAIP8L2	R347CMSA	189.30258923918092
TNFAIP8L2	R347IMSA	200.7554497457438
TNFAIP8L2	R371CMSA	181.72047201075958
TNFAIP8L2	SRR10104064	3.3283545817539895
TNFAIP8L2	SRR10104065	6.035143516730522
TNFAIP8L2	SRR10104066	2.0374790110252907
TNFAIP8L2	SRR10104067	7.1614000253143395
TNFAIP8L2	SRR10104068	13.06052617240308
TNFAIP8L2	SRR10104069	3.034371809648697
TNFAIP8L2	SRR10104070	1.0293904998541934
TNFAIP8L2	SRR10104071	1.1606052908522344
TNFAIP8L2	SRR10104072	4.2795499383828615
TNFAIP8L2	SRR10104073	3.1339621173745895
TNFAIP8L2	SRR10104074	4.383289371347184
TNFAIP8L2	SRR10104075	1.1510100695372476
TNFAIP8L2	SRR10104076	3.0829642749699144
TNFAIP8L2	SRR10104077	1.100777777658168
TNFAIP8L2	SRR10104078	5.207136180804884
TNFAIP8L2	SRR10104079	1.0895071357309336
TNFAIP8L2	SRR10104080	2.243036324071732
TNFAIP8L2	SRR10104081	4.0633762901890105
TNFAIP8L2	SRR10104082	3.2467543212490684
TNFAIP8L2	SRR10104083	2.126397678067313
TNFAIP8L2	SRR10104084	3.2035402060738827
TNFAIP8L2	SRR10104085	8.177738616949787
TNFAIP8L2	SRR10104086	3.074353526402244
TNFAIP8L2	SRR10104087	5.016000039690327
TNFAIP8L2	SRR10104088	4.036453966404983
TNFAIP8L2	SRR10104089	1.1347456128596176
TNFAIP8L2	SRR10104090	2.0526070554697817
TNFAIP8L2	SRR10104091	2.084172666250997
TNFAIP8L2	SRR10104092	2.025467771103625
TNFAIP8L2	SRR10104093	5.171488223102285
TNFAIP8L2	SRR10104094	2.068044898749607
TNFAIP8L2	SRR10104095	2.1081232107012204
TNFAIP8L2	SRR10104096	3.437155725479487
TNFAIP8L2	SRR10104097	2.1262418554781894
TNFAIP8L2	SRR10104098	2.0595235559633864
TNFAIP8L2	SRR10104099	1.0474771062612767
TNFAIP8L2	SRR10104100	3.087192308340663
TNFAIP8L2	SRR10104101	5.027880792716667
TNFAIP8L2	SRR10104102	2.0306338613846457
TNFAIP8L2	SRR10104103	1.05208117298879
TNFAIP8L2	SRR10104104	1.0154976077084612
TNFAIP8L2	SRR10104105	1.0808351888270706
TNFAIP8L2	SRR10104106	4.521823479015355
TNFAIP8L2	SRR10104107	7.0670292489740305
TNFAIP8L2	SRR10104108	2.0137144319060156
TNFAIP8L2	SRR10104109	1.1183964997691782
TNFAIP8L2	SRR10104110	2.3797133891222466
TNFAIP8L2	SRR10104111	1.0327102204719922
TNFAIP8L2	SRR10104112	1.186621143391241
TNFAIP8L2	SRR10104113	1.0358394085966935
TNFAIP8L2	SRR10104114	1.1728061185225533
TNFAIP8L2	SRR10104115	2.28844400795796
TNFAIP8L2	SRR10104116	3.1401890844622233
TNFAIP8L2	SRR10104117	2.077697269649828
TNFAIP8L2	SRR10104118	1.143352850751477
TNFAIP8L2	SRR10104119	1.1898188257203337
TNFAIP8L2	SRR10104120	4.108282193505015
TNFAIP8L2	SRR10104121	1.0817747165060128
TNFAIP8L2	SRR10104122	1.0894989096112995
TNFAIP8L2	SRR10104123	1.082048079369872
TNFAIP8L2	SRR10104124	1.1164136874736872
TNFAIP8L2	SRR10104125	2.199616470453753
TNFAIP8L2	SRR10104126	5.1972735884469135
TNFAIP8L2	SRR10104127	1.1858382433832468
TNFAIP8L2	SRR10104128	1.0287766983431799
TNFAIP8L2	SRR10104129	1.026295765603751
TNFAIP8L2	SRR10104130	5.205734591730386
TNFAIP8L2	SRR10104131	8.090632371633122
TNFAIP8L2	SRR10104132	10.072134371368612
TNFAIP8L2	SRR10104133	2.3275368548442303
TNFAIP8L2	SRR10104134	1.0301069188305016
TNFAIP8L2	SRR10104135	3.302418240960951
TNFAIP8L2	SRR10104136	2.030032493652278
TNFAIP8L2	SRR10104137	1.107740379806039
TNFAIP8L2	SRR10104138	1.195501466366171
TNFAIP8L2	SRR10104139	4.045426835460476
TNFAIP8L2	SRR10104140	1.1423063013482577
TNFAIP8L2	SRR10104141	2.11903300632775
TNFAIP8L2	SRR10104142	2.1026395409861984
TNFAIP8L2	SRR10104143	9.073605602759097
TNFAIP8L2	SRR10104144	5.297325857206937
TNFAIP8L2	SRR10104145	6.37405721932178
TNFAIP8L2	SRR10104146	1.009621630502804
TNFAIP8L2	SRR10104147	11.018804154816229
TNFAIP8L2	SRR10104148	3.1549426413531365
TNFAIP8L2	SRR10104149	1.0467449900052073
TNFAIP8L2	SRR10104150	2.0232541506929755
TNFAIP8L2	SRR10104151	6.045935883250462
TNFAIP8L2	SRR10104152	4.022486700193295
TNFAIP8L2	SRR10104153	3.3057892485516276
TNFAIP8L2	SRR10104154	2.0610510970472085
TNFAIP8L2	SRR10104155	1.0878745919585404
TNFAIP8L2	SRR10104156	6.024352381698051
TNFAIP8L2	SRR10104157	2.097831017057892
TNFAIP8L2	SRR10104158	1.020515544249276
TNFAIP8L2	SRR10104159	2.0252009339409534
TNFAIP8L2	SRR10104160	2.2492904987470044
TNFAIP8L2	SRR10104161	6.010357511701273
TNFAIP8L2	SRR10104162	2.0406759887666817
TNFAIP8L2	SRR10104163	6.180592869669951
TNFAIP8L2	SRR10104164	7.1374423814384
TNFAIP8L2	SRR10104165	2.0765457851948943
TNFAIP8L2	SRR10104166	2.0814925251523304
TNFAIP8L2	SRR10104167	4.090327786413442
TNFAIP8L2	SRR10104168	5.1430957755289795
TNFAIP8L2	SRR10104169	3.0740628153236766
TNFAIP8L2	SRR10104170	4.120248613587043
TNFAIP8L2	SRR10104171	5.119887226918398
TNFAIP8L2	SRR10104172	1.0338434316089917
TNFAIP8L2	SRR10104173	1.0603886751096372
TNFAIP8L2	SRR10104174	2.0676616270902284
TNFAIP8L2	SRR10104175	5.112388533376636
TNFAIP8L2	SRR10104176	9.20242054913832
TNFAIP8L2	SRR10104177	4.101320557057126
TNFAIP8L2	SRR10104178	1.0384147366527665
TNFAIP8L2	SRR10104179	5.173225136948821
TNFAIP8L2	SRR10104180	6.131701101672764
TNFAIP8L2	SRR10104181	7.18736571597146
TNFAIP8L2	SRR10104182	1.035134385886849
TNFAIP8L2	SRR10104183	4.190592524247811
TNFAIP8L2	SRR10104184	10.212735079721073
TNFAIP8L2	SRR10104185	8.508855952668696
TNFAIP8L2	SRR10104186	2.0658905208784897
TNFAIP8L2	SRR10104187	4.3079327156172695
TNFAIP8L2	SRR10104188	1.0538655428853925
TNFAIP8L2	SRR10104189	1.0595562598302013
TNFAIP8L2	SRR10104190	1.1456942406975419
TNFAIP8L2	SRR10104191	1.1375415852920412
TNFAIP8L2	SRR10104192	2.052105932214452
TNFAIP8L2	SRR10104193	2.07968479816247
TNFAIP8L2	SRR10104194	2.085759809771767
TNFAIP8L2	SRR10104195	3.125622509265459
TNFAIP8L2	SRR10104196	3.1219453480888792
TNFAIP8L2	SRR10104197	4.0673111127949
TNFAIP8L2	SRR10104198	4.10338369630098
TNFAIP8L2	SRR10104199	1.0822812473676409
TNFAIP8L2	SRR10104200	7.2473916332498565
TNFAIP8L2	SRR10104201	4.10481360357611
TNFAIP8L2	SRR10104202	1.0661565199682426
TNFAIP8L2	SRR10104203	2.045273478909651
TNFAIP8L2	SRR10104204	3.094037863824496
TNFAIP8L2	SRR10104205	14.376110024264161
TNFAIP8L2	SRR10104206	2.0575321625541316
TNFAIP8L2	SRR10104207	5.163610049086964
TNFAIP8L2	SRR10104208	5.0881755846061045
TNFAIP8L2	SRR10104209	3.069488555158733
TNFAIP8L2	SRR10104210	6.1578296023377375
TNFAIP8L2	SRR10104211	1.0187630485926629
TNFAIP8L2	SRR10104212	15.281314689474408
TNFAIP8L2	SRR10104213	1.058921503370994
TNFAIP8L2	SRR10104214	5.149872195260543
TNFAIP8L2	SRR10104215	6.064284241559375
TNFAIP8L2	SRR10104216	4.242560682382624
TNFAIP8L2	SRR10104217	8.19931126621136
TNFAIP8L2	SRR10104218	2.1272720733350745
TNFAIP8L2	SRR10104219	7.443448730567569
TNFAIP8L2	SRR10104220	5.175584596528749
TNFAIP8L2	SRR10104221	3.261709080910768
TNFAIP8L2	SRR10104222	1.0381384685659298
TNFAIP8L2	SRR10104223	4.706530902987853
TNFAIP8L2	SRR10104224	5.126925533667214
TNFAIP8L2	SRR10104225	1.0314165053623716
TNFAIP8L2	SRR10104226	4.1555574242904525
TNFAIP8L2	SRR10104227	6.449631694415383
TNFAIP8L2	SRR10104228	1.1189120562490085
TNFAIP8L2	SRR10104229	1.0371677751979662
TNFAIP8L2	SRR10104230	3.3034956439843834
TNFAIP8L2	SRR10104231	1.0760855121352966
TNFAIP8L2	SRR10104232	1.0597726421651714
TNFAIP8L2	SRR10104233	1.0718133708527031
TNFAIP8L2	SRR10104234	8.186870844886942
TNFAIP8L2	SRR10104235	2.087206962211588
TNFAIP8L2	SRR10104236	3.0279236298605343
TNFAIP8L2	SRR10104237	4.073963985696431
TNFAIP8L2	SRR10104238	1.0703034082552154
TNFAIP8L2	SRR10104239	7.428248855281238
TNFAIP8L2	SRR10104240	3.2171436146056993
TNFAIP8L2	SRR10104241	1.0400598513679928
TNFAIP8L2	SRR10104242	8.510765119182016
TNFAIP8L2	SRR10104243	6.40384113687594
