Gene	sample	counts
TPRG1L	CM317	934.2282877525809
TPRG1L	CMCD140	2744.246469680637
TPRG1L	CMCD147	1429.3031072248593
TPRG1L	CMCD152	1947
TPRG1L	CMCD154	1961.852785962622
TPRG1L	CMCD159	882.3441709705025
TPRG1L	CMCD161	1980.047831577436
TPRG1L	CMCD174	918.5761736352343
TPRG1L	CMCD196	2669.479223487001
TPRG1L	CMCD198	1701.2217761506074
TPRG1L	CMCD203	1374.355365015439
TPRG1L	CMCD211	946.6383822436952
TPRG1L	CMCD227	877.4651599051098
TPRG1L	CMCD240	1336.6687773204096
TPRG1L	CMCD259	1176
TPRG1L	CMCD270	1349.9444643180059
TPRG1L	CMCD275	2371.8248555036885
TPRG1L	CMCD282	1590.964725186629
TPRG1L	CMCD286	1119.4870389893508
TPRG1L	CMCD287	1407
TPRG1L	CMCD294	1225.6059583295555
TPRG1L	CMCD327	1109.6104169452426
TPRG1L	CMCD335	1322.125582119215
TPRG1L	CMCD337	1351.911837598759
TPRG1L	CMCD357	955.0640939849098
TPRG1L	CMCD398	975.6314287746686
TPRG1L	CMCD403	1149.1375626654626
TPRG1L	CMCD422	1078.2454264887954
TPRG1L	CMCD426	850.256957145364
TPRG1L	CMCD71	1839.5632971374719
TPRG1L	CMCD72	808.8366809756889
TPRG1L	CMCD76	1345.0425341970085
TPRG1L	CMCD88	1657.2981952808145
TPRG1L	CMSA256	1936
TPRG1L	CMSA316	1172.3209443065307
TPRG1L	CMUC110	1455
TPRG1L	CMUC192	1190.4557688290247
TPRG1L	CMUC199	1164.1717643686356
TPRG1L	CMUC200	1471.4181775568711
TPRG1L	CMUC208	1970.8037925565852
TPRG1L	CMUC231	1580
TPRG1L	CMUC234	1226
TPRG1L	CMUC285	964.4049368957844
TPRG1L	CMUC291	1101.177287952136
TPRG1L	CMUC295	1781.6022289568675
TPRG1L	CMUC299	1386.0270518025884
TPRG1L	CMUC301	1288.695494226484
TPRG1L	CMUC307	1174.2238326855936
TPRG1L	CMUC313	955.2891412302656
TPRG1L	CMUC314	921.5275382927235
TPRG1L	CMUC323	838.0369355651718
TPRG1L	CMUC324	1132.01804547765
TPRG1L	CMUC331	976.6923290934418
TPRG1L	CMUC333	1031.889673537134
TPRG1L	CMUC334	978.2322821069984
TPRG1L	CMUC346	1727.310294804162
TPRG1L	CMUC352	1167.9113090742721
TPRG1L	CMUC360	969.220073881563
TPRG1L	CMUC363	977.3365039854618
TPRG1L	CMUC365	973.3277849285564
TPRG1L	CMUC366	1299.2410389396646
TPRG1L	CMUC368	1044
TPRG1L	CMUC377	1279.1708223805529
TPRG1L	CMUC379	993.9328470607197
TPRG1L	CMUC380	1026.8466320895195
TPRG1L	CMUC383	1020.8805409590698
TPRG1L	CMUC394	991.1490929213999
TPRG1L	CMUC419	1264.9129992070475
TPRG1L	CMUC427	1270
TPRG1L	CMUC428	914.6746942398012
TPRG1L	CMUC431	1089.9928897504515
TPRG1L	CMUC435	964.6919622274403
TPRG1L	CMUC439	1051.6022481397322
TPRG1L	CMUC89	1343
TPRG1L	CS219	1652.0335344238222
TPRG1L	CS256	2224.0308370962457
TPRG1L	CS257	877.4338886319291
TPRG1L	CS259	1413.1577470230552
TPRG1L	CS261	1434.908919541255
TPRG1L	CS266	1747.170319201595
TPRG1L	CS270	1640.3785658778188
TPRG1L	CS277	950.1247352826377
TPRG1L	CS288	1844.3020625643583
TPRG1L	CS290	1511.9030382409396
TPRG1L	CS292	1907.59829379032
TPRG1L	CS293	2264.6381165030866
TPRG1L	CS301	1581.3232831655728
TPRG1L	CS306	1703.7709486191156
TPRG1L	CS308	911.5818622442125
TPRG1L	CS315	1393.0739527218975
TPRG1L	CS317	717.3676109949851
TPRG1L	CS322	958.4567294965303
TPRG1L	CS327	974.5448550408735
TPRG1L	CS328	837.3121099371543
TPRG1L	CS330	863.9899602284457
TPRG1L	CS331	2845.253589056631
TPRG1L	CS335	405.13961671903184
TPRG1L	CS338	961.5066387141187
TPRG1L	CS339	826.5894016771671
TPRG1L	CS343	975.6775221639626
TPRG1L	CS344	994.4251293622162
TPRG1L	CS350	1081.0746765178387
TPRG1L	CS351	1620.204594903761
TPRG1L	CS361	853.3107341680974
TPRG1L	CS388	968.0509674087499
TPRG1L	CS396	889.3185149687882
TPRG1L	CS405	942.0171567384418
TPRG1L	CS415	919.2053358825418
TPRG1L	CS424	1103.5783738651317
TPRG1L	IM293	1444.5825752165476
TPRG1L	IM296	857.9574112017459
TPRG1L	IM297	680.7718945638309
TPRG1L	IM300	2320
TPRG1L	IM305	1738.0093494189332
TPRG1L	IM309	878.5956628199657
TPRG1L	IM310	908.9994726610328
TPRG1L	IM311	1255.2875504413557
TPRG1L	IM316	1399.007785045605
TPRG1L	IM320	933.5612697704057
TPRG1L	IM330	905.0663266253594
TPRG1L	IM332	714.188746047808
TPRG1L	IM340	1188.4471585097658
TPRG1L	IM348	996.5636297908388
TPRG1L	IM354	1158.2017502763208
TPRG1L	IM356	864.8352349948321
TPRG1L	IM364	1121.5449679331584
TPRG1L	IM372	1075.922371585589
TPRG1L	IM374	1049.5548559850163
TPRG1L	IM376	1038.4174434155202
TPRG1L	IM381	1213.7613831893334
TPRG1L	IM382	1126.6295400168617
TPRG1L	IM385	1394
TPRG1L	IM390	1111.606777265833
TPRG1L	IM397	1495.4553605789895
TPRG1L	IM404	1406.0187796317396
TPRG1L	IM409	1123.3170517385533
TPRG1L	IM412	1030
TPRG1L	IM421	1035.8688792410085
TPRG1L	IM425	666.970142862669
TPRG1L	IM432	939.5517074287061
TPRG1L	IM438	1225
TPRG1L	IM442	879.5507227996713
TPRG1L	IM445	1002.1858789386113
TPRG1L	IM448	989.1118023339016
TPRG1L	IM449	1011.3477609582469
TPRG1L	IM451	1236.2885378257406
TPRG1L	IMSA256	1634.6023413760706
TPRG1L	IMSA276	1227
TPRG1L	IMSA286	1311
TPRG1L	IMSA343	1263.4748589157634
TPRG1L	IS_238	2310
TPRG1L	IS238	3985.8093502978995
TPRG1L	IS243	3053
TPRG1L	IS253	1603
TPRG1L	IS283	2256
TPRG1L	IS322	1275.0152417378554
TPRG1L	IS399	966.6624707928072
TPRG1L	IS418	817.0292126329801
TPRG1L	IS430	958.5385288148095
TPRG1L	IS437	868.72241048818
TPRG1L	IS444	1032.5347145653493
TPRG1L	R276CMSA	973.5964123093563
TPRG1L	R286CMSA	1358
TPRG1L	R292CMSA	1578.5195644643811
TPRG1L	R292IMSA	1276.578357519331
TPRG1L	R308CMSA	923.1031630424782
TPRG1L	R316IMSA	878.5969014169467
TPRG1L	R347CMSA	938.0049646570651
TPRG1L	R347IMSA	878.4378674059794
TPRG1L	R371CMSA	1241.923888824915
TPRG1L	SRR10104064	938.595992054625
TPRG1L	SRR10104065	2624.281572524989
TPRG1L	SRR10104066	2361.438173778312
TPRG1L	SRR10104067	998.5037749581137
TPRG1L	SRR10104068	1362.3133453675828
TPRG1L	SRR10104069	2134.1748394529172
TPRG1L	SRR10104070	1277.473610319054
TPRG1L	SRR10104071	536.1996443737323
TPRG1L	SRR10104072	922.2430117215067
TPRG1L	SRR10104073	981.9747967773714
TPRG1L	SRR10104074	775.8422187284515
TPRG1L	SRR10104075	766.5727063118069
TPRG1L	SRR10104076	1381.1679951865215
TPRG1L	SRR10104077	1108.4832221017753
TPRG1L	SRR10104078	1209.097021182894
TPRG1L	SRR10104079	880.3217656705945
TPRG1L	SRR10104080	1080.021990040539
TPRG1L	SRR10104081	2180.001379686404
TPRG1L	SRR10104082	772.7275284572783
TPRG1L	SRR10104083	786.7671408849056
TPRG1L	SRR10104084	1047.5576473861597
TPRG1L	SRR10104085	1328.8825252543404
TPRG1L	SRR10104086	1228.7166260520967
TPRG1L	SRR10104087	2137.819216916017
TPRG1L	SRR10104088	3141.3702993546785
TPRG1L	SRR10104089	831.7685342260996
TPRG1L	SRR10104090	1596.9282891554901
TPRG1L	SRR10104091	1220.2830960899587
TPRG1L	SRR10104092	2851.8586217139036
TPRG1L	SRR10104093	762.2773640852769
TPRG1L	SRR10104094	825.1499146010933
TPRG1L	SRR10104095	2363.206119196068
TPRG1L	SRR10104096	645.0395578149837
TPRG1L	SRR10104097	897.2740630117959
TPRG1L	SRR10104098	1850.481915033103
TPRG1L	SRR10104099	1523.0317125038962
TPRG1L	SRR10104100	1591.962167001002
TPRG1L	SRR10104101	2804.551906177357
TPRG1L	SRR10104102	1589.9863134641776
TPRG1L	SRR10104103	1202.528780726187
TPRG1L	SRR10104104	1268.3565120278681
TPRG1L	SRR10104105	955.4583069231304
TPRG1L	SRR10104106	735.926771209749
TPRG1L	SRR10104107	1418.4537278297876
TPRG1L	SRR10104108	2913.8447829680044
TPRG1L	SRR10104109	860.046908322498
TPRG1L	SRR10104110	779.3561349375357
TPRG1L	SRR10104111	1626.5185972433876
TPRG1L	SRR10104112	768.9305009175241
TPRG1L	SRR10104113	1408.741595691503
TPRG1L	SRR10104114	649.7345896614945
TPRG1L	SRR10104115	842.1473949285295
TPRG1L	SRR10104116	1518.8047871848953
TPRG1L	SRR10104117	2052.76490241403
TPRG1L	SRR10104118	776.3365856602529
TPRG1L	SRR10104119	656.7799917976242
TPRG1L	SRR10104120	1049.6661004405312
TPRG1L	SRR10104121	1354.3819450655278
TPRG1L	SRR10104122	1025.2184739442328
TPRG1L	SRR10104123	1229.2066181641744
TPRG1L	SRR10104124	898.7130184163182
TPRG1L	SRR10104125	789.6623128928974
TPRG1L	SRR10104126	904.3256043897629
TPRG1L	SRR10104127	690.1578576490496
TPRG1L	SRR10104128	1386.7909893666065
TPRG1L	SRR10104129	1661.572844512473
TPRG1L	SRR10104130	1033.8588899176546
TPRG1L	SRR10104131	1254.0480176031338
TPRG1L	SRR10104132	2575.444758758954
TPRG1L	SRR10104133	738.9929514130431
TPRG1L	SRR10104134	1289.693862375788
TPRG1L	SRR10104135	707.8183096459638
TPRG1L	SRR10104136	1544.8547276693837
TPRG1L	SRR10104137	842.9904290323957
TPRG1L	SRR10104138	649.1572962368308
TPRG1L	SRR10104139	2223.9734027943964
TPRG1L	SRR10104140	791.6182668343425
TPRG1L	SRR10104141	1021.3739090499754
TPRG1L	SRR10104142	834.7478977715207
TPRG1L	SRR10104143	1616.109975691426
TPRG1L	SRR10104144	644.1548242363635
TPRG1L	SRR10104145	870.0588104374231
TPRG1L	SRR10104146	2605.8334283277372
TPRG1L	SRR10104147	4283.309687817654
TPRG1L	SRR10104148	863.4026361836418
TPRG1L	SRR10104149	980.8000556348791
TPRG1L	SRR10104150	3227.0903703552963
TPRG1L	SRR10104151	2378.068114078515
TPRG1L	SRR10104152	3842.480420359645
TPRG1L	SRR10104153	899.1746756060427
TPRG1L	SRR10104154	1607.6198556968227
TPRG1L	SRR10104155	627.7036395600778
TPRG1L	SRR10104156	2405.7247177580884
TPRG1L	SRR10104157	1183.1766936206513
