Gene	sample	counts
TRMT11	CM317	143.80817463157706
TRMT11	CMCD140	120.10493927620294
TRMT11	CMCD147	143.3458058117955
TRMT11	CMCD152	334
TRMT11	CMCD154	142.36811262003587
TRMT11	CMCD159	119.08939730890219
TRMT11	CMCD161	184.56372898188866
TRMT11	CMCD174	119.71964348326513
TRMT11	CMCD196	125.10031130475743
TRMT11	CMCD198	127.46314214058933
TRMT11	CMCD203	235.7470881595826
TRMT11	CMCD211	293.3697272660393
TRMT11	CMCD227	266.2709402139689
TRMT11	CMCD240	398.96415721959596
TRMT11	CMCD259	385
TRMT11	CMCD270	174.89972955423158
TRMT11	CMCD275	124.03675902506534
TRMT11	CMCD282	121.52499492195766
TRMT11	CMCD286	353.8178099815841
TRMT11	CMCD287	349
TRMT11	CMCD294	116.7243769837672
TRMT11	CMCD327	174.88425049680453
TRMT11	CMCD335	177.8238814856391
TRMT11	CMCD337	166.09490186433004
TRMT11	CMCD357	131.62742320945873
TRMT11	CMCD398	194.1204801582588
TRMT11	CMCD403	203.44065526592763
TRMT11	CMCD422	257.536314691097
TRMT11	CMCD426	132.08952728498474
TRMT11	CMCD71	141.8919173393783
TRMT11	CMCD72	145.29315202816477
TRMT11	CMCD76	247.5599895280634
TRMT11	CMCD88	318.0572275795407
TRMT11	CMSA256	331
TRMT11	CMSA316	205.6349721741464
TRMT11	CMUC110	345
TRMT11	CMUC192	125.63107688068004
TRMT11	CMUC199	117.03314033335491
TRMT11	CMUC200	202.4703486828937
TRMT11	CMUC208	142.34696772280523
TRMT11	CMUC231	375
TRMT11	CMUC234	321
TRMT11	CMUC285	146.58146315501963
TRMT11	CMUC291	152.9972100262566
TRMT11	CMUC295	260.23403344313795
TRMT11	CMUC299	241.70225722461927
TRMT11	CMUC301	273.1474145371352
TRMT11	CMUC307	231.6359567466884
TRMT11	CMUC313	165.45857674903294
TRMT11	CMUC314	144.28488313840356
TRMT11	CMUC323	139.16120053341072
TRMT11	CMUC324	242.2178311278438
TRMT11	CMUC331	187.67022025969027
TRMT11	CMUC333	168.74310816018544
TRMT11	CMUC334	170.4803147240412
TRMT11	CMUC346	131.39282523378645
TRMT11	CMUC352	199.17867286537972
TRMT11	CMUC360	153.1928422560735
TRMT11	CMUC363	129.2176280190642
TRMT11	CMUC365	173.1255212075612
TRMT11	CMUC366	205.67136137654924
TRMT11	CMUC368	327
TRMT11	CMUC377	191.77521748405462
TRMT11	CMUC379	117.3096707904283
TRMT11	CMUC380	127.21093063547072
TRMT11	CMUC383	113.54381389018452
TRMT11	CMUC394	124.90090195350975
TRMT11	CMUC419	119.83386308277291
TRMT11	CMUC427	370
TRMT11	CMUC428	237.47329795444782
TRMT11	CMUC431	236.43228123263472
TRMT11	CMUC435	248.20720278143517
TRMT11	CMUC439	210.32044962794643
TRMT11	CMUC89	349
TRMT11	CS219	167.40873801503537
TRMT11	CS256	223.50557759011392
TRMT11	CS257	119.89779844659901
TRMT11	CS259	170.25996952085
TRMT11	CS261	114.54725515938743
TRMT11	CS266	124.13288235890552
TRMT11	CS270	115.4340472284391
TRMT11	CS277	111.33537116519489
TRMT11	CS288	145.28418873592318
TRMT11	CS290	145.14269167113022
TRMT11	CS292	120.61859562223596
TRMT11	CS293	118.87064137768557
TRMT11	CS301	116.90716879434196
TRMT11	CS306	116.14263313776078
TRMT11	CS308	144.5816001984634
TRMT11	CS315	130.37611790396537
TRMT11	CS317	122.946758963373
TRMT11	CS322	172.23852432812913
TRMT11	CS327	260.2135231500889
TRMT11	CS328	117.96095133705822
TRMT11	CS330	118.06073990699258
TRMT11	CS331	120.16461113410253
