Gene	sample	counts
TYR	CM317	1.0496947053399786
TYR	CMCD140	1.0092852040017053
TYR	CMCD147	1.0387377232738804
TYR	CMCD152	1
TYR	CMCD154	1.0097029263832331
TYR	CMCD159	1.0826308846263835
TYR	CMCD161	1.0030637444667863
TYR	CMCD174	1.0883603953024104
TYR	CMCD196	1.0088734782641728
TYR	CMCD198	1.027928565649914
TYR	CMCD203	1.0031790985514153
TYR	CMCD211	0.8015566318744244
TYR	CMCD227	0.8192952006583658
TYR	CMCD240	0.9256708984213363
TYR	CMCD259	2
TYR	CMCD270	1.005170859507078
TYR	CMCD275	1.0084289351631328
TYR	CMCD282	1.0127082910163139
TYR	CMCD286	0.9360259523322331
TYR	CMCD287	1
TYR	CMCD294	1.061130699852429
TYR	CMCD327	1.0050818994069226
TYR	CMCD335	1.0046546976589779
TYR	CMCD337	1.0066357688747274
TYR	CMCD357	1.0203676217787498
TYR	CMCD398	1.0058055966749162
TYR	CMCD403	1.007131956762018
TYR	CMCD422	1.002086827591817
TYR	CMCD426	1.109996027604914
TYR	CMCD71	1.0063256548892079
TYR	CMCD72	1.1440405671509037
TYR	CMCD76	1.0022671640812284
TYR	CMCD88	1.000179960941952
TYR	CMSA256	1
TYR	CMSA316	1.0080145694811098
TYR	CMUC110	1
TYR	CMUC192	1.0131538458119358
TYR	CMUC199	1.0266064941522361
TYR	CMUC200	2.004656917652413
TYR	CMUC208	2.004886869335285
TYR	CMUC231	1
TYR	CMUC234	1
TYR	CMUC285	1.0109066424484112
TYR	CMUC291	1.0065605922780039
TYR	CMUC295	1.0009001286274537
TYR	CMUC299	1.0029139303926111
TYR	CMUC301	1.0005399799895063
TYR	CMUC307	1.0027530595094736
TYR	CMUC313	1.0406199795536664
TYR	CMUC314	1.0531743294773983
TYR	CMUC323	1.0232441215691963
TYR	CMUC324	2.0018002572549074
TYR	CMUC331	1.008979678815539
TYR	CMUC333	1.0226855040011238
TYR	CMUC334	1.0147637781192929
TYR	CMUC346	1.0107140402598958
TYR	CMUC352	1.0059528932594937
TYR	CMUC360	1.0012604069024411
TYR	CMUC363	1.0255367303100333
TYR	CMUC365	1.0065437279509373
TYR	CMUC366	1.0032749335441427
TYR	CMUC368	1
TYR	CMUC377	1.0040587302830086
TYR	CMUC379	1.0664515526402574
TYR	CMUC380	1.0176874450837656
TYR	CMUC383	1.0137840525909332
TYR	CMUC394	1.007265338334756
TYR	CMUC419	1.024221051989512
TYR	CMUC427	1
TYR	CMUC428	1.0062427879425755
TYR	CMUC431	1.0018317001382826
TYR	CMUC435	1.0048874606535836
TYR	CMUC439	1.0063179408035714
TYR	CMUC89	2
TYR	CS219	1.002447533024164
TYR	CS256	1.0022671640812284
TYR	CS257	1.089979985878173
TYR	CS259	1.0015292324755884
TYR	CS261	1.0227433496373879
TYR	CS266	1.0344406863242126
TYR	CS270	1.0125793616529746
TYR	CS277	16.983361703165322
TYR	CS288	1.0089179773327999
TYR	CS290	1.007935358827293
TYR	CS292	3.0408049316530072
TYR	CS293	4.063953551373866
TYR	CS301	1.0255014806521223
TYR	CS306	1.0369877958728642
TYR	CS308	1.0254014198472583
TYR	CS315	3.079750816629103
TYR	CS317	1.0691022518554174
TYR	CS322	1.0131677901654654
TYR	CS327	1.0046854175679107
TYR	CS328	1.0532227797951625
TYR	CS330	4.29311781479973
