Gene	sample	counts
UQCRFS1	CM317	1948.2333731110002
UQCRFS1	CMCD140	4271.294983335217
UQCRFS1	CMCD147	1749.2343259932143
UQCRFS1	CMCD152	4349
UQCRFS1	CMCD154	3263.3598580706093
UQCRFS1	CMCD159	57.379436885198324
UQCRFS1	CMCD161	5785.671678084423
UQCRFS1	CMCD174	251.4112513148568
UQCRFS1	CMCD196	6811.913725239695
UQCRFS1	CMCD198	1991.0976316638832
UQCRFS1	CMCD203	1174.7227244037074
UQCRFS1	CMCD211	1102.941925459208
UQCRFS1	CMCD227	1445.2367339613575
UQCRFS1	CMCD240	4375.646336837657
UQCRFS1	CMCD259	3205
UQCRFS1	CMCD270	4527.289551219879
UQCRFS1	CMCD275	3004.1097978509724
UQCRFS1	CMCD282	3387.5092334495694
UQCRFS1	CMCD286	2392.4823341611877
UQCRFS1	CMCD287	4120
UQCRFS1	CMCD294	1027.1745174571513
UQCRFS1	CMCD327	2243.3427994762515
UQCRFS1	CMCD335	3033.0525322324543
UQCRFS1	CMCD337	2803.480616316116
UQCRFS1	CMCD357	1342.8037902608348
UQCRFS1	CMCD398	896.1727866373502
UQCRFS1	CMCD403	2103.8986576758557
UQCRFS1	CMCD422	1367.8485196628305
UQCRFS1	CMCD426	387.38861363411496
UQCRFS1	CMCD71	3942.7839158559163
UQCRFS1	CMCD72	201.35113981855906
UQCRFS1	CMCD76	5825.176757640099
UQCRFS1	CMCD88	5612.0097608452925
UQCRFS1	CMSA256	3597
UQCRFS1	CMSA316	1359.8116542300172
UQCRFS1	CMUC110	2371
UQCRFS1	CMUC192	2268.4514607729243
UQCRFS1	CMUC199	1540.9363477225063
UQCRFS1	CMUC200	4163.672417964061
UQCRFS1	CMUC208	4272.413918553492
UQCRFS1	CMUC231	1565
UQCRFS1	CMUC234	1922
UQCRFS1	CMUC285	1843.8937158259023
UQCRFS1	CMUC291	2227.5185907112227
UQCRFS1	CMUC295	6242.6141022494285
UQCRFS1	CMUC299	2749.9899971365394
UQCRFS1	CMUC301	2848.5373230301243
UQCRFS1	CMUC307	1963.3904905195493
UQCRFS1	CMUC313	866.836442968204
UQCRFS1	CMUC314	931.00610725802
UQCRFS1	CMUC323	888.1758975220624
UQCRFS1	CMUC324	1177.0585512658854
UQCRFS1	CMUC331	1447.8858391002984
UQCRFS1	CMUC333	1167.9068455692834
UQCRFS1	CMUC334	2438.477358820661
UQCRFS1	CMUC346	2628.867218715989
UQCRFS1	CMUC352	1470.7031299453797
UQCRFS1	CMUC360	1934.4351061355164
UQCRFS1	CMUC363	1070.6603464436748
UQCRFS1	CMUC365	1484.6519987276324
UQCRFS1	CMUC366	1494.8796509807723
UQCRFS1	CMUC368	1884
UQCRFS1	CMUC377	1949.8820542096025
UQCRFS1	CMUC379	1256.279929010223
UQCRFS1	CMUC380	1427.8154854525233
UQCRFS1	CMUC383	1565.282577200401
UQCRFS1	CMUC394	1388.0116362252936
UQCRFS1	CMUC419	2929.2722086900044
UQCRFS1	CMUC427	2398
UQCRFS1	CMUC428	1156.1729633460193
UQCRFS1	CMUC431	1428.6120043971912
UQCRFS1	CMUC435	1221.9431521547576
UQCRFS1	CMUC439	1217.6447083723215
UQCRFS1	CMUC89	2741
UQCRFS1	CS219	7107.353009141322
UQCRFS1	CS256	4396.9460488243485
UQCRFS1	CS257	318.27415587642645
UQCRFS1	CS259	5094.779205603318
UQCRFS1	CS261	1815.3694456063633
UQCRFS1	CS266	3120.9075506401496
UQCRFS1	CS270	3818.4367727933673
UQCRFS1	CS277	489.68692910793345
UQCRFS1	CS288	6227.041756098041
UQCRFS1	CS290	6796.508124572438
UQCRFS1	CS292	4451.738419940003
UQCRFS1	CS293	3560.0233110035065
UQCRFS1	CS301	2519.6571379622646
UQCRFS1	CS306	1942.2781416698745
UQCRFS1	CS308	1210.999076839612
UQCRFS1	CS315	2047.0077094528106
