Gene	sample	counts
ZNF878	CM317	1.0496947053399786
ZNF878	CMCD140	1.0092852040017053
ZNF878	CMCD147	1.0387377232738804
ZNF878	CMCD152	3
ZNF878	CMCD154	3.0291087791496993
ZNF878	CMCD159	1.0826308846263835
ZNF878	CMCD161	5.015318722333931
ZNF878	CMCD174	1.0883603953024104
ZNF878	CMCD196	1.0088734782641728
ZNF878	CMCD198	1.027928565649914
ZNF878	CMCD203	9.028611886962738
ZNF878	CMCD211	10.420236214367517
ZNF878	CMCD227	11.470132809217121
ZNF878	CMCD240	8.331038085792027
ZNF878	CMCD259	12
ZNF878	CMCD270	6.0310251570424684
ZNF878	CMCD275	4.033715740652531
ZNF878	CMCD282	6.076249746097883
ZNF878	CMCD286	4.680129761661165
ZNF878	CMCD287	8
ZNF878	CMCD294	1.061130699852429
ZNF878	CMCD327	2.010163798813845
ZNF878	CMCD335	3.013964092976934
ZNF878	CMCD337	2.0132715377494548
ZNF878	CMCD357	6.122205730672499
ZNF878	CMCD398	4.023222386699665
ZNF878	CMCD403	14.099847394668252
ZNF878	CMCD422	14.02921558628544
ZNF878	CMCD426	1.109996027604914
ZNF878	CMCD71	1.0063256548892079
ZNF878	CMCD72	1.1440405671509037
ZNF878	CMCD76	5.011335820406142
ZNF878	CMCD88	2.000359921883904
ZNF878	CMSA256	5
ZNF878	CMSA316	5.040072847405549
ZNF878	CMUC110	6
ZNF878	CMUC192	1.0131538458119358
ZNF878	CMUC199	1.0266064941522361
ZNF878	CMUC200	6.013970752957239
ZNF878	CMUC208	1.0024434346676425
ZNF878	CMUC231	17
ZNF878	CMUC234	5
ZNF878	CMUC285	2.0218132848968224
ZNF878	CMUC291	5.032802961390019
ZNF878	CMUC295	2.0018002572549074
ZNF878	CMUC299	7.020397512748278
ZNF878	CMUC301	4.002159919958025
ZNF878	CMUC307	3.0082591785284207
ZNF878	CMUC313	1.0406199795536664
ZNF878	CMUC314	1.0531743294773983
ZNF878	CMUC323	1.0232441215691963
ZNF878	CMUC324	3.002700385882361
ZNF878	CMUC331	5.044898394077695
ZNF878	CMUC333	3.0680565120033716
ZNF878	CMUC334	1.0147637781192929
ZNF878	CMUC346	1.0107140402598958
ZNF878	CMUC352	12.071434719113922
ZNF878	CMUC360	3.0037812207073236
ZNF878	CMUC363	1.0255367303100333
ZNF878	CMUC365	2.0130874559018745
ZNF878	CMUC366	5.016374667720713
ZNF878	CMUC368	9
ZNF878	CMUC377	3.0121761908490257
ZNF878	CMUC379	1.0664515526402574
ZNF878	CMUC380	1.0176874450837656
ZNF878	CMUC383	1.0137840525909332
ZNF878	CMUC394	1.007265338334756
ZNF878	CMUC419	1.024221051989512
ZNF878	CMUC427	9
ZNF878	CMUC428	4.024971151770302
ZNF878	CMUC431	11.020148701521109
ZNF878	CMUC435	4.019549842614334
ZNF878	CMUC439	5.031589704017857
ZNF878	CMUC89	10
ZNF878	CS219	6.014685198144984
ZNF878	CS256	2.004534328162457
ZNF878	CS257	1.089979985878173
ZNF878	CS259	5.007646162377942
ZNF878	CS261	4.0909733985495516
ZNF878	CS266	1.0344406863242126
ZNF878	CS270	1.0125793616529746
ZNF878	CS277	9.435200946202956
ZNF878	CS288	1.0089179773327999
ZNF878	CS290	1.007935358827293
ZNF878	CS292	1.0136016438843358
ZNF878	CS293	1.0159883878434666
ZNF878	CS301	1.0255014806521223
ZNF878	CS306	1.0369877958728642
ZNF878	CS308	7.177809938930808
ZNF878	CS315	1.0265836055430344
ZNF878	CS317	1.0691022518554174
ZNF878	CS322	1.0131677901654654
ZNF878	CS327	7.032797922975376
ZNF878	CS328	1.0532227797951625
ZNF878	CS330	1.0732794536999326
ZNF878	CS331	1.0183441621534113
ZNF878	CS335	4.540792715406335
ZNF878	CS338	1.0294503626489493
ZNF878	CS339	1.1642104248974183
ZNF878	CS343	1.0079313245495483
ZNF878	CS344	1.0136851471582224
ZNF878	CS350	1.021809713154857
ZNF878	CS351	1.0082169227776983
ZNF878	CS361	1.0231543575157043
ZNF878	CS388	1.0331387058791355
ZNF878	CS396	2.021178443110882
ZNF878	CS405	1.023931692107002
ZNF878	CS415	1.0725849893611923
ZNF878	CS424	1.0352517578472156
ZNF878	IM293	2.010553340593664
ZNF878	IM296	1.064463289332191
ZNF878	IM297	1.0944885764691814
ZNF878	IM300	4
ZNF878	IM305	1.0098834104700367
ZNF878	IM309	1.0649644397817766
ZNF878	IM310	1.0133773385295795
ZNF878	IM311	1.0123286697107707
ZNF878	IM316	1.00503432833736
ZNF878	IM320	1.0454213547260982
ZNF878	IM330	1.01011866810866
ZNF878	IM332	1.0290904121726339
ZNF878	IM340	1.0535879064802887
ZNF878	IM348	1.034853198121328
ZNF878	IM354	6.042791740572108
ZNF878	IM356	1.007966474352951
ZNF878	IM364	1.016813207554994
ZNF878	IM372	0.9790012480305632
