DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
down	DVL1; PLA2G10; FLRT2; PSPN; GFRA3; SLIT1; SLIT3; DAB1; TRIO; LGI1; FYN; NGFR; GLI2; SPTB; BMP7; PLCG1; LAMA2; MAPK3; PIK3R1; EPHA8; GPC1; GDNF; NKX2-1; LHX2; ETV1; VASP; GBX2; EPHA5; LAMB2; WNT3; RELN; SCN1B; MAPK7; SEMA3B; GAB1; SPTAN1; SHH; EXT1; FOXD1; PTPRO; ARTN; DOK6; GDF7; SIAH1; ENAH; DRAXIN; LMX1A; DOK4; USP33; SHC3; NR4A3; ATOH1; APBB2; ROBO3; ARX; DOK1; NRTN; SEMA3C; DPYSL5; SHANK3; ROBO2; PDLIM7; SPTBN5; DOK5; MYOT; EVL; NRXN1; IRS2; VSTM2L; MYPN; EFNA2; KIF5C; EPHA3; EFNA5; EFNA4; LRTM2; LAMA1; EFNB2; LGR6; UNC5B; EPHA2; ROBO4; CNTN2; EFNB3; EPHA6; DSCAML1; EPHA7; NEXN; NPTN; UNC5D;	GO:0007411~axon guidance	90	206	43.6893203883495	0.000113896813301428	0.0998533362213623	0.99750829089391	0.998533362213623	0.774871410973538	0.99750829089391	0.964186075977701
down	RPS17; GSPT1; RPS2; RPL7; RPS4Y1; RPS3; RPS12; RPL10; EIF4A3; RPS19; RPL35; RPL27A; RPL21; RPS5; RPL29; RPL14; RPS3A; RPL26; MAGOH; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPL23A; RPS6; RPL23; RPS15; RPS24; RPS25; RPS26; RPL39; RPL31; RPL8; RPL41; RPS27A; UBA52; RPL38; RPS21; PPP2CA; RPL24; RPL18A; RPL6; EIF4G1; GSPT2; DCP1B; PNLDC1; SMG8; UPF1; UPF3A; DCP1A; PNRC2; RPL36; RBM8A; DHX34;	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	58	117	49.5726495726496	0.000151088295330504	0.110382590430211	1	1	0.827661681820499	0.999999999996793	1
down	EIF1AY; EIF3D; EIF4E2; EIF1B; EIF3G; EIF3J; EIF2S1; RPS17; RPS2; RPL7; EIF2S2; RPS4Y1; RPS3; RPS12; RPL10; RPS19; EIF1; RPL35; RPL27A; RPL21; RPS5; EIF1AX; RPL29; RPL14; EIF3B; EIF6; RPS3A; RPL26; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPL23A; RPS6; RPL23; RPS15; RPS24; RPS25; RPS26; RPL39; RPL31; RPL8; RPL41; RPS27A; UBA52; RPL38; RPS21; RPL24; RPL18A; RPL6; EIF4G1; EIF2A; PAIP1; DHX33; EIF2B4; EIF3L; RPL36; EIF3CL;	GO:0006413~translational initiation	62	130	47.6923076923077	0.000208185696540353	0.140397230889944	1	1	0.877729959140812	0.999999999996793	1
down	HTRA2; PITX3; MT-CO1; ADA; MT-ATP6; ASS1; AGT; TIMP1; PENK; CALCA; EPO; KRT14; MT-ND4; CYP1A1; APOD; EIF2S1; GSN; POLB; COL4A2; KRT16; PDGFRB; DLD; NQO1; TIMP2; JUND; ALOX12; IGFBP2; ATP2B1; EDNRB; IGFBP5; MAPK3; APEX1; HTR2A; GJB2; TACR3; TSPO; ALDH3A1; AKT1; CD68; CTNNA1; ADM; ADRA1A; PTGS2; PCK1; LONP1; SREBF1; GPX4; IL15; P2RY1; GCLM; GSS; NPY2R; GSK3A; IRAK1; CASP9; FOXG1; KRT83; CX3CL1; ABAT; NFKB2; SLC6A3; RELA; LRP1; PDE4D; SCAP; WRN; BCL2A1; DNMBP; TPRA1; LITAF; ATP8A2; KL; PPP1R9A; TRPC6;	GO:0007568~aging	74	166	44.578313253012	0.000274129676868351	0.141485120313616	1	1	0.907095100757373	0.999999999996793	1
down	TMEM120B; MYBPHL; KRBA1; GGT3P; ENO4; ADM5; RGPD8; FLRT2; PI15; CALU; ZNF862; TSPAN3; SMIM24; KRTAP5-8; SCGN; AGFG2; CDRT1; METTL18; ZBTB11; A1BG; MSMB; NUDT7; FAM86B2; ZSCAN22; BGN; TM4SF1; FAU; MAGEA8; FMO5; MEOX1; DIO3; TMEM50B; RIPPLY3; RWDD2B; DSCR9; KRTDAP; FAM189B; MRPS22; MRPS10; EVX2; EML5; TCHH; HMGXB3; PMS2P3; COTL1; GGTLC2; HSP90AA2P; TMEM187; LAGE3; TMEM132B; NOMO1; ZNF77; ZNF79; CCDC6; TNXA; LPAL2; PRICKLE4; MIDN; LRRC23; ANKRD39; BOLA3; ACTBL2; HSP90AB3P; TMEM128; TAF7L; TIMM23B; TTC39A; TRAPPC3L; IDNK; C9orf64; C20orf194; ZNF697; C6orf163; TMEM268; ZKSCAN2; MBLAC2; CRYBG3; SMYD5; UFSP1; NOXRED1; TTC27; INO80C; POMZP3; TMEM205; NXPE4; IGFL2; C5orf46; C6orf15; IGFL3; BTNL3; TMEM108; DCHS2; AATK; GOLT1A; USP53; ASCL5; KRT27; TMPRSS11B; TRPT1; KBTBD6; IGFN1; NRAP; NIT1; THNSL2; CTAGE4; CTAGE3P; NRM; RPUSD2; SLC22A18AS; BEST3; GHDC; RUSC2; OR2L13; EHBP1L1; TMEM132C; ZNF614; NECAB1; SLC43A3; C19orf18; ACRBP; GSTCD; BEST2; RPLP0P6; NKX2-3; AGR3; GIPC2; SCFD2; KBTBD7; FAM151A; HPSE2; CASKIN2; FAM3C; DCUN1D4; NPIPB3; LPP; TMEM106A; KIAA1191; KIF12; WBP1; OXNAD1; HHIPL1; HIST1H2AH; ZNF75A; ZFP3; DEPDC7; CTAGE1; TIMP4; BCL7B; SULT4A1; DCUN1D5; HGH1; C9orf16; TMEM106C; GTPBP2; GGTLC1; SPATA16; FSD1L; EMILIN2; GSDMC; KRTAP1-5; GCOM2; PRRG3; PLA2G12A; LINC00470; ZC3H12C; KLHL4; NRSN2; VN1R1; CYSTM1; RNF39; MRPL46; GHITM; HRH4; GAL3ST2; SERHL2; WDR55; TUBA4B; SEC61A2; PLEKHA3; POPDC3; MAGEE1; ZBTB26; EPB41L4A; MRPL47; MYOZ2; IFT46; GPR84; STRN4; SMCO4; INPP5E; KRT82; DDX19A; C21orf62; AKAP7; ACTR3B; TXNDC16; NYNRIN; IMPACT; ZMYM2; TRIM10; EPHA6; RSPH14; PSORS1C2; DIP2C; RCL1; MRPS28; TMX2; VWA7; FAM32A; SPEF1; INSL5; MPC1; SNURF; KIF25-AS1;	GO:0008150~biological_process	214	603	35.4892205638474	0.000300742690100497	0.141485120313616	1	1	0.916493852569792	0.999999999996793	1
down	CLCA1; GPR89A; FXYD1; KCNK3; GRID2; ATP8B1; ATP10A; ATP2C2; ATP6V1G1; BEST1; S100A6; GPR89B; ATP1A3; ATP1B2; ATP2B1; GLRA2; ATP6V1E1; CHRNA7; SCNN1A; GRIK1; GRIA1; GRIA2; GRIA4; ATP1A2; ATP4B; SCNN1B; SCNN1G; SCNN1D; CLCN5; CLCNKA; CLCNKB; ATP1B3; FXYD4; FKBP1B; ATP8B2; ATP2B2; PLP2; ASPH; GRIK2; TRDN; FXYD3; RYR3; GRIK4; GRIK5; ANO4; ZACN; SLC9B1; ANO1; SLC24A5; TMC7; TMC3; UNC80; ATP6V1C2; ATP6V0E2; SFXN2; TMEM109; ANO3; ANO2; ANO10; ASIC5; ATP10D; SLC24A2; CLCA2; ATP6V0A2; ATP6V1D; NOX1; CHRNB2; CHRNA1; GLRA4; CHRNB3; GABRR1; GABRA3; CHRNA5; GABRR2; GLRA3; GABRG1; CHRFAM7A; GABRG3; GLRA1; CHRNA3; HTR3C; CHRNE; GABRQ; GLRB; GABRE; GABRB2; GABRR3; CHRNB4;	GO:0034220~ion transmembrane transport	88	208	42.3076923076923	0.000309892946895873	0.141485120313616	1	1	0.919741041761535	0.999999999996793	1
down	SRPRA; RPS17; RPS2; RPL7; RPS4Y1; RPS3; RPS12; RPL10; SRP14; RPS19; RPL35; RPL27A; RPL21; RPS5; RPL29; SRP9; RPL14; RPS3A; RPL26; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS18; RPS29; RPS13; RPL23A; RPS6; RPL23; RPS15; RPS24; RPS25; RPS26; RPL39; RPL31; RPL8; RPL41; RPS27A; UBA52; RPL38; RPS21; RPL24; RPL18A; RPL6; RPL36;	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	46	89	51.685393258427	0.000344173692479299	0.141485120313616	1	1	0.931818034684329	0.999999999996793	1
down	PSMD14; MSTN; MT-CYB; GOT2; PENK; BGLAP; MT-ND4; CYP2E1; ICAM1; FYN; GSN; POLB; TH; GSTP1; CSF3; RARA; G6PD; ALAD; SLC2A4; NQO1; CHRNB2; ADCYAP1; TBXA2R; FGFR2; FECH; NPPC; CCND1; EEF1B2; TNC; CD27; MAOB; IL13; ADH7; LEP; RGS2; ADCYAP1R1; TUFM; STAR; RHOA; ABAT; SLC6A3; GRIN2A; EIF4EBP1; ADIPOQ; NTRK3; CDO1; GRIN3A; SDF4; DMAP1; PEMT;	GO:0045471~response to ethanol	50	100	50	0.0003547212308459	0.141485120313616	1	1	0.935539114560641	0.999999999996793	1
down	CDHR4; PTPRT; PCDH17; PCDH7; MPZL2; CLSTN1; ITGB1; CEACAM5; CEACAM1; DSG3; CEACAM6; DSC3; IGSF11; FAT4; DCHS2; SDK1; AMIGO2; CADM3; PCDH19; DSCAML1; NECTIN2; ESAM; CDHR1; DCHS1; PCDH15; PCDHB18P; CLSTN3; CADM1; PCDH11X; PCDHAC1; CDH20; PCDH9; ROBO2; PCDH18; PCDH12; FAT2; PCDH10; CDH22; PLXNB3; PCDHGB4; PCDHA7; PCDHA6; PCDHA4; IGSF9B; PCDHB9; PCDHB12; PCDHGC4; PCDHGB7; PCDHGB2; PCDHGB1; PCDHGA9; PCDHGA8; PCDHGA3; PCDHGA10; PCDHA8; PCDHA5; PCDHA2; PCDHA13; PCDHAC2; NPTN; CNTN2; NECTIN4; VSTM2L; ROBO3; MYOT; NEXN; CDH18; ROBO4; CDHR3; CDH26; HMCN1; MYPN; CDH8;	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	73	165	44.2424242424242	0.000355826795336522	0.141485120313616	1	1	0.935923800386309	0.999999999996793	1
down	FXYD1; MYL12B; GALR2; SORBS3; CACNA1H; TPM3; TPM2; TPM1; MYH1; DES; ITGB5; VCL; MYL12A; TACR2; HRC; GLRA1; MYL9; SCN4A; MYH11; PXN; EMD; ITGA1; CAV3; MYL6; ACTA2; ACTG2; TPM4; ACTA1; SCN7A; MYL7; CHRNE; CALD1; ASPH; TRDN; SNTA1; GAMT; SSPN; MYLK; SGCA; PABPN1; MYLPF; MYL10; SORBS1; ANKRD2; KCNIP2; MYOF; MYOT; MYH2; HCN4; TLN1; TNNT2; TMOD4;	GO:0006936~muscle contraction	52	106	49.0566037735849	0.000387656293851069	0.141485120313616	1	1	0.943687473497795	0.999999999996793	1
