DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
down	TRIM38; IRF6; MID1; JAK2; OAS1; HLA-B; HLA-H; HLA-DRA; HLA-DQA1; HLA-DRB1; HLA-DQB1; MT2A; HLA-A; HLA-DPB1; HLA-C; IRF1; IFI30; NCAM1; HLA-E; IRF2; IFNGR1; HLA-G; HLA-DPA1; JAK1; SP100; PTAFR; PML; OAS2; HLA-F; GBP1; GBP2; CIITA; IFNGR2; STAT1; B2M; IRF9; IRF8; PRKCD; TRIM26; NMI; CAMK2G; CAMK2D; TRIM25; IRF3; IRF4; HLA-DRB5; TRIM22; IRF7; TRIM8; TRIM5;	GO:0060333~interferon-gamma-mediated signaling pathway	50	72	69.4444444444444	0.000149776249921962	0.0590704505670487	1	1	0.894545511216766	0.999999998165519	0.572399079581752
down	EIF3F; DDX3X; EIF3D; EIF3H; EIF4G3; EIF4E2; EIF1B; EIF3G; EIF3J; EIF2S1; RPLP1; RPLP2; EIF4E; RPS17; PABPC1; RPS2; RPL35A; EIF2S2; RPS3; EIF4B; RPS12; RPL13; RPL10; RPL9; RPL13A; EIF2S3; EIF1; RPS27; RPL27A; RPL28; RPS9; RPS5; RPS10; RPL29; EIF2B2; EIF3B; EIF6; EIF3E; EIF4A1; RPL26; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS14; RPS18; RPS29; RPS13; RPS11; RPS6; RPS28; RPL30; RPL31; RPL8; RPL41; RPS27A; RPS21; EIF4G2; RPL24; RPL36A; RPL18A; EIF4G1; EIF2B5; EIF3A; EIF4A2; EIF4H; LARP1; EIF4E3; EIF1AD; COPS5; MTFMT; EIF3C; EIF3K; EIF2B4; AGO2; RPL36;	GO:0006413~translational initiation	77	130	59.2307692307692	0.000156745245164069	0.0592431716201364	1	1	0.90021630949679	0.999999998165519	0.574072765339398
down	IRF6; OAS1; IFNA1; IFNA2; IFNB1; HLA-B; HLA-H; HLA-A; ISG15; IFI6; IFIT2; HLA-C; IRF1; IFITM1; HLA-E; IRF2; IFNAR1; HLA-G; EGR1; MX1; MX2; JAK1; SP100; TYK2; OAS2; HLA-F; GBP2; IFI27; STAT1; IRAK1; STAT2; ADAR; IFI35; IRF9; IFITM3; IFITM2; IRF8; RNASEL; BST2; IRF3; IRF4; XAF1; IRF7; ISG20; MYD88; IP6K2; SAMHD1;	GO:0060337~type I interferon signaling pathway	47	67	70.1492537313433	0.000196916664448321	0.0714492425284288	1	1	0.93297071542837	0.999999998165519	0.692350917717562
down	CBX4; WWP2; ARNTL; FOXE1; FOXN3; BHLHE40; EREG; BTAF1; PER2; TRIM24; HDAC3; FOXP2; CLOCK; PER1; RBFOX2; CBFA2T2; ATP8B1; HR; PRAMEF10; CBFA2T3; DNAJB6; ZNF217; NCOR1; DEAF1; NR1I2; RPS6KA5; HEXIM1; SIX3; ZBTB7A; ZIC2; PRAMEF12; TGFB1; TNF; IFNA2; JUN; RB1; ENO1; RARA; THRA; IRF1; HSPA8; VDR; XRCC6; POU2F1; GCFC2; ZNF12; HMGA1; SPI1; WT1; SFPQ; NR2F2; HMGB2; YWHAQ; CALR; CD38; ARID4A; PML; YWHAB; CIITA; CTNNB1; DDIT3; AHR; PPARG; ZEB1; BRCA1; ID1; BCL6; KDM5C; ELK3; CDKN1B; NOTCH1; LIMS1; RFX3; SOX9; GCLC; LHX1; PPM1F; CTCF; CEBPA; CEBPD; CDKN1C; DAP; SMARCA2; SMARCA4; MECP2; ATXN1; NR1H2; HDAC4; CTBP2; FOXL2; PSMC5; SUMO1; UBE2I; PRAME; ELF3; BASP1; FOXK1; MDM2; E2F1; SET; FOXK2; SP3; PPARD; ARID5A; RELA; ZNF91; ZBTB16; RBPJ; RING1; KHDRBS1; ILF3; STRN3; KLF10; REST; CBX3; TRIM28; IKZF1; SMAD4; HDAC1; SNW1; TFDP2; HES1; ARID5B; CDK5R1; NONO; PTPRK; SMAD2; NFIL3; IFI16; LRRFIP1; GON4L; ZNF568; CRY2; BCL7A; PDCD4; LBH; PRAMEF19; PRAMEF20; PRAMEF17; PRAMEF18; PRAMEF15; DAB2IP; SUMO4; NIPBL; HMBOX1; ZNF746; ATF7IP; BCOR; LDB1; CIR1; PPARGC1B; GATAD2A; PASD1; NOSTRIN; SIRT2; YAF2; CCAR2; PIAS4; NKAP; ZBTB38; SMARCC2; ACTRT1; DEDD2; KAT6B; BAP1; KAT6A; JARID2; GATA6; SMARCE1; NACC2; SIRT1; TRIM11; USP47; HEXIM2; PHF12; NACC1; CIC; UIMC1; SIN3A; RSF1; SPEN; SETDB2; PFDN5; PHB2; TSG101; CITED2; HINFP; MYBBP1A; LGR4; PCGF6; ZNF350; ZMYND15; WWP1; GZF1; EPC1; IKZF4; FOXP1; ZNF703; KAT8; EHMT1; SMURF2; CHD8; CHMP1A; MLXIPL; KMT5A; RLIM; BCLAF1; ZNF219; MBD2; KDM5B; MLX; DACH1; MBD1; RCOR1; HDAC9; YEATS2; SNX6; ING4; TRIM33; HDAC5; ZNF148; SBNO2; TSC22D4; TBX22; TRAF6; ZNF706; NCOR2; ZHX2; ZNF165; PPARA; ZC3H6; ANHX; ZC3H4; ZNF586; KAT7; DPF2; SOX13; TRIM66; SIX6; ZBTB21; SOX6;	GO:0045892~negative regulation of transcription, DNA-templated	241	530	45.4716981132076	0.000244014576914142	0.0851329318149301	1	1	0.954533374601119	0.999999998165519	0.824947352613307
down	RBFOX3; DHX15; RBFOX2; PRPF3; DHX16; SF3B1; BCAS2; PRPF6; ZRANB2; LUC7L3; PTBP3; ECD; HNRNPC; SON; WT1; SFPQ; PTBP1; PPP2R1A; FUS; RBM25; NOVA1; SNRPN; PPP2CA; SRPK2; U2AF1; SRSF2; SRSF11; FMR1; SRSF4; NCBP1; PPP1R8; PPIG; PRPF4B; THOC5; DDX39B; RBM39; DHX8; ZNF638; WTAP; NONO; SF3B3; SF3B4; SNRNP35; SRSF7; USP39; BRDT; ZC3H13; RBM20; PRPF38B; MBNL2; THOC7; JMJD6; SUPT6H; CIR1; SRRM1; CCAR2; CLASRP; THOC2; FAM172A; SREK1; TAF15; KHSRP; THOC1; RSRC1; RNPC3; QKI; PPP1R9B; SRPK1; SCAF11; USB1; DDX23; NSRP1; RBM38; SCAF1; PRKRIP1; RRAGC; MBNL1; MBNL3; PPP4R2; CDK12; PPARGC1A; ACIN1; TTF2; THRAP3; IVNS1ABP; SMU1; SLU7;	GO:0008380~RNA splicing	87	156	55.7692307692308	0.000280050937672804	0.0940867428011115	1	1	0.965514529620219	0.999999998165519	0.911710753231384
down	STK25; TRIM24; PDPK1; MAP3K13; DAPK3; JAK2; ERN1; STK16; CDKL5; STK17B; STK10; OXSR1; EGFR; ERBB2; EIF2S1; INSR; FES; CSF1R; IGF1R; BCR; PIM1; PRKACA; FLT1; EIF2AK2; TAF1; FGFR3; CAD; AKT1; TTK; CSK; MTOR; SYK; CLK1; CLK3; GSK3B; IRAK1; PRKX; NEK2; EPHB4; EPHB1; CSNK1G2; MAP3K9; TEK; PTK2; DDR1; STK4; PAK1; PAK2; TRIM28; ATM; TNK1; ATR; RIPK1; CAMK2D; DYRK1A; PTK6; PTK2B; STK11; MAP3K11; AAK1; LRRK2; ULK3; MARK2; TAOK1; MAPKAPK5; LMTK2; MINK1; UHMK1; SMG1; TRPM7; PASK; CAMKK2; MAP3K3; VRK1; EIF2AK1; PRKD2; SIK2; SLK; TAOK3; PEAK1; CDK12; EIF2AK4; STK39; DAPK2; TAOK2; ALK; WNK2; DYRK1B; STK24; MAPKAPK2; PIM2; MKNK1; MKNK2; MAPKAPK3;	GO:0046777~protein autophosphorylation	94	173	54.3352601156069	0.000321170786698577	0.100460007108372	1	1	0.975225845310232	0.999999998165519	0.973468376347302
down	RBFOX3; DHX15; RBFOX2; HNRNPR; PRPF3; KHDRBS3; ZRANB2; PTBP3; TRUB2; ECD; PRKACA; SON; HNRNPA2B1; SFPQ; U2AF2; PTBP1; RBM25; ADAR; ADARB1; HSF1; U2AF1; SRSF2; SRSF11; RNASEL; FMR1; ZFP36L1; KHDRBS1; SRSF4; PPP1R8; SRSF9; SRSF5; RBM39; PDCD11; WTAP; NONO; SF3B4; SRSF7; CPSF6; PAN2; USP39; PAN3; BRDT; ZC3H13; RBM20; RBM26; PRPF38B; KHDRBS2; MBNL2; JMJD6; PRMT9; SUPT6H; RBBP6; TSEN54; RBM23; CIR1; CCAR2; CLASRP; FAM172A; PTCD2; HNRNPLL; SREK1; CELF1; KHSRP; CNOT6L; QKI; SCAF11; TSEN34; XRN2; NSRP1; SCAF1; PRKRIP1; MBNL1; ADARB2; MBNL3; PPP4R2; CDK12; PHRF1; PPARGC1A; ACIN1; TTF2; THRAP3; AURKAIP1; RBM38;	GO:0006397~mRNA processing	83	152	54.6052631578947	0.000615590811103961	0.181678418726952	1	1	0.999999998165519	0.999999998165519	1
down	LST1; SLC9A3R1; MYL12B; PLXNB2; PLXNB1; DAPK3; DIAPH1; WDR1; PRPF40A; FMNL1; ALDOA; ITGB2; FES; CSF1R; HEXB; VIL1; CCL3; EPB41; EZR; VEGFA; ANXA7; RASA1; MSN; CORO1A; MYH9; CRK; SLC26A5; PTK2; EPS8; DLG1; PTK2B; GNA13; ARHGAP15; FGD3; BRWD3; DNMBP; SYNE3; FGD5; ARHGEF18; FGD6; RHOU; CYFIP1; MYH14; FGD2; FMNL3; ERMN; SHROOM3; FBLIM1; LPAR1; SEMA4D; SH3KBP1; FGD4; ARAP1; CDC42EP4; MYO10; CDC42SE2; CDC42SE1; ARHGAP35; BRWD1; TBCCD1; CFDP1; TAOK2; MKLN1; STRIP2; EPB41L3; F11R; WIPF2; RAC1; RND3; RHOG; WIPF3; RHOC; RAC2; WIPF1; PLXNA1; RHOA; CDC42EP3; CDC42; PHIP; PLXNA4; WAS; RHOF; RHOB; PLXNA3; PLXNA2; WASL;	GO:0008360~regulation of cell shape	86	159	54.0880503144654	0.000620883141939754	0.181678418726952	1	1	0.999999998165519	0.999999998165519	1
down	IRGM; HIP1; DVL1; SEC16A; SMAD7; MDM4; ZNF207; TYROBP; CTNND1; TBL1X; HIP1R; USP2; CRTAP; FLOT1; USP19; WIZ; APOA1; GAPDH; ATP1B1; PFN1; HSP90AA1; HSP90AB1; HSPA1A; HSPA1B; HSPD1; LAMP1; PIM1; LAMP2; CREB1; TCP1; EFNA1; TAF1; CALR; GRN; PFN2; CDKN1A; VHL; BAG6; CCT5; GNAQ; RASSF2; HCFC1; CCNH; ATP1B3; PER3; PTEN; RPS7; UBE2B; SUMO1; SMAD3; PRKCD; EP300; STK4; STK3; PEX6; MORC3; FLOT2; PTGES3; TAF9; ZSWIM7; AAK1; P3H1; WDR81; NAA16; SWSAP1; ATF7IP; GOLGA7; SYVN1; STX12; TSC1; DVL3; USP9X; USP7; FBXW7; NCLN; TRIM44; ZBED3; COG3; PHB2; CHP1; NAPG; PDCD10; PINK1; SAV1; RTN4; HPS4; HYPK; PIM2; USP36; PPARGC1A; SEL1L; TELO2; SUGT1; CDC37; HSP90AB4P; HSP90AB2P;	GO:0050821~protein stabilization	96	183	52.4590163934426	0.000677253636545139	0.191122294291108	1	1	0.999999998165519	0.999999998165519	1
down	CASC3; FOXO3; NEURL1; APP; RPLP1; EIF4E; ACO1; RPL10; AKT1; AKT2; RPS14; SARNP; RBM3; TCOF1; NOLC1; PIWIL3; MAPKAPK5; EIF4E3; LSM14A; KBTBD8; PUM2; TSC1; QKI; ATXN2; MKNK1; LSM14B; PCIF1; MKNK2; EIF2B4; CNOT11; CNOT6; PKP3; RBM8A; ZNF706; CYFIP1; MATR3; PTBP2; HNRNPL; PTBP1; HNRNPLL; RBM20; PTBP3;	GO:0006417~regulation of translation	42	62	67.741935483871	0.000695296627891806	0.191122294291108	1	1	0.999999998165519	0.999999998165519	1
down	NKX2-6; ATOX1; CBX4; DDX3X; IKBKB; AREL1; MDM4; HDAC3; CFLAR; LAMTOR5; PRAMEF10; PAGE4; HIP1R; PROP1; PIAS1; TNFAIP8; TIAF1; BAG4; CLDN7; PRAMEF12; MAP4K4; SLC25A27; DDAH2; EGFR; AVP; ALB; TFRC; LTF; CAT; RAF1; PROC; CD74; KRT18; PTMA; CSF1R; IGF1R; GSTP1; ANXA4; CTSH; IFI6; UBB; UBC; HSPA1A; HSPA1B; RARA; ARAF; HSPD1; HSPA5; PIM1; IL7; TPT1; HSP90B1; MMP9; BRAF; NQO1; VEGFA; EPCAM; DPEP1; PRLR; XBP1; SON; EIF2AK2; WT1; SLC9A1; RASA1; CBL; RPS6KB1; CFL1; PAX7; FAS; NFKBIA; RPL10; DUSP1; ERCC5; CD38; PRDX3; CCND2; PPIF; DNAJA1; AKT1; AKT2; EVI2B; CTNNB1; NUP62; SNCA; HSPA9; CDKN1A; IL6ST; MYCNOS; VHL; ID1; HTR2B; PRKCI; CASP3; CASP2; MAPK8; BAG6; CDKN1B; SOX9; GCLC; COMP; PSEN1; GSK3B; SERPINB9; PPT1; IRAK1; STAT5B; RPS6KA3; ARHGDIA; AIF1; TMBIM6; UCN; NCKAP1L; ADAR; ADAMTS20; PTEN; DAD1; HNRNPK; RPS27A; YWHAZ; UBE2B; PRAME; PRKDC; TMF1; SMAD3; XIAP; TEK; PPARD; RELA; NOTCH2; PTK2; MCL1; BNIP2; NAIP; PRKAA1; PAK2; DNAJC3; CLN3; BIRC3; BIRC2; SQSTM1; RIPK1; HDAC1; PTK2B; FKBP8; BECN1; RPS6KA1; MED1; DDB1; BCL2A1; TAF9; PDCD4; PRAMEF19; PRAMEF20; PRAMEF17; PRAMEF18; PRAMEF15; ZFAND6; NAA16; CDC73; SETX; SH3RF1; MTDH; TAX1BP1; ANKLE2; CAMK1D; ERC1; MT-RNR2; SUPV3L1; STK40; SH3RF2; PHIP; RXFP2; MYO18A; BCL2L2; SEMA4D; COPS5; GATA6; TSLP; SIRT1; ITCH; USP47; SIN3A; YME1L1; PAFAH2; PHB2; BARD1; CIB1; MYD88; BAG1; CITED2; NAA38; PDCD10; HIGD2A; CARD14; NUAK2; ATG5; HIPK3; GOLPH3; AGO4; SLC40A1; CHST11; PRDM9; BIRC6; HYPK; PLK2; PLAC8; AIPL1; PIM2; GHRL; MALT1; PRELID1; KLHL20; TRAF6; TNFRSF18; MAEA; UBE2Z; PSEN2;	GO:0043066~negative regulation of apoptotic process	218	489	44.5807770961145	0.00101437584546749	0.24868657551988	1	1	0.999999998165519	0.999999998165519	1
down	IRGM; CDK2AP1; DVL1; AXIN1; HDAC3; CLDN3; PDE8A; PLA2G6; ROCK2; FLOT1; FGF19; EGFR; C3; HRAS; KRAS; TGFB1; TNF; IL1B; CD4; HLA-DRB1; TFRC; CD74; ERBB2; APP; INSR; CRH; CSF1R; HSP90AA1; RALB; MMP9; VEGFA; PECAM1; EFNA1; CCND1; FPR2; FAS; ACVR2A; MAPK3; ERP29; CCND2; AKT1; AKT2; MTOR; CRKL; SOX9; CSNK1D; ARRB1; EFNA5; AIF1; RAC1; RACK1; ADAM17; TEK; PTK2; STK4; PAK1; SQSTM1; RIPK1; LRRK2; PRR5L; BRAT1; ATG14; MOB2; MAVS; CLDN19; FLCN; FNIP1; PIK3R3; SEMA4D; DVL3; SIRT1; ADTRP; WDFY2; CAMKK2; CIB1; CARD14; PINK1; PELI2; SENP2; NPTN; RB1CC1; FXR2; PGF; FMR1; FXR1;	GO:0001934~positive regulation of protein phosphorylation	85	161	52.7950310559006	0.00114393038205662	0.273068223569359	1	1	0.999999998165519	0.999999998165519	1
down	WASL; SDCBP; ARPC1B; ARPC2; ARPC3; ARPC5; SIPA1L1; KALRN; ROCK2; PAK3; AP2A1; HRAS; MMP2; MMP9; EFNA1; RASA1; EPHB2; CRK; PSEN1; PSEN2; VAV2; EFNB2; EFNA5; EPHB4; EPHB1; ARPC4; ACTB; CDC42; ACTR3; ACTR2; RHOA; RAC1; AP2B1; ACTG1; EFNB1; PTK2; GRIN1; PTPN11; TIAM1; PAK1; ROCK1; ARHGEF7; CDK5R1; ITSN1; EPHA10; NCSTN; ANKS1A; ARPC1A; APH1A; AP2M1; PSENEN; VAV3;	GO:0048013~ephrin receptor signaling pathway	52	86	60.4651162790698	0.00119723773671898	0.278465218199433	1	1	0.999999998165519	0.999999998165519	1
